short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Rodríguez,Luis Miguel Rodríguez,"ST, CF, CAM",74,1400000.0,11000.0,38,Central Cordoba SdE,Liga Profesional
M. Benítez,Marcelo Nicolás Benítez,"LB, LWB, CDM",72,1600000.0,10000.0,32,Central Cordoba SdE,Liga Profesional
L. Gamba,Lucas Emanuel Gamba,"ST, LM, LW",70,550000.0,7000.0,36,Central Cordoba SdE,Liga Profesional
M. Pittón,Mauro Rodolfo Pittón,"CM, RM, CDM",70,1600000.0,9000.0,28,Central Cordoba SdE,Liga Profesional
B. Blasi,Brian Rolando Blasi,"RB, CB, RWB",70,1500000.0,7000.0,27,Central Cordoba SdE,Liga Profesional
M. Ledesma,Marcos Ignacio Ledesma,GK,69,1400000.0,6000.0,26,Central Cordoba SdE,Liga Profesional
M. Mansilla,Matías Lisandro Mansilla,GK,69,1400000.0,5000.0,27,Central Cordoba SdE,Liga Profesional
M. Rangel,Michael Jhon Ander Rangel Valencia,ST,69,1100000.0,8000.0,32,Central Cordoba SdE,Liga Profesional
D. Miloc,Dardo Federico Miloc,"CDM, CM",69,925000.0,6000.0,32,Central Cordoba SdE,Liga Profesional
G. Canto,Gustavo Damián Canto,"CB, LB",69,1200000.0,5000.0,29,Central Cordoba SdE,Liga Profesional
G. Goñi,Marcos Gonzalo Goñi,CB,68,2200000.0,4000.0,24,Central Cordoba SdE,Liga Profesional
A. Meli,Juan Andrés Meli,"LB, LWB, LM",68,2300000.0,4000.0,22,Central Cordoba SdE,Liga Profesional
B. Farioli,Brian Andrés Farioli,"RM, CAM, LM",68,1400000.0,6000.0,25,Central Cordoba SdE,Liga Profesional
E. Kalinski,Enzo Maximiliano Kalinski,"CDM, CM",68,240000.0,4000.0,36,Central Cordoba SdE,Liga Profesional
J. Patiño,Juan Gabriel Patiño Martínez,"CB, RB",68,575000.0,5000.0,33,Central Cordoba SdE,Liga Profesional
B. Leizza,Brian Alexis Leizza,CB,67,2100000.0,4000.0,23,Central Cordoba SdE,Liga Profesional
A. Ferro,Andrés Enrique Ferro Peña,CB,67,1900000.0,3000.0,21,Central Cordoba SdE,Liga Profesional
L. Maciel,Leandro Isaac Maciel,"CM, CDM",67,1200000.0,5000.0,27,Central Cordoba SdE,Liga Profesional
N. Leguizamón,Nicolás Leguizamón,ST,67,1000000.0,6000.0,28,Central Cordoba SdE,Liga Profesional
J. Navas,Julián Alejandro Navas,"RB, RM",66,750000.0,4000.0,29,Central Cordoba SdE,Liga Profesional
D. Minervino,Delfor Minervino,RB,65,750000.0,3000.0,27,Central Cordoba SdE,Liga Profesional
M. Sanabria,Mateo Sanabria,"LM, LW, RM",64,1400000.0,2000.0,19,Central Cordoba SdE,Liga Profesional
C. Ocampos,Cristhian Ocampos,ST,64,1200000.0,3000.0,23,Central Cordoba SdE,Liga Profesional
L. Angelini,Lucas Angelini,LB,64,525000.0,3000.0,28,Central Cordoba SdE,Liga Profesional
G. Álvez,Gonzalo Álvez,"RM, LM, ST",63,1100000.0,2000.0,19,Central Cordoba SdE,Liga Profesional
F. Jourdan,Federico Jourdan,CM,62,325000.0,3000.0,32,Central Cordoba SdE,Liga Profesional
J. Gómez,José Amado Gómez,RB,61,700000.0,2000.0,23,Central Cordoba SdE,Liga Profesional
G. Torres,Cristian Gonzalo Torres,"ST, LM",61,725000.0,3000.0,23,Central Cordoba SdE,Liga Profesional
