short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
B. Dejaegere,Brecht Dejaegere,"CM, CAM",75,4400000.0,9000.0,32,Charlotte,Major League Soccer
K. Świderski,Karol Świderski,"ST, CAM",74,5500000.0,9000.0,26,Charlotte,Major League Soccer
E. Copetti,Enzo Nahuel Copetti,"ST, RW",73,3300000.0,8000.0,27,Charlotte,Major League Soccer
A. Westwood,Ashley Westwood,"CDM, CM",72,1200000.0,6000.0,33,Charlotte,Major League Soccer
J. Uronen,Jere Juhani Uronen,LB,71,1700000.0,6000.0,28,Charlotte,Major League Soccer
G. Corujo,Guzmán Corujo Bríccola,CB,70,1600000.0,5000.0,26,Charlotte,Major League Soccer
K. Jóźwiak,Kamil Jóźwiak,"RM, LM",69,1800000.0,4000.0,25,Charlotte,Major League Soccer
S. Arfield,Scott Harry Nathaniel Arfield,"CM, CAM",69,650000.0,4000.0,34,Charlotte,Major League Soccer
J. Meram,Justin Meram,"LM, LW",68,575000.0,4000.0,34,Charlotte,Major League Soccer
N. Byrne,Nathan Byrne,"RB, LB",67,750000.0,3000.0,31,Charlotte,Major League Soccer
B. Tuiloma,Bill Tuiloma,"CB, RB",67,875000.0,3000.0,28,Charlotte,Major League Soccer
J. Lindsey,Jaylin Lindsey,"RB, RWB, LB",66,1800000.0,2000.0,23,Charlotte,Major League Soccer
D. Jones,Derrick Jones Amaniampong,"CDM, CM, CB",66,1100000.0,2000.0,26,Charlotte,Major League Soccer
A. Malanda,Adilson Malanda,CB,65,1500000.0,1000.0,21,Charlotte,Major League Soccer
B. Bronico,Brandt Bronico,"CDM, CM, RB",65,700000.0,2000.0,28,Charlotte,Major League Soccer
H. Afful,Harrison Afful,"RB, LB",65,160000.0,1000.0,37,Charlotte,Major League Soccer
K. Kahlina,Kristijan Kahlina,GK,65,475000.0,2000.0,30,Charlotte,Major League Soccer
K. Vargas,Kerwin Calderón Vargas,"LM, RM, ST",64,1400000.0,2000.0,21,Charlotte,Major League Soccer
B. Bender,Benjamin Bender,"CAM, LM, CM",64,1300000.0,2000.0,22,Charlotte,Major League Soccer
P. Sisniega,Pablo Eduardo Sisniega Fink,GK,64,500000.0,2000.0,27,Charlotte,Major League Soccer
J. Sobociński,Jan Sobociński,CB,63,700000.0,1000.0,24,Charlotte,Major League Soccer
O. Gaines,Orrin McKinze Gaines II,"RM, LM",63,600000.0,2000.0,25,Charlotte,Major League Soccer
H. Diop,Hamady Diop,CB,60,575000.0,900.0,21,Charlotte,Major League Soccer
Vinicius Mello,Vinicius Silveira de Mello,ST,60,600000.0,1000.0,20,Charlotte,Major League Soccer
G. Marks,George Marks,GK,59,425000.0,850.0,23,Charlotte,Major League Soccer
P. Agyemang,Patrick Agyemang,ST,54,240000.0,1000.0,22,Charlotte,Major League Soccer
C. Hegardt,Christopher Hegardt,CM,52,200000.0,950.0,21,Charlotte,Major League Soccer
B. Cambridge,Brandon Cambridge,CM,52,180000.0,950.0,21,Charlotte,Major League Soccer
A. Privett,Andrew Privett,CM,52,180000.0,1000.0,22,Charlotte,Major League Soccer
B. Romero,Brian Romero,"RM, RW",48,150000.0,500.0,17,Charlotte,Major League Soccer
