short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
K. Nwakali,Kelechi Nwakali,"CDM, CM",72,3300000.0,6000.0,25,Chaves,Liga Portugal
Bruno Langa,Bruno Alberto Langa,LB,72,3000000.0,6000.0,25,Chaves,Liga Portugal
Steven Vitória,Steven de Sousa Vitória,CB,72,425000.0,5000.0,36,Chaves,Liga Portugal
Rúben Lameiras,Rúben Barcelos De Sousa Lameiras,RW,72,2400000.0,8000.0,28,Chaves,Liga Portugal
João Correia,João Pedro Araújo Correia,RB,71,2000000.0,6000.0,26,Chaves,Liga Portugal
João Pedro,João Pedro Almeida Machado,"CM, CDM",71,1800000.0,6000.0,30,Chaves,Liga Portugal
Guima,Ricardo Martins Guimarães,"CM, CDM",70,1800000.0,5000.0,27,Chaves,Liga Portugal
Rodrigo Moura,Rodrigo Moura Nascimento,GK,69,1400000.0,3000.0,27,Chaves,Liga Portugal
Rúben Ribeiro,Rúben Tiago Rodrigues Ribeiro,"CM, CAM",69,550000.0,3000.0,35,Chaves,Liga Portugal
A. Issah,Abass Issah,"LW, RW",68,1900000.0,4000.0,24,Chaves,Liga Portugal
Hugo Souza,Hugo de Souza Nogueira,GK,68,1500000.0,2000.0,24,Chaves,Liga Portugal
Héctor,Héctor José Hernández Marrero,ST,68,1300000.0,4000.0,27,Chaves,Liga Portugal
T. Phete,Thibang Sindile Theophilus Phete,"CDM, CB, CM",68,1000000.0,4000.0,29,Chaves,Liga Portugal
Benny Sousa,Bernardo Martins Sousa,RW,67,1500000.0,3000.0,23,Chaves,Liga Portugal
Ygor Nogueira,Ygor Nogueira de Paula,CB,67,975000.0,3000.0,28,Chaves,Liga Portugal
João Queirós,João Ricardo Pereira Queirós,CB,66,1600000.0,2000.0,25,Chaves,Liga Portugal
H. Sylla,Habib Sylla,RB,66,1300000.0,2000.0,24,Chaves,Liga Portugal
Sandro Cruz,Sandro Plínio Rosa da Cruz,"LB, LW",65,1500000.0,2000.0,22,Chaves,Liga Portugal
Leandro Sanca,Leandro Mário Baldé Sanca,"RM, RW",65,1400000.0,2000.0,23,Chaves,Liga Portugal
Ktatau,Talysson Moreira Reis,"CM, CAM",65,1400000.0,2000.0,21,Chaves,Liga Portugal
Paulo Victor,Paulo Victor Ferreira Jesus,"ST, RW",65,1200000.0,2000.0,22,Chaves,Liga Portugal
Jô Batista,Joarlem Batista Santos,ST,65,725000.0,3000.0,28,Chaves,Liga Portugal
Bruno Rodrigues,Bruno Miguel Ferreira Rodrigues,CB,64,1200000.0,2000.0,22,Chaves,Liga Portugal
Hélder Morim,Hélder Gomes Morim,"CDM, CM, LB",64,1100000.0,2000.0,22,Chaves,Liga Portugal
Melro,Rodrigo Fernandes Melro,"RW, CAM",63,925000.0,1000.0,19,Chaves,Liga Portugal
Gonçalo Pinto,Gonçalo Filipe Jesus Pinto,GK,62,500000.0,1000.0,23,Chaves,Liga Portugal
Pedro Pinho,Pedro Nuno Almeida Pinho,"CDM, CM",62,575000.0,1000.0,23,Chaves,Liga Portugal
Edu Borges,Eduardo Salvador Rosa Oliveira Borges,CB,60,525000.0,950.0,21,Chaves,Liga Portugal
