short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
X. Shaqiri,Xherdan Shaqiri,"CAM, RM",75,4700000.0,9000.0,31,Chicago Fire,Major League Soccer
R. Czichos,Rafael Czichos,"CB, LB",73,1500000.0,7000.0,33,Chicago Fire,Major League Soccer
A. Souquet,Arnaud Souquet,RB,72,1700000.0,6000.0,31,Chicago Fire,Major League Soccer
G. Giménez,Gastón Claudio Giménez,"CDM, CM",72,1600000.0,6000.0,31,Chicago Fire,Major League Soccer
O. Doumbia,Ousmane Doumbia,"CDM, CB",72,1600000.0,7000.0,31,Chicago Fire,Major League Soccer
K. Kamara,Kaiansu Kei Kamara,ST,70,550000.0,4000.0,38,Chicago Fire,Major League Soccer
F. Navarro,Federico Darío Navarro,"CDM, CM",69,2900000.0,3000.0,23,Chicago Fire,Major League Soccer
C. Mueller,Christopher Mueller,"LM, RM",68,1300000.0,4000.0,26,Chicago Fire,Major League Soccer
K. Przybyłko,Kacper Przybyłko,ST,67,1000000.0,3000.0,30,Chicago Fire,Major League Soccer
C. Brady,Christopher Brady,GK,66,1800000.0,800.0,19,Chicago Fire,Major League Soccer
J. Torres,Ían Jairo Misael Torres Ramírez,"CM, RM, LM",66,1900000.0,2000.0,23,Chicago Fire,Major League Soccer
A. Aceves,Daniel Alonso Aceves Patiño,LB,66,1800000.0,2000.0,22,Chicago Fire,Major League Soccer
M. Haile-Selassie,Maren Haile-Selassie,"RM, CF, LM",66,1400000.0,2000.0,24,Chicago Fire,Major League Soccer
M. Pineda,Mauricio Pineda,"CDM, CB",65,1300000.0,2000.0,25,Chicago Fire,Major League Soccer
G. Koutsias,Georgios Koutsias,"ST, RW, LW",64,1500000.0,1000.0,19,Chicago Fire,Major League Soccer
B. Gutiérrez,Brian Gutiérrez,"LM, CAM, RM",64,1400000.0,2000.0,20,Chicago Fire,Major League Soccer
C. Terán,Carlos Terán Díaz,"CB, RB",64,1400000.0,2000.0,22,Chicago Fire,Major League Soccer
M. Navarro,Miguel Ángel Navarro Zárate,"LB, LM, LWB",64,875000.0,2000.0,24,Chicago Fire,Major League Soccer
F. Herbers,Fabian Herbers,"CAM, CM, CDM",64,575000.0,2000.0,29,Chicago Fire,Major League Soccer
S. Richey,Spencer Richey,GK,64,300000.0,2000.0,31,Chicago Fire,Major League Soccer
J. Gal,Jeffrey Gal,GK,63,350000.0,1000.0,30,Chicago Fire,Major League Soccer
W. Omsberg,Wyatt Omsberg,CB,62,450000.0,1000.0,27,Chicago Fire,Major League Soccer
K. Burks,Kendall Burks,"CB, LB",60,350000.0,1000.0,23,Chicago Fire,Major League Soccer
A. Monis,Alex Monis,"RM, RW",58,500000.0,1000.0,20,Chicago Fire,Major League Soccer
J. Dean,Robert Jonathan Dean Jr,"LB, LM",57,200000.0,1000.0,26,Chicago Fire,Major League Soccer
V. Bezerra,Victor Bezerra,"ST, LW",56,325000.0,1000.0,23,Chicago Fire,Major League Soccer
J. Reynolds,Justin Reynolds,"RB, RWB",52,180000.0,600.0,19,Chicago Fire,Major League Soccer
S. Oregel,Sergio Oregel Jr.,CM,51,190000.0,500.0,18,Chicago Fire,Major League Soccer
J. Casas Jr.,Javier Casas Jr.,CM,50,120000.0,900.0,20,Chicago Fire,Major League Soccer
M. Rodríguez,Missael Rodríguez,ST,50,110000.0,1000.0,20,Chicago Fire,Major League Soccer
