short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Acosta,Luciano Federico Acosta,"CAM, CF",77,10500000.0,10000.0,29,Cincinnati,Major League Soccer
A. Boupendza,Aaron Salem Boupendza Pozzi,"LM, LW, ST",76,8000000.0,9000.0,26,Cincinnati,Major League Soccer
S. Arias,Santiago Arias Naranjo,"RB, RM",75,4100000.0,8000.0,31,Cincinnati,Major League Soccer
B. Vazquez,Brandon Vázquez Toledo,ST,73,6000000.0,7000.0,24,Cincinnati,Major League Soccer
M. Miazga,Matthew Miazga,CB,73,3200000.0,7000.0,27,Cincinnati,Major League Soccer
O. Nwobodo,Obinna Nwobodo,"CDM, CM",72,2800000.0,6000.0,26,Cincinnati,Major League Soccer
J. Moreno,Júnior Leonardo Moreno Borrero,"CDM, CM",71,1600000.0,6000.0,29,Cincinnati,Major League Soccer
Á. Barreal,Álvaro Martín Barreal,"LM, LWB, LW",70,3600000.0,5000.0,22,Cincinnati,Major League Soccer
Y. Mosquera,Yerson Mosquera Valdelamar,CB,68,2500000.0,17000.0,22,Cincinnati,Major League Soccer
R. Celentano,Roman Celentano,GK,68,2300000.0,2000.0,22,Cincinnati,Major League Soccer
N. Hagglund,Nick Hagglund,CB,68,1000000.0,3000.0,30,Cincinnati,Major League Soccer
Sergio Santos,Sergio Henrique Santos Gomes,ST,68,1200000.0,4000.0,28,Cincinnati,Major League Soccer
Y. Kubo,久保 裕也,"CM, CDM, LM",67,1000000.0,3000.0,29,Cincinnati,Major League Soccer
R. Gaddis,Raymon Gaddis,"RB, RM",66,450000.0,2000.0,33,Cincinnati,Major League Soccer
A. Powell,Alvas Elvis Powell,"RB, RWB, RM",66,775000.0,2000.0,28,Cincinnati,Major League Soccer
D. Badji,Dominique Badji,"ST, RM",66,850000.0,3000.0,30,Cincinnati,Major League Soccer
M. Angulo,Marco Antonio Angulo Solórzano,"CDM, CM, CF",65,1500000.0,1000.0,21,Cincinnati,Major League Soccer
A. Kann,Alec Kann,GK,65,350000.0,2000.0,32,Cincinnati,Major League Soccer
I. Murphy,Ian Murphy,"CB, LWB",61,600000.0,1000.0,23,Cincinnati,Major League Soccer
E. Louro,Evan Michael Louro,GK,60,250000.0,1000.0,27,Cincinnati,Major League Soccer
A. Ordoñez,Arquimides Ordoñez,"ST, LW",56,350000.0,900.0,19,Cincinnati,Major League Soccer
B. Halsey,Bret Halsey,"RB, CM",53,200000.0,1000.0,23,Cincinnati,Major League Soccer
I. Foster,Isaiah Foster,LB,52,160000.0,600.0,19,Cincinnati,Major League Soccer
J. Akpunonu,Joey Akpunonu,CB,52,170000.0,850.0,21,Cincinnati,Major League Soccer
P. Walters,Paul Walters,GK,51,120000.0,500.0,19,Cincinnati,Major League Soccer
G. Valenzuela,Gerardo Valenzuela,CAM,50,120000.0,500.0,18,Cincinnati,Major League Soccer
M. Pinto,Malik Pinto,CM,50,100000.0,900.0,20,Cincinnati,Major League Soccer
L. Aghedo,London Aghedo,CB,50,90000.0,950.0,23,Cincinnati,Major League Soccer
