short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
E. Kastrati,Elhan Kastrati,GK,69,1600000.0,1000.0,26,Cittadella,Serie B
D. Frare,Domenico Frare,CB,68,1200000.0,1000.0,27,Cittadella,Serie B
A. Salvi,Alessandro Salvi,"RB, LB, RM",68,375000.0,1000.0,35,Cittadella,Serie B
S. Branca,Simone Branca,"CM, CDM",68,1000000.0,2000.0,31,Cittadella,Serie B
A. Vita,Alessio Vita,"CM, RB",67,975000.0,1000.0,30,Cittadella,Serie B
N. Pavan,Nicola Pavan,"CM, CDM, CB",66,825000.0,1000.0,30,Cittadella,Serie B
A. Danzi,Andrea Danzi,"CM, CDM",65,1100000.0,850.0,24,Cittadella,Serie B
G. Carriero,Giuseppe Carriero,CM,65,950000.0,900.0,25,Cittadella,Serie B
F. Pittarello,Filippo Pittarello,ST,65,950000.0,1000.0,26,Cittadella,Serie B
L. Maniero,Luca Maniero,GK,65,600000.0,750.0,28,Cittadella,Serie B
E. Baldini,Enrico Baldini,"ST, CAM",65,850000.0,1000.0,26,Cittadella,Serie B
T. Maistrello,Tommy Maistrello,ST,65,700000.0,1000.0,30,Cittadella,Serie B
M. Angeli,Matteo Angeli,CB,64,1300000.0,550.0,20,Cittadella,Serie B
E. Sottini,Edoardo Sottini,"CB, LB",64,1200000.0,550.0,20,Cittadella,Serie B
F. Amatucci,Francesco Amatucci,"CM, CDM",64,925000.0,750.0,22,Cittadella,Serie B
A. Magrassi,Andrea Magrassi,ST,64,575000.0,950.0,30,Cittadella,Serie B
E. Kornvig,Emil Nestved Kornvig,CM,63,1100000.0,700.0,23,Cittadella,Serie B
V. Mastrantonio,Valerio Mastrantonio,CM,63,950000.0,700.0,24,Cittadella,Serie B
A. Tessiore,Andrea Tessiore,CM,62,875000.0,600.0,23,Cittadella,Serie B
L. Pandolfi,Luca Pandolfi,ST,62,600000.0,700.0,25,Cittadella,Serie B
S. Visentin,Santiago Guido Visentin,CB,61,675000.0,500.0,24,Cittadella,Serie B
F. Giraudo,Federico Giraudo,"LB, LM",61,425000.0,500.0,24,Cittadella,Serie B
L. Carissoni,Lorenzo Carissoni,RB,61,375000.0,600.0,26,Cittadella,Serie B
C. Cassano,Claudio Cassano,"CAM, RW",58,450000.0,500.0,19,Cittadella,Serie B
F. Manfrin,Filippo Manfrin,GK,57,375000.0,500.0,19,Cittadella,Serie B
A. Rizza,Alessio Rizza,LB,54,230000.0,500.0,20,Cittadella,Serie B
