short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Gastien,Johan Gastien,"CDM, CM",76,2100000.0,13000.0,35,Clermont,Ligue 1
M. Diaw,Mory Diaw,GK,74,3200000.0,13000.0,30,Clermont,Ligue 1
Neto Borges,Vivaldo Borges dos Santos Neto,"LWB, LB",74,4500000.0,16000.0,26,Clermont,Ligue 1
M. Gonalons,Maxime Gonalons,"CDM, CM",74,1400000.0,16000.0,34,Clermont,Ligue 1
Y. Magnin,Yohann Magnin,"CDM, CM",73,3200000.0,15000.0,26,Clermont,Ligue 1
A. Pelmard,Andy Joseph Pelmard,CB,72,4900000.0,11000.0,23,Clermont,Ligue 1
A. Seidu,Alidu Seidu,"CB, RB",72,4900000.0,11000.0,23,Clermont,Ligue 1
S. Nicholson,Shamar Amaro Nicholson,ST,72,3100000.0,15000.0,26,Clermont,Ligue 1
M. Caufriez,Maximiliano Caufriez,CB,72,2600000.0,13000.0,26,Clermont,Ligue 1
E. Rashani,Elbasan Rashani,"LW, LM",72,2300000.0,15000.0,30,Clermont,Ligue 1
G. Kyei,Grejohn Kyei,ST,72,2500000.0,15000.0,27,Clermont,Ligue 1
M. Cham,Muhammed-Cham Saračević,"CAM, RW",71,4200000.0,11000.0,22,Clermont,Ligue 1
B. Boutobba,Bilal Boutobba,RM,71,2600000.0,11000.0,24,Clermont,Ligue 1
F. Ogier,Florent Ogier,CB,70,525000.0,10000.0,34,Clermont,Ligue 1
J. Allevinah,Jim Émilien Ngowet Allevinah,"RM, RWB, LM",70,1600000.0,11000.0,28,Clermont,Ligue 1
J. Bela,Jérémie Bela,"LW, LWB, RWB",69,1300000.0,10000.0,30,Clermont,Ligue 1
K. Andrić,Komnen Andrić,ST,69,1400000.0,10000.0,28,Clermont,Ligue 1
H. Keïta,Habib Ali Keita,"CM, CDM",68,2700000.0,6000.0,21,Clermont,Ligue 1
M. Zeffane,Mehdi Zeffane,"RWB, LWB",68,875000.0,7000.0,31,Clermont,Ligue 1
Y. Armougom,Yoël Armougom,"LB, LWB, LM",67,1400000.0,6000.0,25,Clermont,Ligue 1
A. Maurer,Aïman Maurer,"LW, CAM",64,1400000.0,2000.0,18,Clermont,Ligue 1
M. Ndiaye,Massamba Ndiaye,GK,64,1100000.0,2000.0,21,Clermont,Ligue 1
C. Konaté,Cheick Oumar Konaté,"CB, RB",63,1100000.0,2000.0,19,Clermont,Ligue 1
T. Borne,Théo Borne,GK,57,300000.0,1000.0,20,Clermont,Ligue 1
S. Berkani,Stan Berkani,CDM,57,300000.0,1000.0,19,Clermont,Ligue 1
