short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. McGeehan,Cameron Alexander McGeehan,CM,66,850000.0,4000.0,28,Colchester United,League Two
M. Egbo,Mandela Chinweizu Egbo,"RWB, RB",65,825000.0,3000.0,25,Colchester United,League Two
N. Chilvers,Noah Christopher Chilvers,"CAM, CM",64,1300000.0,2000.0,22,Colchester United,League Two
O. Edwards,Owura Edwards,"LM, RM",64,1300000.0,2000.0,22,Colchester United,League Two
C. Hall,Connor Hall,CB,64,475000.0,2000.0,30,Colchester United,League Two
J. Mingi,Jade Jay Mingi,"CM, CDM",63,975000.0,2000.0,22,Colchester United,League Two
M. Jay,Matthew William Jay,CAM,63,500000.0,2000.0,27,Colchester United,League Two
E. Iandolo,Ellis Carlo Iandolo,"LWB, LB, CM",62,475000.0,2000.0,25,Colchester United,League Two
T. Dallison,Thomas Albert Dallison-Lisbon,"CB, LB",62,400000.0,2000.0,27,Colchester United,League Two
O. Goodman,Owen Goodman,GK,61,675000.0,2000.0,19,Colchester United,League Two
F. Kelleher,Fiacre Blane Kelleher,CB,61,325000.0,2000.0,27,Colchester United,League Two
T. Hopper,Thomas Edward Hopper,ST,61,325000.0,2000.0,29,Colchester United,League Two
A. Newby,Alexander Lewis Newby,"RM, CAM",61,350000.0,2000.0,27,Colchester United,League Two
N. Lawrence,Nico Lawrence,"CB, CDM",60,550000.0,4000.0,20,Colchester United,League Two
S. Tovide,Samson Tovide,ST,60,525000.0,1000.0,19,Colchester United,League Two
A. Read,Arthur James Read,"CM, CDM",60,375000.0,2000.0,23,Colchester United,League Two
A. Kazeem,Al-Amin Kazeem,"LWB, LB",60,350000.0,1000.0,21,Colchester United,League Two
J. Akinde,John Job Ayo Akinde,ST,60,160000.0,2000.0,33,Colchester United,League Two
Mauro Bandeira,Mauro Gomes Bandeira,"CM, RWB",58,525000.0,7000.0,19,Colchester United,League Two
T. Smith,Tom Smith,GK,58,450000.0,850.0,21,Colchester United,League Two
M. Marshall Miranda,Marley Marshall Miranda,"CDM, CM",58,425000.0,1000.0,20,Colchester United,League Two
J. Fevrier,Jayden Fevrier,"LM, LWB, RWB",57,400000.0,1000.0,20,Colchester United,League Two
J. Taylor,Joe Taylor,ST,57,400000.0,6000.0,20,Colchester United,League Two
W. Greenidge,Will Greenidge,"CB, RB, RWB",57,350000.0,1000.0,21,Colchester United,League Two
Z. Mitchell,Zach Mitchell,"CB, CDM",56,275000.0,600.0,18,Colchester United,League Two
B. Ihionvien,Bradley Ihionvien,ST,55,300000.0,1000.0,19,Colchester United,League Two
C. Cooper,Chay Cooper,"CAM, RM, LM",54,170000.0,1000.0,21,Colchester United,League Two
D. Thomas,Donell Thomas,"CAM, ST",53,200000.0,950.0,19,Colchester United,League Two
