short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Cucho Hernández,Juan Camilo Hernández Suárez,"ST, RM, LM",76,11500000.0,9000.0,24,Columbus Crew,Major League Soccer
D. Rossi,Diego Martín Rossi Marachlian,"LM, CF",76,10000000.0,9000.0,25,Columbus Crew,Major League Soccer
D. Nagbe,Darlington Joephillip Nagbe,"CM, CDM",74,3300000.0,8000.0,32,Columbus Crew,Major League Soccer
J. Gressel,Julian Gressel,"RM, CM, RWB",73,3000000.0,8000.0,29,Columbus Crew,Major League Soccer
A. Morris,Aidan Morris,"CDM, CM",70,3400000.0,3000.0,21,Columbus Crew,Major League Soccer
R. Camacho,Rudy Camacho,CB,69,900000.0,4000.0,32,Columbus Crew,Major League Soccer
S. Moreira,Steven Moreira,"CB, RB",69,1200000.0,4000.0,28,Columbus Crew,Major League Soccer
C. Ramirez,Christian Ramírez,"ST, CF",68,975000.0,4000.0,32,Columbus Crew,Major League Soccer
M. Amundsen,Malte Meineche Amundsen,"LB, CB, LM",67,1200000.0,3000.0,25,Columbus Crew,Major League Soccer
P. Schulte,Patrick Schulte,GK,66,1700000.0,2000.0,22,Columbus Crew,Major League Soccer
A. Mățan,Alexandru Irinel Mățan,"CF, LW",66,1400000.0,2000.0,23,Columbus Crew,Major League Soccer
Y. Yeboah,Yaw Yeboah,"LM, CF",66,1000000.0,3000.0,26,Columbus Crew,Major League Soccer
J. Williams,Josh Williams,CB,66,230000.0,2000.0,35,Columbus Crew,Major League Soccer
K. Molino,Kevin Molino,"CAM, LM, CF",66,525000.0,3000.0,33,Columbus Crew,Major League Soccer
Y. Cheberko,Yevgen Cheberko,CB,65,1000000.0,2000.0,25,Columbus Crew,Major League Soccer
M. Farsi,Mohamed Farsi,"RM, RB",64,1300000.0,2000.0,23,Columbus Crew,Major League Soccer
J. Medranda,Jimmy Gerardo Medranda Obando,"LB, LM, LWB",64,525000.0,2000.0,29,Columbus Crew,Major League Soccer
G. Vallecilla,Exon Gustavo Vallecilla Godoy,CB,63,1000000.0,1000.0,24,Columbus Crew,Major League Soccer
E. Bush,Evan Bush,GK,63,50000.0,900.0,37,Columbus Crew,Major League Soccer
W. Sands,William Sands,"LM, LB",62,900000.0,1000.0,22,Columbus Crew,Major League Soccer
S. Zawadzki,Sean Zawadzki,"CB, CDM",61,675000.0,1000.0,23,Columbus Crew,Major League Soccer
J. Russell-Rowe,Jacen Russell-Rowe,"ST, CF",60,600000.0,1000.0,20,Columbus Crew,Major League Soccer
P. Quinton,Philip Quinton,CB,60,450000.0,1000.0,23,Columbus Crew,Major League Soccer
B. Scott,Brady Canfield Scott,GK,59,425000.0,850.0,24,Columbus Crew,Major League Soccer
M. Arfsten,Maximilian Arfsten,"RM, LM",55,275000.0,1000.0,22,Columbus Crew,Major League Soccer
I. Parente,Isaiah Parente,CAM,55,275000.0,1000.0,23,Columbus Crew,Major League Soccer
J. Morris,Jake Morris,"LB, CB",52,110000.0,1000.0,24,Columbus Crew,Major League Soccer
