short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
S. Verdi,Simone Verdi,"CF, CAM",74,4100000.0,5000.0,30,Como,Serie B
O. Abildgaard,Oliver Abildgaard,"CDM, CM",73,3100000.0,4000.0,27,Como,Serie B
P. Cutrone,Patrick Cutrone,ST,72,3300000.0,4000.0,25,Como,Serie B
F. Barba,Federico Barba,"CB, LB",72,2000000.0,4000.0,29,Como,Serie B
A. Bellemo,Alessandro Bellemo,"CM, CDM",72,2500000.0,4000.0,27,Como,Serie B
L. Da Cunha,Lucas Da Cunha,"CAM, RM",71,2900000.0,3000.0,22,Como,Serie B
D. Baselli,Daniele Baselli,"CM, CDM",71,1500000.0,3000.0,31,Como,Serie B
M. Curto,Marco Curto,"CB, RB",70,3000000.0,2000.0,24,Como,Serie B
Álex Blanco,Alejandro Blanco Sánchez,"LM, CAM, CM",70,2400000.0,3000.0,24,Como,Serie B
A. Šemper,Adrian Šemper,GK,70,1600000.0,2000.0,25,Como,Serie B
N. Ioannou,Nikolas Ioannou,"LB, LM",70,1700000.0,3000.0,27,Como,Serie B
C. Odenthal,Cas Odenthal,CB,69,2900000.0,2000.0,22,Como,Serie B
A. Cerri,Alberto Cerri,ST,69,1600000.0,3000.0,27,Como,Serie B
F. Scaglia,Filippo Scaglia,CB,69,950000.0,2000.0,31,Como,Serie B
M. Sala,Marco Sala,"LB, LM, LWB",68,1600000.0,2000.0,24,Como,Serie B
T. Arrigoni,Tommaso Arrigoni,"CM, CDM",68,1200000.0,2000.0,29,Como,Serie B
L. Vignali,Luca Vignali,"RM, RB, RWB",68,1300000.0,2000.0,27,Como,Serie B
L. Kerrigan,Liam Kerrigan,"RM, CM",66,1400000.0,1000.0,23,Como,Serie B
M. Chajia,Moutir Chajia,"LM, CAM",66,1100000.0,1000.0,25,Como,Serie B
P. Faragò,Paolo Pancrazio Faragò,"CM, RB, RWB",66,825000.0,2000.0,30,Como,Serie B
M. Solini,Matteo Solini,CB,66,700000.0,1000.0,30,Como,Serie B
A. Iovine,Alessio Iovine,"RM, RB, CM",66,675000.0,2000.0,32,Como,Serie B
M. Mustapha,Marlon Suliman Mustapha,ST,65,1600000.0,1000.0,22,Como,Serie B
B. Kone,Benjamin Lhassine Kone,CM,64,1300000.0,8000.0,23,Como,Serie B
A. Gabrielloni,Alessandro Gabrielloni,ST,64,600000.0,1000.0,28,Como,Serie B
T. Cassandro,Tommaso Cassandro,"RB, RM",63,925000.0,850.0,23,Como,Serie B
P. Bolchini,Pierre Bolchini,GK,62,775000.0,600.0,24,Como,Serie B
M. Vigorito,Mauro Vigorito,GK,62,130000.0,700.0,33,Como,Serie B
D. Ronco,Diego Ronco,CB,58,475000.0,500.0,18,Como,Serie B
