short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
F. Forte,Francesco Forte,ST,70,1600000.0,4000.0,30,Cosenza,Serie B
L. Canotto,Luigi Canotto,"RW, ST, RM",70,1600000.0,9000.0,29,Cosenza,Serie B
I. Voca,Idriz Voca,"CDM, CM, CAM",69,1700000.0,2000.0,26,Cosenza,Serie B
S. Mazzocchi,Simone Mazzocchi,"ST, CAM",69,2000000.0,19000.0,24,Cosenza,Serie B
A. Rispoli,Andrea Rispoli,"RB, RM",69,500000.0,2000.0,34,Cosenza,Serie B
A. Micai,Alessandro Micai,GK,69,950000.0,2000.0,29,Cosenza,Serie B
T. D'Orazio,Tommaso D'Orazio,"LB, LM",69,725000.0,2000.0,33,Cosenza,Serie B
G. Calò,Giacomo Calò,"CDM, CM",68,1600000.0,2000.0,26,Cosenza,Serie B
G. Tutino,Gennaro Tutino,"ST, LW, CAM",68,1400000.0,2000.0,26,Cosenza,Serie B
A. Fontanarosa,Alessandro Fontanarosa,"CB, LB",67,2300000.0,13000.0,20,Cosenza,Serie B
M. Praszelik,Mateusz Praszelik,"CF, CAM",66,1900000.0,7000.0,22,Cosenza,Serie B
M. Viviani,Mattia Viviani,"CDM, CM",66,1600000.0,950.0,22,Cosenza,Serie B
M. Venturi,Michael Venturi,CB,66,1200000.0,950.0,24,Cosenza,Serie B
F. Sgarbi,Filippo Lorenzo Sgarbi,CB,66,1100000.0,1000.0,25,Cosenza,Serie B
M. Marras,Manuel Marras,"CAM, RW, RM",66,850000.0,1000.0,29,Cosenza,Serie B
F. Zuccon,Federico Zuccon,"CM, CDM",65,1700000.0,8000.0,20,Cosenza,Serie B
A. Florenzi,Aldo Florenzi,"CM, LM",65,1600000.0,800.0,21,Cosenza,Serie B
A. Meroni,Andrea Meroni,CB,65,875000.0,1000.0,26,Cosenza,Serie B
P. Martino,Pietro Martino,"RB, LB",65,825000.0,950.0,25,Cosenza,Serie B
V. Crespi,Valerio Crespi,"ST, CAM",64,1500000.0,4000.0,18,Cosenza,Serie B
L. Marson,Leonardo Marson,GK,63,600000.0,600.0,25,Cosenza,Serie B
B. Cimino,Baldovino Cimino,"RB, RM, CB",62,1000000.0,500.0,19,Cosenza,Serie B
S. La Vardera,Salvatore Dario La Vardera,LB,61,700000.0,500.0,21,Cosenza,Serie B
A. Arioli,Alessandro Arioli,"CAM, ST",60,550000.0,500.0,20,Cosenza,Serie B
J. Novello,Jahce Tyler Novello,"ST, CAM, LW",59,575000.0,500.0,19,Cosenza,Serie B
R. Maresca,Raffaele Maresca,"CDM, CM",59,525000.0,500.0,20,Cosenza,Serie B
M. Zilli,Massimo Zilli,"ST, CAM",59,500000.0,550.0,20,Cosenza,Serie B
A. Lai,Alessandro Lai,GK,58,400000.0,500.0,22,Cosenza,Serie B
