short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. van Ewijk,Milan Fabrizio van Ewijk,"RWB, RB",75,11000000.0,31000.0,22,Coventry City,Championship
H. Wright,Haji Wright,ST,74,5500000.0,39000.0,25,Coventry City,Championship
B. Sheaf,Ben Sheaf,"CDM, CM",73,4100000.0,30000.0,25,Coventry City,Championship
C. O'Hare,Callum O'Hare,"CAM, CF",72,3400000.0,29000.0,25,Coventry City,Championship
T. Sakamoto,坂元 達裕,"CAM, RWB, LWB",72,2800000.0,30000.0,26,Coventry City,Championship
K. McFadzean,Kyle John McFadzean,CB,71,325000.0,17000.0,36,Coventry City,Championship
J. Bidwell,Jake Bidwell,"LWB, LB, CB",71,1600000.0,24000.0,30,Coventry City,Championship
J. Dasilva,Jay Dasilva,"LWB, LB",70,2100000.0,20000.0,25,Coventry City,Championship
L. Binks,Luis Thomas Binks,CB,69,2900000.0,9000.0,21,Coventry City,Championship
E. Simms,Ellis Simms,ST,69,3200000.0,19000.0,22,Coventry City,Championship
J. Eccles,Josh Eccles,"CDM, CM, RWB",69,2900000.0,15000.0,23,Coventry City,Championship
J. Latibeaudiere,Joël Latibeaudiere,"CB, RWB",69,2900000.0,15000.0,23,Coventry City,Championship
K. Palmer,Kasey Palmer,"CAM, CF",69,1700000.0,20000.0,26,Coventry City,Championship
M. Godden,Matt Godden,ST,69,1200000.0,21000.0,31,Coventry City,Championship
B. Wilson,Ben Wilson,GK,69,925000.0,15000.0,30,Coventry City,Championship
B. Thomas,Bobby Thomas,CB,68,2500000.0,13000.0,22,Coventry City,Championship
J. Allen,Jamie Allen,"CAM, CM",68,1200000.0,17000.0,28,Coventry City,Championship
L. Kitching,Liam Kitching,CB,67,1500000.0,11000.0,23,Coventry City,Championship
B. Collins,Bradley Collins,GK,67,1100000.0,11000.0,26,Coventry City,Championship
S. Moore,Simon Moore,GK,67,325000.0,11000.0,33,Coventry City,Championship
L. Kelly,Liam Kelly,"CDM, CM",66,425000.0,11000.0,33,Coventry City,Championship
Y. Ayari,Yasin Abbas Ayari,"CM, CAM",63,1200000.0,8000.0,19,Coventry City,Championship
Fábio Tavares,Fábio André Tavares Desidério,ST,61,750000.0,7000.0,22,Coventry City,Championship
M. Rus,Marco Rus,"CAM, RW",57,400000.0,5000.0,20,Coventry City,Championship
E. Eghosa,Evan Eghosa,"CAM, ST, RW",56,350000.0,850.0,17,Coventry City,Championship
K. Andrews,Kai Andrews,"ST, CAM",56,350000.0,1000.0,16,Coventry City,Championship
J. Obikwu,Justin Obikwu,ST,56,350000.0,4000.0,19,Coventry City,Championship
C. Tyler,Cian Tyler,GK,56,300000.0,3000.0,21,Coventry City,Championship
B. Stretton,Bradley Stretton,ST,53,240000.0,3000.0,18,Coventry City,Championship
R. Di Trolio,Riccardo Di Trolio,CB,52,190000.0,500.0,17,Coventry City,Championship
