short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Atanasov,Jani Atanasov,"CM, CDM",70,3200000.0,6000.0,23,Cracovia Kraków,Ekstraklasa
V. Ghiță,Virgil Eugen Ghiță,CB,67,1400000.0,4000.0,25,Cracovia Kraków,Ekstraklasa
T. Oshima,大島 拓登,CM,67,1500000.0,4000.0,25,Cracovia Kraków,Ekstraklasa
M. Rasmussen,Mathias Hebo Rasmussen,CM,67,1100000.0,4000.0,27,Cracovia Kraków,Ekstraklasa
M. Rakoczy,Michał Rakoczy,"CF, CAM, RM",66,2100000.0,3000.0,21,Cracovia Kraków,Ekstraklasa
P. Makuch,Patryk Makuch,"ST, CF",66,1400000.0,3000.0,24,Cracovia Kraków,Ekstraklasa
K. Glik,Kamil Jacek Glik,CB,66,230000.0,2000.0,35,Cracovia Kraków,Ekstraklasa
C. Râpă,Cornel Emilian Râpă,"RWB, CB, RM",66,450000.0,3000.0,33,Cracovia Kraków,Ekstraklasa
P. Jaroszyński,Paweł Kamil Jaroszyński,"LWB, LM, CB",66,775000.0,3000.0,28,Cracovia Kraków,Ekstraklasa
O. Kakabadze,Otar Kakabadze,"RM, RWB",66,850000.0,4000.0,28,Cracovia Kraków,Ekstraklasa
J. Jugas,Jakub Jugas,CB,66,575000.0,3000.0,31,Cracovia Kraków,Ekstraklasa
D. Jablonský,David Jablonský,CB,65,500000.0,3000.0,31,Cracovia Kraków,Ekstraklasa
J. Myszor,Jakub Myszor,"CF, RM",64,1400000.0,2000.0,21,Cracovia Kraków,Ekstraklasa
K. Knap,Karol Knap,"CM, CDM",64,1300000.0,2000.0,21,Cracovia Kraków,Ekstraklasa
B. Källman,Benjamin Källman,ST,64,875000.0,3000.0,25,Cracovia Kraków,Ekstraklasa
A. Hoskonen,Arttu Hoskonen,"CB, RB",64,775000.0,2000.0,26,Cracovia Kraków,Ekstraklasa
A. Skovgaard,Andreas Skovgaard Larsen,CB,64,675000.0,2000.0,26,Cracovia Kraków,Ekstraklasa
M. Bochnak,Mateusz Bochnak,"RM, CF",64,725000.0,3000.0,25,Cracovia Kraków,Ekstraklasa
Thiago,Thiago Rodrigues de Souza,"LM, CM",63,575000.0,2000.0,26,Cracovia Kraków,Ekstraklasa
L. Hroššo,Lukáš Hroššo,GK,63,50000.0,1000.0,36,Cracovia Kraków,Ekstraklasa
P. Zaucha,Patryk Zaucha,"LM, LWB",60,550000.0,2000.0,23,Cracovia Kraków,Ekstraklasa
S. Lusiusz,Sylwester Łusiusz,"CM, CDM",60,375000.0,2000.0,23,Cracovia Kraków,Ekstraklasa
S. Madejski,Sebastian Madejski,GK,60,275000.0,1000.0,26,Cracovia Kraków,Ekstraklasa
A. Wilk,Adam Wilk,GK,60,300000.0,1000.0,25,Cracovia Kraków,Ekstraklasa
K. Jodłowski,Kacper Jodłowski,CDM,58,300000.0,1000.0,24,Cracovia Kraków,Ekstraklasa
O. Wójcik,Oskar Wójcik,CB,57,325000.0,900.0,19,Cracovia Kraków,Ekstraklasa
F. Rózga,Filip Rózga,LM,56,450000.0,500.0,16,Cracovia Kraków,Ekstraklasa
O. Hyla,Oliwier Hyla,"RWB, CB",53,250000.0,500.0,18,Cracovia Kraków,Ekstraklasa
