short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Tsaroulla,Nicholas Tsaroulla,"LWB, LB",63,675000.0,2000.0,24,Crawley Town,League Two
D. Conroy,Dion John Conroy,CB,62,375000.0,2000.0,27,Crawley Town,League Two
L. Kelly,Liam Anthony Kelly,"CM, CDM",62,425000.0,2000.0,27,Crawley Town,League Two
K. Gordon,Kellan Sheene Gordon,"RB, RWB",61,425000.0,2000.0,25,Crawley Town,League Two
W. Wright,Will Wright,"RB, CB",61,350000.0,2000.0,26,Crawley Town,League Two
B. Gladwin,Benjamin Thomas Gladwin,CM,61,275000.0,2000.0,31,Crawley Town,League Two
K. Swyer,Kamarai Simon-Swyer,"CAM, LM",60,600000.0,7000.0,20,Crawley Town,League Two
L. Maguire,Laurence Henry Maguire,"CB, LB",60,325000.0,2000.0,26,Crawley Town,League Two
R. Darcy,Ronan Thomas Darcy,CM,60,350000.0,2000.0,22,Crawley Town,League Two
H. Ransom,Harry Ransom,CB,59,425000.0,2000.0,23,Crawley Town,League Two
H. Forster,Harry Forster,"LM, RM",59,350000.0,2000.0,23,Crawley Town,League Two
A. Grant,Anthony Paul Shaun Andrew Daure Grant,"CDM, CB, CM",59,45000.0,1000.0,36,Crawley Town,League Two
A. Campbell,Adam Campbell,ST,59,230000.0,2000.0,28,Crawley Town,League Two
R. Khaleel,Khaleel Rafiq Salah-Edine,"CAM, CM, LM",58,500000.0,2000.0,20,Crawley Town,League Two
L. Ashby-Hammond,Luca Ashby-Hammond,GK,58,400000.0,6000.0,22,Crawley Town,League Two
J. Williams,Jay Williams,"CDM, CB",58,400000.0,2000.0,22,Crawley Town,League Two
K. Lolos,Klaidi Lolos,ST,58,425000.0,2000.0,22,Crawley Town,League Two
T. Johnson,Travis Joel Gary Johnson,"RB, RWB, CB",58,300000.0,2000.0,22,Crawley Town,League Two
C. Addai,Corey Addai,GK,58,210000.0,1000.0,25,Crawley Town,League Two
D. Orsi,Danilo Orsi-Dadamo,ST,58,240000.0,2000.0,27,Crawley Town,League Two
J. Roles,Jack Roles,"CM, CAM",57,200000.0,2000.0,24,Crawley Town,League Two
T. Omole,Tobi Omole,"CB, LB",56,200000.0,2000.0,23,Crawley Town,League Two
J. Mukena,Joy Richard Mpinga Mukena,CB,56,200000.0,2000.0,23,Crawley Town,League Two
A. Henry,Aaron Henry,CM,55,300000.0,1000.0,19,Crawley Town,League Two
A. Adeyemo,Ade Adeyemo,"ST, CAM",55,170000.0,2000.0,24,Crawley Town,League Two
F. Kastrati,Florian Kastrati,RM,54,170000.0,1000.0,20,Crawley Town,League Two
J. Brown,Jed Brown,"LM, CAM",54,150000.0,2000.0,24,Crawley Town,League Two
