short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Ledesma,Jeremías Conan Ledesma,GK,82,20500000.0,32000.0,30,Cádiz,La Liga
M. Gómez,Maximiliano Gómez González,ST,77,12500000.0,52000.0,26,Cádiz,La Liga
D. Machís,Darwin Daniel Machís Marcano,LM,77,10000000.0,13000.0,30,Cádiz,La Liga
G. Escalante,Gonzalo Escalante,"CM, CDM",77,10000000.0,30000.0,30,Cádiz,La Liga
Víctor Chust,Víctor Chust García,CB,75,11500000.0,21000.0,23,Cádiz,La Liga
Negredo,Álvaro Negredo Sánchez,ST,75,1900000.0,22000.0,37,Cádiz,La Liga
Álex Fernández,Alejandro Fernández Iglesias,"CAM, CM, CDM",75,5500000.0,27000.0,30,Cádiz,La Liga
Luís Hernández,Luís Hernández Rodríguez,CB,75,1800000.0,25000.0,34,Cádiz,La Liga
Fali,Rafael Jiménez Jarque,"CB, CDM",75,4700000.0,26000.0,29,Cádiz,La Liga
Rubén Alcaraz,Rubén Alcaraz Jiménez,"CM, CDM",75,4400000.0,27000.0,32,Cádiz,La Liga
R. Kouamé,Rominigue Kouamé,"CM, CDM",74,5000000.0,25000.0,26,Cádiz,La Liga
Chris Ramos,Christopher Ramos de la Flor,"ST, LM, RM",74,5000000.0,27000.0,26,Cádiz,La Liga
Rubén Sobrino,Rubén Sobrino Pozuelo,"LM, RM, ST",74,3500000.0,25000.0,31,Cádiz,La Liga
Zaldúa,Joseba Zaldúa Bengoetxea,RB,74,3100000.0,23000.0,31,Cádiz,La Liga
Iza Carcelén,Isaac Carcelén Valencia,"RB, RM",74,3600000.0,23000.0,30,Cádiz,La Liga
Iván Alejo,Iván Alejo Peralta,"RM, LM",74,4200000.0,26000.0,28,Cádiz,La Liga
Roger Martí,Roger Martí Salvador,ST,73,2500000.0,25000.0,32,Cádiz,La Liga
Robert Navarro,Robert Navarro Muñoz,"LM, CM",72,5500000.0,16000.0,21,Cádiz,La Liga
B. Ocampo,Brian Alexis Ocampo Ferreira,"LM, RM",72,3700000.0,18000.0,24,Cádiz,La Liga
Jorge Meré,Jorge Meré Pérez,CB,72,3100000.0,19000.0,26,Cádiz,La Liga
San Emeterio,Federico San Emeterio Díaz,"CM, CDM",72,3000000.0,20000.0,26,Cádiz,La Liga
David Gil,David Gil Mohedano,GK,72,1900000.0,16000.0,29,Cádiz,La Liga
Sergi Guardiola,Sergio Guardiola Navarro,ST,72,1900000.0,22000.0,32,Cádiz,La Liga
Lucas Pires,Lucas Pires Silva,"LB, LM, LW",71,4000000.0,14000.0,22,Cádiz,La Liga
M. Mbaye,Mamadou Mbaye,CB,70,2200000.0,14000.0,25,Cádiz,La Liga
Javi Hernández,Javier Hernández Carrera,"LB, CB",70,2200000.0,6000.0,25,Cádiz,La Liga
José Mari,José María Martín-Bejarano Serrano,"CDM, CM",70,450000.0,10000.0,35,Cádiz,La Liga
Martín Calderón,Martín Manuel Calderón Gómez,"CDM, CM",67,2100000.0,8000.0,24,Cádiz,La Liga
David Amigo,David Amigo Calamardo,"LM, CAM, ST",62,1000000.0,4000.0,20,Cádiz,La Liga
Víctor Aznar,Víctor Wehbi Aznar Ussen,GK,62,850000.0,2000.0,20,Cádiz,La Liga
Kikín,José Antonio Ángel García,RB,62,925000.0,3000.0,20,Cádiz,La Liga
K. Etta Eyong,Karl Edouard Blaise Etta Eyong,"CDM, CM",61,725000.0,2000.0,19,Cádiz,La Liga
