short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Benteke,Christian Benteke Liolo,ST,74,3400000.0,9000.0,32,DC United,Major League Soccer
M. Klich,Mateusz Andrzej Klich,"CM, CDM, CF",74,2600000.0,8000.0,33,DC United,Major League Soccer
Pedro Santos,Pedro Miguel Martins Santos,"LB, LM, RM",71,575000.0,4000.0,35,DC United,Major League Soccer
M. Jeahze,Mohanad Abdulkadhim Qasim Al Jebur Jeahze,"LB, LWB",69,1600000.0,4000.0,26,DC United,Major League Soccer
R. Canouse,Russell Canouse,"CDM, CM",69,1300000.0,4000.0,28,DC United,Major League Soccer
A. Najar,Andy Aryel Najar Rodríguez,"RM, RB, CB",69,1300000.0,4000.0,30,DC United,Major League Soccer
T. Miller,Tyler Austin Miller,GK,69,925000.0,3000.0,30,DC United,Major League Soccer
J. Fajardo,José Fajardo,ST,69,1400000.0,5000.0,29,DC United,Major League Soccer
D. Pines,Donovan Pines,CB,68,1700000.0,3000.0,25,DC United,Major League Soccer
M. Rodríguez,Martín Vladimir Rodríguez Torrejón,"LM, LW, ST",68,1200000.0,4000.0,28,DC United,Major League Soccer
S. Birnbaum,Steven Mitchell Birnbaum,CB,68,775000.0,3000.0,32,DC United,Major League Soccer
C. Dájome,Cristián Andrés Dájome Arboleda,"LM, CF, RM",68,1200000.0,4000.0,29,DC United,Major League Soccer
Gabriel Pirani,Gabriel Pirani,"CAM, CF",67,2500000.0,2000.0,21,DC United,Major League Soccer
É. Davis,Éric Davis,LB,67,700000.0,3000.0,32,DC United,Major League Soccer
Y. Asad,Yamil Rodrigo Asad,"LM, CM, CAM",67,1000000.0,3000.0,28,DC United,Major League Soccer
C. Durkin,Christopher James Durkin,"CM, CDM, RM",66,1700000.0,2000.0,23,DC United,Major League Soccer
R. Morrison,Ravel Morrison,"CAM, CM",66,825000.0,3000.0,30,DC United,Major League Soccer
D. Williams,Derrick Williams,CB,66,700000.0,2000.0,30,DC United,Major League Soccer
Ruan,Ruan Gregório Teixeira,"RB, RM",66,775000.0,2000.0,28,DC United,Major League Soccer
A. Bono,Alexander Bono,GK,65,500000.0,2000.0,29,DC United,Major League Soccer
N. Robertha,Nigel Robertha,"ST, LW",64,825000.0,2000.0,25,DC United,Major League Soccer
B. Hines-Ike,Brendan Daniel Hines-Ike,CB,64,500000.0,2000.0,28,DC United,Major League Soccer
E. Hurtado,Erik Hurtado,ST,62,325000.0,2000.0,32,DC United,Major League Soccer
T. Ku-DiPietro,Theodore Ku-DiPietro,"LM, CF",60,600000.0,1000.0,21,DC United,Major League Soccer
J. Greene,Jacob Greene,"LB, LWB, LM",59,525000.0,900.0,20,DC United,Major League Soccer
G. Samaké,Gaoussou Samaké,"LM, LB",59,300000.0,1000.0,25,DC United,Major League Soccer
J. Hopkins,Jackson Hopkins,"CAM, CM",56,375000.0,800.0,19,DC United,Major League Soccer
H. Sargis,Hayden Sargis,CB,54,230000.0,850.0,21,DC United,Major League Soccer
L. Zamudio,Luis Enrique Jr Zamudio Lizardo,GK,53,120000.0,900.0,25,DC United,Major League Soccer
