short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Sarenren Bazee,Noah Joel Sarenren Bazee,RM,70,1700000.0,5000.0,26,DSC Arminia Bielefeld,3. Liga
F. Klos,Fabian Klos,ST,68,525000.0,3000.0,35,DSC Arminia Bielefeld,3. Liga
M. Wintzheimer,Manuel Paul Wintzheimer,ST,67,1500000.0,5000.0,24,DSC Arminia Bielefeld,3. Liga
N. Shipnoski,Nicklas Shipnoski,"RM, CAM",66,1100000.0,3000.0,25,DSC Arminia Bielefeld,3. Liga
M. Biankadi,Merveille Biankadi,"RM, CM",66,850000.0,3000.0,28,DSC Arminia Bielefeld,3. Liga
A. Yıldırım,Aygün Yıldırım,"RM, ST, LM",66,850000.0,3000.0,28,DSC Arminia Bielefeld,3. Liga
S. Belkahia,Semi Belkahia,CB,65,1500000.0,2000.0,24,DSC Arminia Bielefeld,3. Liga
N. Boujellab,Nassim Boujellab,"CAM, CF, CM",65,1100000.0,2000.0,24,DSC Arminia Bielefeld,3. Liga
S. Schreck,Sam Francis Schreck,"CM, CDM",65,1000000.0,2000.0,24,DSC Arminia Bielefeld,3. Liga
M. Wörl,Marius Wörl,"CDM, CM",64,1300000.0,3000.0,19,DSC Arminia Bielefeld,3. Liga
J. Kersken,Jonas Thomas Kersken,GK,64,1100000.0,4000.0,22,DSC Arminia Bielefeld,3. Liga
C. Lannert,Christopher Lannert,RB,64,725000.0,2000.0,25,DSC Arminia Bielefeld,3. Liga
L. Putaro,Leandro Putaro,"RM, ST, LM",64,700000.0,3000.0,26,DSC Arminia Bielefeld,3. Liga
G. Gohlke,Gerrit Gohlke,CB,63,1000000.0,1000.0,24,DSC Arminia Bielefeld,3. Liga
C. Özkan,Can Hayri Özkan,"CDM, CM, RB",63,700000.0,1000.0,23,DSC Arminia Bielefeld,3. Liga
L. Schneider,Leon Schneider,"RB, CB",63,700000.0,1000.0,23,DSC Arminia Bielefeld,3. Liga
M. Großer,Maximilian Großer,CDM,62,850000.0,1000.0,21,DSC Arminia Bielefeld,3. Liga
K. Mizuta,水多 海斗,"CF, CAM",62,900000.0,2000.0,23,DSC Arminia Bielefeld,3. Liga
L. Oppermann,Leo Friedrich Oppermann,GK,60,475000.0,2000.0,21,DSC Arminia Bielefeld,3. Liga
L. Oppie,Louis Oppie,"LB, CB",60,525000.0,950.0,21,DSC Arminia Bielefeld,3. Liga
T. Geerkens,Tom Geerkens,CDM,59,475000.0,1000.0,22,DSC Arminia Bielefeld,3. Liga
V. Cherny,Vladislav Cherny,CAM,58,500000.0,1000.0,20,DSC Arminia Bielefeld,3. Liga
H. Koch,Henrik Koch,ST,57,450000.0,500.0,16,DSC Arminia Bielefeld,3. Liga
L. Kiewitt,Lucas Kiewitt,RM,57,400000.0,500.0,17,DSC Arminia Bielefeld,3. Liga
J. Busse,Jonah Busse,GK,56,350000.0,500.0,17,DSC Arminia Bielefeld,3. Liga
H. Obermeyer,Henry Obermeyer,"CDM, CB",56,350000.0,500.0,17,DSC Arminia Bielefeld,3. Liga
