short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Stanciu,Nicolae Claudiu Stanciu,"CM, CAM",77,10000000.0,24000.0,30,Damac,Pro League
T. Hamed,Tarek Hamed,"CDM, CM",75,1900000.0,19000.0,34,Damac,Pro League
A. Maher,Adam Maher,"CDM, CM",74,3600000.0,19000.0,29,Damac,Pro League
G. Nkoudou,Georges-Kévin Nkoudou Mbida,"LW, LM",74,4200000.0,22000.0,28,Damac,Pro League
D. Antolić,Domagoj Antolić,"CM, CAM, CDM",73,2400000.0,18000.0,32,Damac,Pro League
M. Zeghba,Moustapha Zeghba,GK,73,1500000.0,13000.0,32,Damac,Pro League
F. Chafaï,Farouk Chafaï,CB,73,1500000.0,16000.0,33,Damac,Pro League
A. Ceesay,Assan Torrez Ceesay,ST,70,1600000.0,14000.0,29,Damac,Pro League
A. Bedrane,Abdelkader Bedrane,CB,70,1100000.0,11000.0,31,Damac,Pro League
A. Al Bishi,Abdulaziz Ali Al Bishi,"RW, LW",67,1000000.0,14000.0,29,Damac,Pro League
A. Al Zain,Ahmed Al Zain,"RW, LW",65,600000.0,6000.0,31,Damac,Pro League
S. Hawsawi,Sanousi Mohammed Al Hawsawi,"LB, RB",62,550000.0,3000.0,25,Damac,Pro League
A. Al Obaid,Abdulrahman Ahmed Al-Obaid,LB,62,350000.0,4000.0,30,Damac,Pro League
A. Majrashi,Abdulaziz Majrashi,"CDM, CM, RB",61,325000.0,3000.0,27,Damac,Pro League
A. Al Shahrani,Abdulaziz Saeed N Al Shahrani,"CF, CAM, RW",60,250000.0,4000.0,28,Damac,Pro League
H. Al Shamrani,Hassan Ahmad Al Shammrani,"CB, CDM",60,200000.0,3000.0,30,Damac,Pro League
A. Hawsawi,Abdullah Ahmed Al Hawsawi,"RB, RWB",60,240000.0,3000.0,27,Damac,Pro League
F. Al Johani,Fahad Al Johani,"ST, RW",59,190000.0,4000.0,31,Damac,Pro League
W. Al Anazi,Waleed Hezam Al Anazi,"CM, CDM",59,220000.0,4000.0,28,Damac,Pro League
B. Monshi,Bader Mohammed Munshi,"CM, CDM",58,400000.0,3000.0,24,Damac,Pro League
S. Faqihi,Sultan Abood Faqihi,"RB, CB",58,180000.0,3000.0,28,Damac,Pro League
H. Abu Sharara,Hassan Abu Sharara,"CAM, RW",57,210000.0,3000.0,26,Damac,Pro League
N. Al Rashidi,Noor Al Rashidi,"CB, RB",57,170000.0,3000.0,28,Damac,Pro League
A. Makin,Abdulaziz Making,"LW, ST",56,325000.0,3000.0,22,Damac,Pro League
A. Horaisi,Ahmed Horaisi,"LW, RW",55,275000.0,3000.0,22,Damac,Pro League
M. Al Mahasna,Mohammed Al Mahasneh,GK,55,150000.0,2000.0,26,Damac,Pro League
A. Hawsawi,Abdulbasit Abdullah,GK,55,140000.0,2000.0,26,Damac,Pro League
R. Solan,Ramzi Solan,"RB, RW",55,150000.0,3000.0,25,Damac,Pro League
D. Al Enazi,Dhari Sayyar Al Anazi,LB,54,210000.0,2000.0,23,Damac,Pro League
B. Al Shahrani,Bandar Al Shahrani,GK,50,90000.0,2000.0,22,Damac,Pro League
