short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Fernández,Nicolás Emanuel Fernández,"ST, LW, RW",75,6500000.0,17000.0,27,Defensa y Justicia,Liga Profesional
A. Sant'Anna,Ariel Agustín Sant'Anna Quintero,RB,74,6000000.0,12000.0,25,Defensa y Justicia,Liga Profesional
T. Cardona,Tomás Cardona,CB,74,4800000.0,13000.0,27,Defensa y Justicia,Liga Profesional
G. Togni,Gastón Alberto Togni,"LM, LWB, LW",73,3600000.0,13000.0,25,Defensa y Justicia,Liga Profesional
D. Barbona,David Matías Barbona,"CAM, RM, CM",73,3100000.0,14000.0,28,Defensa y Justicia,Liga Profesional
N. Tripichio,Nicolás Martín Tripichio,"RB, CB",72,2500000.0,11000.0,27,Defensa y Justicia,Liga Profesional
E. Bologna,Enrique Alberto Bologna Gómez,GK,71,210000.0,5000.0,41,Defensa y Justicia,Liga Profesional
G. Alanís,Gabriel Gustavo Alanís,"RM, LM, LWB",71,1800000.0,11000.0,29,Defensa y Justicia,Liga Profesional
K. Gutiérrez,Kevin Facundo Gutiérrez,"CDM, CM",70,2100000.0,8000.0,26,Defensa y Justicia,Liga Profesional
L. Pratto,Lucas David Pratto,"ST, CAM",70,675000.0,7000.0,35,Defensa y Justicia,Liga Profesional
G. Castellani,Gonzalo Pablo Castellani,"CAM, CM, CDM",70,650000.0,7000.0,35,Defensa y Justicia,Liga Profesional
A. Soto,Alexis Nahuel Soto,"LB, CB",70,1400000.0,9000.0,29,Defensa y Justicia,Liga Profesional
J. López,Julián Alejo López,"CDM, CM, CAM",69,2900000.0,7000.0,23,Defensa y Justicia,Liga Profesional
C. Fiermarin,Cristopher Javier Fiermarin Forlán,GK,69,1700000.0,5000.0,25,Defensa y Justicia,Liga Profesional
D. Cáceres,Jorge Darío Cáceres Ovelar,LB,68,1600000.0,6000.0,25,Defensa y Justicia,Liga Profesional
S. Solari,Santiago Solari,"LM, LW",68,1600000.0,6000.0,25,Defensa y Justicia,Liga Profesional
J. Malatini,Julián Malatini,"RB, CB",67,2000000.0,4000.0,22,Defensa y Justicia,Liga Profesional
R. Bogarín,Rodrigo Manuel Bogarín Giménez,"RM, LM",67,1200000.0,6000.0,26,Defensa y Justicia,Liga Profesional
T. Escalante,Lautaro Tomás Escalante,CM,66,1300000.0,4000.0,23,Defensa y Justicia,Liga Profesional
D. Gissi,Dylan Gissi,CB,66,550000.0,4000.0,32,Defensa y Justicia,Liga Profesional
Á. Benítez,Ángel María Benítez Argüello,"CDM, CB",65,825000.0,4000.0,27,Defensa y Justicia,Liga Profesional
T. Ortíz,Tomás Facundo Mariano Ortiz,CM,64,1300000.0,3000.0,23,Defensa y Justicia,Liga Profesional
A. Ríos,Andrés Lorenzo Ríos,"ST, CAM, CM",64,375000.0,4000.0,33,Defensa y Justicia,Liga Profesional
F. Versaci,Federico Versaci,"LM, RM, CAM",63,1100000.0,2000.0,21,Defensa y Justicia,Liga Profesional
S. Ramos Mingo,Santiago Ramos Mingo,CB,62,825000.0,2000.0,21,Defensa y Justicia,Liga Profesional
B. Schamine,Benjamín Schamine,"CM, CAM, RW",61,775000.0,2000.0,19,Defensa y Justicia,Liga Profesional
F. Marco,Francisco Marco,CB,60,550000.0,2000.0,20,Defensa y Justicia,Liga Profesional
L. Escobar,Lucas Escobar,GK,60,475000.0,1000.0,21,Defensa y Justicia,Liga Profesional
