short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Gorosabel,Andoni Gorosabel Espinosa,RB,76,8000000.0,21000.0,26,Deportivo Alavés,La Liga
Rubén Duarte,Rubén Duarte Sánchez,LB,75,6000000.0,20000.0,27,Deportivo Alavés,La Liga
N. Tenaglia,Facundo Nahuel Tenaglia,"RB, CB",75,6000000.0,20000.0,27,Deportivo Alavés,La Liga
Luis Rioja,Luis Jesús Rioja González,"LM, RM",75,5500000.0,23000.0,29,Deportivo Alavés,La Liga
Ander Guevara,Ander Guevara Lajo,"CM, CDM",74,5500000.0,20000.0,25,Deportivo Alavés,La Liga
Kike García,Enrique García Martínez,ST,74,2700000.0,23000.0,33,Deportivo Alavés,La Liga
Guridi,Jon Guridi Aldalur,"CAM, CM, CDM",74,4200000.0,22000.0,28,Deportivo Alavés,La Liga
Antonio Blanco,Antonio Blanco Conde,"CDM, CM",73,6500000.0,15000.0,22,Deportivo Alavés,La Liga
I. Hagi,Ianis Hagi,"CAM, CF",73,4600000.0,34000.0,24,Deportivo Alavés,La Liga
Sivera,Antonio Sivera Salvá,GK,73,3100000.0,14000.0,26,Deportivo Alavés,La Liga
A. Sedlar,Aleksandar Sedlar,"CB, CDM",73,2100000.0,17000.0,31,Deportivo Alavés,La Liga
G. Simeone,Giuliano Simeone Baldini,ST,72,5500000.0,26000.0,20,Deportivo Alavés,La Liga
A. Abqar,Abdelkabir Abqar,CB,70,3300000.0,10000.0,24,Deportivo Alavés,La Liga
N. Maraš,Nikola Maraš,CB,70,1800000.0,12000.0,27,Deportivo Alavés,La Liga
C. Benavídez,Carlos Nahuel Benavídez Protesoni,"CDM, CM",70,1900000.0,11000.0,25,Deportivo Alavés,La Liga
Alkain,Xeber Alkain Mitxelena,"RM, ST",70,1900000.0,13000.0,26,Deportivo Alavés,La Liga
Álex Sola,Alejandro Sola López-Ocaña,"RB, RM",69,2700000.0,11000.0,24,Deportivo Alavés,La Liga
A. Rebbach,Abderrahman Rebbach,"LM, RM, CAM",69,1900000.0,10000.0,24,Deportivo Alavés,La Liga
Karrikaburu,Jon Karrikaburu,ST,68,2900000.0,10000.0,20,Deportivo Alavés,La Liga
Rafa Marín,Rafael Marín Zamora,"CB, LB",68,2800000.0,28000.0,21,Deportivo Alavés,La Liga
Omorodion,Samuel Omorodion Aghehowa,ST,68,2900000.0,11000.0,19,Deportivo Alavés,La Liga
Javi López,Javier López Carballo,LB,68,2600000.0,6000.0,21,Deportivo Alavés,La Liga
Joseda Álvarez,José David Álvarez Adsuar,RB,66,1800000.0,5000.0,22,Deportivo Alavés,La Liga
Owono,Jesús Lázaro Owono Ngua Akeng,GK,64,1100000.0,3000.0,22,Deportivo Alavés,La Liga
Adrián,Adrián Rodríguez Giménez,GK,63,925000.0,3000.0,22,Deportivo Alavés,La Liga
J. Panichelli,Joaquín Panichelli,ST,62,1100000.0,4000.0,20,Deportivo Alavés,La Liga
S. Pino,Sebastián Andrés Pino Elfeld,CB,61,750000.0,3000.0,20,Deportivo Alavés,La Liga
Tomás Mendes,Tomás Alage Mendes Mendes,"CM, CDM",60,575000.0,1000.0,18,Deportivo Alavés,La Liga
