short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
E. Cashin,Eíran Cashin,CB,70,2300000.0,6000.0,21,Derby County,League One
C. Hourihane,Conor Hourihane,"CM, CDM",69,1100000.0,7000.0,32,Derby County,League One
S. Bradley,Sonny Bradley,CB,69,950000.0,7000.0,31,Derby County,League One
M. Bird,Max Bird,"CDM, CM",68,1800000.0,5000.0,22,Derby County,League One
J. Wildsmith,Joseph Charles Wildsmith,GK,68,1100000.0,5000.0,27,Derby County,League One
N. Méndez-Laing,Nathaniel Méndez-Laing,"RM, RW",68,1000000.0,6000.0,31,Derby County,League One
T. Fornah,Tyrese Momodu Fornah,"CM, CDM",67,1600000.0,5000.0,23,Derby County,League One
M. Waghorn,Martyn Waghorn,"ST, CAM",67,650000.0,6000.0,33,Derby County,League One
C. Nelson,Curtis Nelson,CB,67,825000.0,5000.0,30,Derby County,League One
C. Elder,Callum Roddie Elder,"LWB, LB, CB",67,925000.0,5000.0,28,Derby County,League One
J. Ward,Joe Ward,"RWB, RB, RM",67,975000.0,5000.0,27,Derby County,League One
K. Wilson,Kane Leo Wilson,"RWB, RB",66,1600000.0,4000.0,23,Derby County,League One
E. Embleton,Elliot John Embleton,"CAM, CDM, RM",66,1400000.0,9000.0,24,Derby County,League One
J. Vickers,Joshua Anthony Vickers,GK,66,725000.0,3000.0,27,Derby County,League One
K. Smith,Korey Smith,"CDM, CM, RB",66,575000.0,4000.0,32,Derby County,League One
J. Collins,James Steven Collins,ST,66,700000.0,5000.0,32,Derby County,League One
C. Forsyth,Craig Forsyth,"CB, LB, LWB",66,275000.0,4000.0,34,Derby County,League One
C. Washington,Conor James Washington,ST,66,725000.0,5000.0,31,Derby County,League One
L. Sibley,Louie Sibley,"CAM, LB",65,1500000.0,3000.0,21,Derby County,League One
T. Barkhuizen,Tom Barkhuizen,"LM, RM",65,700000.0,4000.0,29,Derby County,League One
T. John-Jules,Tyreece Romayo John-Jules,"ST, LW",64,1300000.0,18000.0,22,Derby County,League One
L. Thompson,Liam Thompson,"CDM, CM",64,825000.0,2000.0,21,Derby County,League One
J. Rooney,Jake Rooney,"CB, RB",60,550000.0,1000.0,19,Derby County,League One
S. Loach,Scott James Loach,GK,60,25000.0,1000.0,35,Derby County,League One
D. Robinson,Darren Robinson,"CM, CDM",56,325000.0,850.0,18,Derby County,League One
B. Radcliffe,Ben Radcliffe,"CM, CB",55,300000.0,1000.0,19,Derby County,League One
M. Bardell,Max Bardell,"RB, CB",53,220000.0,1000.0,20,Derby County,League One
D. Brown,Dajaune Brown,ST,50,130000.0,500.0,17,Derby County,League One
