short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
R. Wood,Richard Mark Wood,CB,66,150000.0,4000.0,37,Doncaster Rovers,League Two
J. Ironside,Joe Samuel Ironside,ST,64,575000.0,6000.0,29,Doncaster Rovers,League Two
B. Close,Ben Easton Close,"CM, CDM",63,550000.0,4000.0,26,Doncaster Rovers,League Two
T. Anderson,Thomas Robert Anderson,CB,63,400000.0,4000.0,29,Doncaster Rovers,League Two
J. Olowu,Joseph Olugbenga Olowu,CB,62,575000.0,3000.0,23,Doncaster Rovers,League Two
G. Miller,George Miller,ST,62,550000.0,4000.0,25,Doncaster Rovers,League Two
L. Molyneux,Luke James Molyneux,"RW, RM, LWB",62,525000.0,4000.0,25,Doncaster Rovers,League Two
J. Sterry,Jamie Michael Sterry,"RB, RWB",62,425000.0,4000.0,27,Doncaster Rovers,League Two
H. Biggins,Harrison Biggins,CM,62,450000.0,4000.0,27,Doncaster Rovers,League Two
T. Rowe,Thomas Malcolm Rowe,"CM, CB, LB",62,180000.0,4000.0,34,Doncaster Rovers,League Two
K. Hurst,Kyle Hurst,"LW, LM",61,675000.0,3000.0,21,Doncaster Rovers,League Two
I. Lawlor,Ian John Lawlor,GK,61,250000.0,3000.0,28,Doncaster Rovers,League Two
J. Taylor,Jon Peter Taylor,"RW, LW",61,325000.0,4000.0,30,Doncaster Rovers,League Two
D. Sotona,Deji Sotona,LW,60,550000.0,3000.0,20,Doncaster Rovers,League Two
J. Maxwell,James Maxwell,"LB, LWB",60,525000.0,2000.0,21,Doncaster Rovers,League Two
O. Bailey,Owen John Edward Bailey,"CDM, CB",60,350000.0,3000.0,24,Doncaster Rovers,League Two
L. Jones,Louis Jones,GK,60,275000.0,2000.0,24,Doncaster Rovers,League Two
J. Senior,Jack Christopher Senior,"LB, LWB, CB",60,275000.0,3000.0,26,Doncaster Rovers,League Two
Z. Westbrooke,Zain Sam Westbrooke,"CM, RW",60,275000.0,3000.0,26,Doncaster Rovers,League Two
T. Roberts,Tyler Roberts,"RW, ST",59,575000.0,6000.0,19,Doncaster Rovers,League Two
A. Long,Adam Long,CB,59,475000.0,3000.0,22,Doncaster Rovers,League Two
G. Broadbent,George Broadbent,CM,59,500000.0,3000.0,22,Doncaster Rovers,League Two
C. Lavery,Caolan Owen Lavery,ST,59,220000.0,4000.0,30,Doncaster Rovers,League Two
L. Marsh,Louie Marsh,"CAM, CF",58,475000.0,3000.0,19,Doncaster Rovers,League Two
B. Faulkner,Bobby Faulkner,CB,58,450000.0,850.0,18,Doncaster Rovers,League Two
M. Faal,Modou Faal,ST,57,375000.0,5000.0,20,Doncaster Rovers,League Two
T. Nixon,Tom Nixon,"RB, RWB",56,325000.0,2000.0,20,Doncaster Rovers,League Two
B. Bottomley,Ben Bottomley,GK,54,200000.0,1000.0,20,Doncaster Rovers,League Two
