short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
R. Boissier,Rémy Boissier,"CM, CDM",67,1000000.0,2000.0,29,Dunkerque,Ligue 2
R. Ghrieb,Rayan Ghrieb,"RW, CAM",66,1400000.0,2000.0,24,Dunkerque,Ligue 2
J. Anziani,Julien Anziani,"CM, CDM",65,1100000.0,2000.0,24,Dunkerque,Ligue 2
H. Gambor,Hugo Gambor,CB,64,1200000.0,1000.0,20,Dunkerque,Ligue 2
T. Keita,Tidiane Keita,CM,64,750000.0,2000.0,26,Dunkerque,Ligue 2
A. Ipiélé,Alain Ipiélé,"LW, RW",64,700000.0,2000.0,25,Dunkerque,Ligue 2
A. Gnanduillet,Armand Erwan Dsihounou Gnanduillet,ST,64,500000.0,2000.0,31,Dunkerque,Ligue 2
O. Sangante,Opa Sanganté,"CB, CDM",64,375000.0,1000.0,32,Dunkerque,Ligue 2
B. Koumetio,Billy Koumetio,CB,63,1100000.0,11000.0,20,Dunkerque,Ligue 2
Á. Orelien,Ángel Orelien,"LW, CAM",63,975000.0,1000.0,22,Dunkerque,Ligue 2
Y. Bilingi,Yohan Bilingi,"RB, CB",63,700000.0,1000.0,24,Dunkerque,Ligue 2
A. Balijon,Arnaud Balijon,GK,63,50000.0,600.0,40,Dunkerque,Ligue 2
B. Youssouf,Bendjaloud Youssouf,"RWB, RB, RM",63,425000.0,1000.0,29,Dunkerque,Ligue 2
D. Thiam,Demba Thiam,"RWB, RB, CB",63,250000.0,1000.0,33,Dunkerque,Ligue 2
E. Bardeli,Enzo Bardeli,"CAM, CM",62,900000.0,1000.0,22,Dunkerque,Ligue 2
L. Etonde,Ludéric Etonde,ST,62,900000.0,1000.0,22,Dunkerque,Ligue 2
M. Guel,Moussa Guel,"RW, ST",62,625000.0,3000.0,24,Dunkerque,Ligue 2
S. Baghdadi,Samy Baghdadi,ST,62,525000.0,1000.0,25,Dunkerque,Ligue 2
D. Trichard,Driss Trichard,"LWB, LB",62,350000.0,1000.0,28,Dunkerque,Ligue 2
L. Lavallée,Lucas Lavallée,GK,61,700000.0,5000.0,20,Dunkerque,Ligue 2
N. Fernandez,Nehemiah Fernandez,CB,61,725000.0,500.0,18,Dunkerque,Ligue 2
A. Ba-Sy,Amadou Ba-Sy,ST,61,750000.0,1000.0,22,Dunkerque,Ligue 2
J. Senneville,Junior Senneville,"RB, CM",61,230000.0,1000.0,32,Dunkerque,Ligue 2
G. Egny,Guiry Egny,CM,60,550000.0,800.0,21,Dunkerque,Ligue 2
E. Bah,Elhadj Bah,ST,60,500000.0,2000.0,21,Dunkerque,Ligue 2
A. Gruaud,Auxence Gruaud,GK,56,275000.0,500.0,19,Dunkerque,Ligue 2
A. N'Doye,Assane N'Doye,"LB, LWB",55,275000.0,500.0,19,Dunkerque,Ligue 2
