short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
K. Broll,Kevin Broll,GK,67,925000.0,2000.0,27,Dynamo Dresden,3. Liga
N. Hauptmann,Niklas Hauptmann,CM,67,1200000.0,3000.0,27,Dynamo Dresden,3. Liga
L. Cueto,Lucas Cueto,"LW, RW",67,1100000.0,4000.0,27,Dynamo Dresden,3. Liga
J. Meier,Jonathan Meier,LB,66,1200000.0,2000.0,23,Dynamo Dresden,3. Liga
P. Will,Paul Will,"CDM, CM",66,1200000.0,2000.0,24,Dynamo Dresden,3. Liga
R. Meißner,Robin Maximilian Meißner,ST,66,1200000.0,3000.0,23,Dynamo Dresden,3. Liga
S. Kutschke,Stefan Kutschke,ST,66,425000.0,3000.0,34,Dynamo Dresden,3. Liga
K. Ehlers,Kevin Ehlers,CB,65,1500000.0,2000.0,22,Dynamo Dresden,3. Liga
J. Lewald,Jakob Lewald,CB,65,1000000.0,2000.0,24,Dynamo Dresden,3. Liga
T. Zimmerschied,Tom Zimmerschied,"LW, RW, CM",65,1100000.0,2000.0,24,Dynamo Dresden,3. Liga
K. Melichenko,Kyrylo Melichenko,RB,65,1100000.0,2000.0,24,Dynamo Dresden,3. Liga
S. Drljača,Stefan Drljača,GK,65,875000.0,2000.0,24,Dynamo Dresden,3. Liga
L. Bünning,Lars Bünning,"CB, LB",65,850000.0,2000.0,25,Dynamo Dresden,3. Liga
M. Schäffler,Manuel Schäffler,ST,65,350000.0,3000.0,34,Dynamo Dresden,3. Liga
T. Kraulich,Tobias Kraulich,CB,64,850000.0,2000.0,24,Dynamo Dresden,3. Liga
P. Vlachodimos,Panagiotis Vlachodimos,LW,64,475000.0,2000.0,31,Dynamo Dresden,3. Liga
Park Kyu Hyun,Kyu hyun Park,LB,63,1000000.0,2000.0,22,Dynamo Dresden,3. Liga
D. Borkowski,Dennis Borkowski,"LW, ST, RW",63,1100000.0,8000.0,21,Dynamo Dresden,3. Liga
J. Shcherbakovski,Jan-Rafael Shcherbakovski,"CAM, RW, CM",63,1100000.0,2000.0,22,Dynamo Dresden,3. Liga
J. Lemmer,Jakob Lemmer,"RW, RM",63,1100000.0,2000.0,23,Dynamo Dresden,3. Liga
C. Kammerknecht,Claudio Kammerknecht,"RB, CDM, CB",63,925000.0,2000.0,23,Dynamo Dresden,3. Liga
L. Herrmann,Luca Herrmann,"CM, CAM",62,625000.0,2000.0,24,Dynamo Dresden,3. Liga
J. Seo,Jong-min Seo,CAM,60,600000.0,1000.0,21,Dynamo Dresden,3. Liga
T. Berger,Tom Kaspar Berger,"CM, CDM",60,500000.0,1000.0,21,Dynamo Dresden,3. Liga
J. Oehmichen,Jonas Oehmichen,CAM,59,575000.0,900.0,19,Dynamo Dresden,3. Liga
T. Menzel,Tony Menzel,"RW, CAM",58,475000.0,700.0,18,Dynamo Dresden,3. Liga
P. Lehmann,Paul Lehmann,"CB, RB",57,350000.0,500.0,18,Dynamo Dresden,3. Liga
E. Herrmann,Erik Herrmann,GK,53,210000.0,500.0,18,Dynamo Dresden,3. Liga
