short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Ujah,Anthony Ujah,ST,71,1500000.0,11000.0,32,Eintracht Braunschweig,2. Bundesliga
R. Ivanov,Robert Ivanov,CB,69,1300000.0,7000.0,28,Eintracht Braunschweig,2. Bundesliga
S. Griesbeck,Sebastian Griesbeck,"CB, CDM, CM",69,900000.0,7000.0,32,Eintracht Braunschweig,2. Bundesliga
J. Nikolaou,Jannis Nikolaou,"CDM, CB, CM",69,1200000.0,7000.0,29,Eintracht Braunschweig,2. Bundesliga
R. Hoffmann,Ron-Thorben Hoffmann,GK,68,1500000.0,4000.0,24,Eintracht Braunschweig,2. Bundesliga
F. Krüger,Florian Krüger,"ST, CAM, LW",68,1800000.0,6000.0,24,Eintracht Braunschweig,2. Bundesliga
K. Caliskaner,Kaan Caliskaner,"CAM, CM, ST",68,1700000.0,6000.0,23,Eintracht Braunschweig,2. Bundesliga
A. Donkor,Anton-Leander Donkor,LWB,68,1400000.0,6000.0,25,Eintracht Braunschweig,2. Bundesliga
B. Behrendt,Brian Behrendt,CB,68,825000.0,6000.0,31,Eintracht Braunschweig,2. Bundesliga
R. Krauße,Robin Krauße,"CDM, CM",68,1000000.0,6000.0,29,Eintracht Braunschweig,2. Bundesliga
H. Kuruçay,Hasan Kuruçay,CB,67,1200000.0,5000.0,25,Eintracht Braunschweig,2. Bundesliga
M. Multhaup,Maurice Michael Multhaup,"RW, RWB, CAM",67,1200000.0,6000.0,26,Eintracht Braunschweig,2. Bundesliga
S. Decarli,Saulo Igor Decarli,CB,67,700000.0,5000.0,31,Eintracht Braunschweig,2. Bundesliga
F. Kaufmann,Fabio Kaufmann,"RW, CM, ST",67,975000.0,6000.0,30,Eintracht Braunschweig,2. Bundesliga
J. Marx,Jan Hendrik Marx,RWB,67,925000.0,5000.0,28,Eintracht Braunschweig,2. Bundesliga
D. Wiebe,Danilo Wiebe,"CB, RWB, CDM",66,725000.0,5000.0,29,Eintracht Braunschweig,2. Bundesliga
Y. Amyn,Youssef Amyn,"LW, RW, CAM",65,1700000.0,3000.0,19,Eintracht Braunschweig,2. Bundesliga
Þ. Helgason,Þórir Jóhann Helgason,CM,65,1600000.0,4000.0,22,Eintracht Braunschweig,2. Bundesliga
J. Gómez,Johan Arath Gómez,"CF, CAM, RW",65,1600000.0,3000.0,21,Eintracht Braunschweig,2. Bundesliga
L. Ihorst,Luc Ihorst,ST,65,1100000.0,4000.0,23,Eintracht Braunschweig,2. Bundesliga
M. Rittmüller,Marvin Lee Rittmüller,"RWB, RB",65,950000.0,3000.0,24,Eintracht Braunschweig,2. Bundesliga
K. Endo,遠藤 渓太,"LW, CAM",65,950000.0,9000.0,25,Eintracht Braunschweig,2. Bundesliga
T. Casali,Tino Casali,GK,65,650000.0,3000.0,27,Eintracht Braunschweig,2. Bundesliga
N. Kijewski,Niko Kijewski,"LWB, CB",65,750000.0,4000.0,27,Eintracht Braunschweig,2. Bundesliga
R. Philippe,Rayan Philippe,"ST, LW",64,1200000.0,4000.0,22,Eintracht Braunschweig,2. Bundesliga
S. Sané,Sidi Guessor Sané,"RW, LW",61,800000.0,2000.0,20,Eintracht Braunschweig,2. Bundesliga
Y. Bangsow,Yannik Bangsow,GK,61,400000.0,2000.0,25,Eintracht Braunschweig,2. Bundesliga
R. Zouaoui,Rami Zouaoui,"CAM, CM",55,300000.0,800.0,18,Eintracht Braunschweig,2. Bundesliga
E. Kischka,Emil Kischka,CM,53,230000.0,2000.0,21,Eintracht Braunschweig,2. Bundesliga
J. Duda,Justin Duda,GK,53,180000.0,1000.0,20,Eintracht Braunschweig,2. Bundesliga
