short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
K. Trapp,Kevin Trapp,GK,85,26500000.0,51000.0,32,Eintracht Frankfurt,Bundesliga
M. Götze,Mario Götze,"CAM, CF, LM",82,25000000.0,53000.0,31,Eintracht Frankfurt,Bundesliga
E. Skhiri,Ellyes Joris Skhiri,"CDM, CM",81,25000000.0,46000.0,28,Eintracht Frankfurt,Bundesliga
S. Rode,Sebastian Rode,"CDM, CM",79,11500000.0,39000.0,32,Eintracht Frankfurt,Bundesliga
P. Max,Philipp Martin Max,"LWB, LM",78,12500000.0,37000.0,29,Eintracht Frankfurt,Bundesliga
Tuta,Lucas Silva Melo,CB,76,9500000.0,27000.0,23,Eintracht Frankfurt,Bundesliga
R. Koch,Robin Koch,"CB, CDM",76,8500000.0,38000.0,26,Eintracht Frankfurt,Bundesliga
F. Chaïbi,Farès Chaïbi,"LM, CM",75,12500000.0,24000.0,20,Eintracht Frankfurt,Bundesliga
A. Knauff,Ansgar Knauff,"RM, LM",75,9000000.0,24000.0,21,Eintracht Frankfurt,Bundesliga
J. Dina Ebimbe,Eric Junior Dina Ebimbe,"RM, CM, RWB",75,8500000.0,28000.0,22,Eintracht Frankfurt,Bundesliga
O. Marmoush,Omar Khaled Mohamed Marmoush,"ST, LM",75,8500000.0,31000.0,24,Eintracht Frankfurt,Bundesliga
K. Jakić,Kristijan Jakić,"CDM, CM, CB",75,6000000.0,30000.0,26,Eintracht Frankfurt,Bundesliga
Aurélio Buta,Aurélio Gabriel Ulineia Buta,"RM, RWB",75,6500000.0,32000.0,26,Eintracht Frankfurt,Bundesliga
L. Alario,Lucas Nicolás Alario,ST,75,5500000.0,35000.0,30,Eintracht Frankfurt,Bundesliga
W. Pacho,William Joel Pacho Tenorio,CB,74,9000000.0,20000.0,21,Eintracht Frankfurt,Bundesliga
M. Hasebe,長谷 部誠,"CB, CDM",73,550000.0,17000.0,39,Eintracht Frankfurt,Bundesliga
N. Nkounkou,Niels Patrick Nkounkou,"LWB, LM",71,4000000.0,17000.0,22,Eintracht Frankfurt,Bundesliga
H. Smolčić,Hrvoje Smolčić,CB,71,3900000.0,17000.0,22,Eintracht Frankfurt,Bundesliga
J. Ngankam,Jessic Gaïtan Ngankam,"ST, RM",71,3800000.0,21000.0,22,Eintracht Frankfurt,Bundesliga
J. Hauge,Jens Petter Hauge,"LM, RM",71,3000000.0,19000.0,23,Eintracht Frankfurt,Bundesliga
T. Chandler,Timothy Chandler,"RM, RWB",70,1000000.0,19000.0,33,Eintracht Frankfurt,Bundesliga
H. Larsson,Hugo Larsson,"CM, CDM",67,2600000.0,7000.0,19,Eintracht Frankfurt,Bundesliga
P. Aaronson,Paxten Aaronson,CAM,67,2400000.0,7000.0,19,Eintracht Frankfurt,Bundesliga
J. Grahl,Jens Grahl,GK,66,150000.0,7000.0,34,Eintracht Frankfurt,Bundesliga
N. Collins,Nnamdi Collins,CB,63,1200000.0,3000.0,19,Eintracht Frankfurt,Bundesliga
S. Raebiger,Sidney Raebiger,"CM, CAM",62,1100000.0,2000.0,18,Eintracht Frankfurt,Bundesliga
M. Wenig,Marcel Wenig,"CAM, CM",62,1000000.0,4000.0,19,Eintracht Frankfurt,Bundesliga
Nacho Ferri,Ignacio Ferri Julià,ST,61,825000.0,2000.0,18,Eintracht Frankfurt,Bundesliga
Kauã Santos,Kauã Morais Vieira dos Santos,GK,61,700000.0,3000.0,20,Eintracht Frankfurt,Bundesliga
M. Loune,Mehdi Loune,"CM, CAM",59,575000.0,3000.0,19,Eintracht Frankfurt,Bundesliga
S. Simoni,Simon Simoni,GK,59,500000.0,500.0,18,Eintracht Frankfurt,Bundesliga
D. Gebuhr,Dario Ndubuisi Gebuhr,CB,58,500000.0,4000.0,20,Eintracht Frankfurt,Bundesliga
D. Bautista,Davis Bautista,CB,57,350000.0,1000.0,18,Eintracht Frankfurt,Bundesliga
