short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
H. Vandermersch,Hugo Vandermersch,"RB, LB",69,2700000.0,3000.0,24,Elversberg,2. Bundesliga
J. Rochelt,Jannik Rochelt,LM,69,2000000.0,5000.0,24,Elversberg,2. Bundesliga
F. Jäkel,Frederik Jäkel,CB,68,2300000.0,14000.0,22,Elversberg,2. Bundesliga
J. Boyamba,Joseph Boyamba,"LM, RM, CF",68,1300000.0,5000.0,26,Elversberg,2. Bundesliga
M. Feil,Manuel Feil,RM,68,1200000.0,5000.0,28,Elversberg,2. Bundesliga
N. Kristof,Nicolas Kristof,GK,67,1300000.0,3000.0,23,Elversberg,2. Bundesliga
T. Jacobsen,Thore-Andreas Jacobsen,CDM,67,1200000.0,4000.0,26,Elversberg,2. Bundesliga
D. Martinović,Dominik Martinović,ST,67,1300000.0,5000.0,26,Elversberg,2. Bundesliga
R. Fellhauer,Robin Fellhauer,RB,67,1200000.0,4000.0,25,Elversberg,2. Bundesliga
M. Correia,Marcel Correia,CB,67,325000.0,4000.0,34,Elversberg,2. Bundesliga
L. Schnellbacher,Luca Pascal Schnellbacher,"ST, LM",67,1000000.0,5000.0,29,Elversberg,2. Bundesliga
S. Sahin,Semih Sahin,"CDM, CM",66,1100000.0,3000.0,23,Elversberg,2. Bundesliga
M. Neubauer,Maurice Neubauer,LB,66,900000.0,3000.0,27,Elversberg,2. Bundesliga
W. Faghir,Wahidullah Faghir,ST,65,1700000.0,4000.0,19,Elversberg,2. Bundesliga
A. Sicker,Arne Sicker,"LB, LM",65,850000.0,3000.0,26,Elversberg,2. Bundesliga
Koffi,Jean Romaric Kevin Koffi,ST,65,240000.0,3000.0,37,Elversberg,2. Bundesliga
K. Conrad,Kevin Conrad,CB,65,475000.0,3000.0,32,Elversberg,2. Bundesliga
C. Sickinger,Carlo Sickinger,"CB, CDM",64,725000.0,3000.0,25,Elversberg,2. Bundesliga
T. Boss,Tim Boss,GK,64,450000.0,2000.0,30,Elversberg,2. Bundesliga
N. Antonitsch,Nico Antonitsch,CB,64,400000.0,3000.0,31,Elversberg,2. Bundesliga
P. Wanner,Paul Wanner,"CAM, LM, RM",63,1500000.0,1000.0,17,Elversberg,2. Bundesliga
L. Pinckert,Lukas Pinckert,"RB, RM",63,700000.0,2000.0,23,Elversberg,2. Bundesliga
P. Stock,Paul Stock,"CAM, ST",63,575000.0,3000.0,26,Elversberg,2. Bundesliga
L. Dürholtz,Luca Dürholtz,CM,63,475000.0,3000.0,29,Elversberg,2. Bundesliga
F. Lehmann,Frank Lehmann,GK,61,60000.0,2000.0,34,Elversberg,2. Bundesliga
P. Dragon,Patryk Dragon,CDM,60,250000.0,2000.0,27,Elversberg,2. Bundesliga
S. Saftig,Sebastian Saftig,CDM,50,90000.0,1000.0,21,Elversberg,2. Bundesliga
