short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Braithwaite,Martin Braithwaite Christensen,"ST, LM",77,8500000.0,13000.0,32,Espanyol,La Liga 2
Pere Milla,Pere Milla Peña,"ST, LM, RM",77,10500000.0,13000.0,30,Espanyol,La Liga 2
Brian Oliván,Brian Oliván Herrero,"LB, LWB",77,9500000.0,12000.0,29,Espanyol,La Liga 2
Puado,Javier Puado Díaz,"LM, RM, ST",76,10000000.0,11000.0,25,Espanyol,La Liga 2
Aguado,Álvaro Aguado Méndez,"CM, CAM, CDM",76,8500000.0,12000.0,27,Espanyol,La Liga 2
K. Bare,Keidi Bare,"CDM, CM",75,6500000.0,10000.0,25,Espanyol,La Liga 2
Edu Expósito,Eduardo Expósito Jaén,"CAM, CM, CDM",75,6500000.0,11000.0,26,Espanyol,La Liga 2
Pacheco,Fernando Pacheco Flores,GK,75,3000000.0,8000.0,31,Espanyol,La Liga 2
K. Baldé,Keita Baldé Diao,"ST, LM",75,6000000.0,12000.0,28,Espanyol,La Liga 2
Nico Melamed,Nicolás Melamed Ribaudo,"CAM, LM, RM",74,9500000.0,9000.0,22,Espanyol,La Liga 2
Calero,Fernando Calero Villa,"CB, CDM, RB",74,4200000.0,9000.0,27,Espanyol,La Liga 2
L. Cabrera,Leandro Daniel Cabrera Sasía,"CB, LB",74,2700000.0,9000.0,32,Espanyol,La Liga 2
Sergi Gómez,Sergi Gómez Solà,CB,74,2900000.0,9000.0,31,Espanyol,La Liga 2
Pol Lozano,Pol Lozano Vizuete,"CDM, CM",73,5500000.0,7000.0,23,Espanyol,La Liga 2
Óscar Gil,Óscar Gil Regaño,"RB, RWB, LB",73,3500000.0,8000.0,25,Espanyol,La Liga 2
Lazo,José Carlos Lazo Romero,"LM, RM",73,3200000.0,9000.0,27,Espanyol,La Liga 2
Salvi Sánchez,Salvador Sánchez Ponce,"RM, LM",73,2400000.0,9000.0,32,Espanyol,La Liga 2
José Gragera,José Gragera Amado,"CDM, CM, CB",71,3900000.0,6000.0,23,Espanyol,La Liga 2
Jofre,Jofre Carreras Pagès,"RM, LM",69,3100000.0,5000.0,22,Espanyol,La Liga 2
Ramon,Ramon Ramos Lima,LB,68,2600000.0,4000.0,22,Espanyol,La Liga 2
O. El Hilali,Omar El Hilali,"RB, LB, CB",67,2100000.0,2000.0,19,Espanyol,La Liga 2
Fortuño,Ángel Fortuño Viñas,GK,66,1700000.0,2000.0,21,Espanyol,La Liga 2
Joan García,Joan García Pons,GK,66,1700000.0,2000.0,22,Espanyol,La Liga 2
Javi Hernández,Javier Hernández Coarasa,"CAM, CM",65,1700000.0,2000.0,19,Espanyol,La Liga 2
Joan Puig,Joan Puig Mateos,"LB, CB",65,1500000.0,2000.0,20,Espanyol,La Liga 2
Roger Martínez,Roger Martínez Santamaría,"CM, CDM",64,1400000.0,1000.0,19,Espanyol,La Liga 2
Gori,Gregorio Gracia Sánchez,"CM, CAM",64,1400000.0,2000.0,21,Espanyol,La Liga 2
Antoniu Roca,Antoniu Roca Vives,"RM, RB, LM",64,1300000.0,2000.0,20,Espanyol,La Liga 2
Pau Casadesús,Pau Casadesús Castro,"RB, RWB",64,1200000.0,1000.0,20,Espanyol,La Liga 2
Recasens,Lluís Recasens Vives,CB,62,825000.0,1000.0,21,Espanyol,La Liga 2
