short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Pedro Mendes,Pedro Filipe Teodósio Mendes,CB,73,2000000.0,9000.0,32,Estrela Amadora,Liga Portugal
Miguel Lopes,Hugo Miguel Almeida Costa Lopes,"CB, RB",71,325000.0,5000.0,36,Estrela Amadora,Liga Portugal
Léo Jabá,Leonardo Rodrigues Lima,"LW, RW",70,2200000.0,6000.0,24,Estrela Amadora,Liga Portugal
Pedro Sá,Pedro Miguel Cunha Sá,"CDM, CM",70,1400000.0,6000.0,29,Estrela Amadora,Liga Portugal
Ronaldo Tavares,Ronaldo Rodrigues Tavares,ST,69,1900000.0,6000.0,25,Estrela Amadora,Liga Portugal
Kialonda Gaspar,Kialonda Gaspar,CB,69,1600000.0,5000.0,25,Estrela Amadora,Liga Portugal
António Filipe,António Filipe Norinho de Carvalho,GK,69,150000.0,3000.0,38,Estrela Amadora,Liga Portugal
Mansur,Joeliton Lima Santos,"CB, LB, LWB",69,1100000.0,5000.0,30,Estrela Amadora,Liga Portugal
Bruno Brígido,Bruno Brígido de Oliveira,GK,68,600000.0,3000.0,32,Estrela Amadora,Liga Portugal
João Reis,João Carlos Silva Reis,"LWB, LB, LM",68,875000.0,4000.0,31,Estrela Amadora,Liga Portugal
Jean Felipe,Jean Felipe Nogueira da Silva,"RWB, RB, RM",68,1100000.0,4000.0,29,Estrela Amadora,Liga Portugal
Gustavo Henrique,Gustavo H. Alves Rodrigues,"RW, LW",67,1600000.0,4000.0,24,Estrela Amadora,Liga Portugal
Erivaldo Almeida,Erivaldo Almeida Junior,CB,67,1300000.0,3000.0,23,Estrela Amadora,Liga Portugal
Kikas,João Diogo Alves Rodrigues,"ST, RW",67,1400000.0,4000.0,24,Estrela Amadora,Liga Portugal
A. Ndour,Alioune Ndour,ST,66,1900000.0,3000.0,22,Estrela Amadora,Liga Portugal
K. Shinga,Kwenzokuhle Shinga,"LWB, LB, LM",66,1200000.0,3000.0,23,Estrela Amadora,Liga Portugal
Ronald Pereira,Ronald Pereira Martins,"LW, RW",66,1200000.0,3000.0,22,Estrela Amadora,Liga Portugal
J. Omorwa,Joneston Omorwa,CB,66,1000000.0,3000.0,24,Estrela Amadora,Liga Portugal
Aloísio,Aloísio Souza Genézio,CM,66,900000.0,3000.0,27,Estrela Amadora,Liga Portugal
Manuel Keliano,Manuel Keliano,CDM,65,1500000.0,2000.0,20,Estrela Amadora,Liga Portugal
Hevertton,Hevertton Santos,"RWB, RB, RM",65,1500000.0,2000.0,22,Estrela Amadora,Liga Portugal
André Luiz,André Luiz Inácio da Silva,ST,65,1600000.0,2000.0,21,Estrela Amadora,Liga Portugal
Dida,Wagner Augusto Santos,GK,65,825000.0,2000.0,25,Estrela Amadora,Liga Portugal
Vitó,Victor Emanuel Araújo Ferreira,"CM, CAM",65,1000000.0,3000.0,25,Estrela Amadora,Liga Portugal
R. Ndo,Regis Ndo,"RW, LW",64,850000.0,2000.0,22,Estrela Amadora,Liga Portugal
Leo Cordeiro,Leonardo Cordeiro de Lima Silva,"CAM, CM",63,500000.0,2000.0,27,Estrela Amadora,Liga Portugal
B. Jammeh,Bubacarr Jammeh,"RW, LW",62,800000.0,2000.0,22,Estrela Amadora,Liga Portugal
