short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
B. Rollheiser,Benjamín Rollheiser,"RM, ST",75,9000000.0,13000.0,23,Estudiantes,Liga Profesional
S. Ascacíbar,Santiago Lionel Ascacíbar,"CM, CDM",75,6000000.0,15000.0,26,Estudiantes,Liga Profesional
F. Zuqui,Fernando Zuqui,"CM, CDM",74,3500000.0,14000.0,31,Estudiantes,Liga Profesional
J. Rodríguez,Jorge Agustín Rodríguez,"CDM, CB, CM",74,4000000.0,13000.0,27,Estudiantes,Liga Profesional
L. Godoy,Leonardo Ezequiel Godoy,"RB, RWB",74,3800000.0,13000.0,28,Estudiantes,Liga Profesional
M. Boselli,Mauro Boselli,ST,73,1000000.0,11000.0,38,Estudiantes,Liga Profesional
M. Andújar,Mariano Gonzalo Andújar,GK,73,350000.0,6000.0,39,Estudiantes,Liga Profesional
L. Lollo,Mauricio Luciano Lollo,CB,73,550000.0,9000.0,36,Estudiantes,Liga Profesional
Z. Romero,Zaid Abner Romero,"CB, LB",72,2900000.0,9000.0,23,Estudiantes,Liga Profesional
J. Sosa,José Ernesto Sosa,CM,72,750000.0,9000.0,38,Estudiantes,Liga Profesional
P. Piatti,Pablo Daniel Piatti,LM,72,1100000.0,11000.0,34,Estudiantes,Liga Profesional
F. Fernández,Federico Fernández,CB,72,750000.0,10000.0,34,Estudiantes,Liga Profesional
G. Benedetti,Gastón Benedetti Taffarel,"LB, LWB",71,2800000.0,8000.0,22,Estudiantes,Liga Profesional
J. Altamirano,Javier Adolfo Altamirano Altamirano,"CAM, CM",71,2600000.0,9000.0,23,Estudiantes,Liga Profesional
G. Carrillo,Guido Marcelo Carrillo,ST,70,1300000.0,10000.0,32,Estudiantes,Liga Profesional
E. Muñoz,Ezequiel Matías Muñoz,CB,69,900000.0,7000.0,32,Estudiantes,Liga Profesional
M. Godoy,Matías Emanuel Godoy,"LM, ST",68,2700000.0,5000.0,21,Estudiantes,Liga Profesional
S. Núñez,Santiago Núñez,CB,68,1700000.0,5000.0,23,Estudiantes,Liga Profesional
F. Zapiola,Franco Zapiola,LM,67,2100000.0,5000.0,22,Estudiantes,Liga Profesional
M. Méndez,Mauro Andrés Méndez Acosta,"ST, CAM",67,1400000.0,5000.0,24,Estudiantes,Liga Profesional
D. Sappa,Claudio Daniel Sappa,GK,67,725000.0,4000.0,28,Estudiantes,Liga Profesional
J. Guasone,Juan Cruz Guasone,CB,66,1600000.0,4000.0,22,Estudiantes,Liga Profesional
A. Manyoma,Alexis Manyoma,CAM,65,1600000.0,3000.0,20,Estudiantes,Liga Profesional
E. Mancuso,Eros Nazareno Mancuso,"RB, RWB",65,900000.0,3000.0,24,Estudiantes,Liga Profesional
N. Palavecino,Jeremías Nicolás Palavecino,RM,61,725000.0,2000.0,20,Estudiantes,Liga Profesional
G. Piñeiro,Gonzalo Agustín Piñeiro,CM,61,525000.0,2000.0,22,Estudiantes,Liga Profesional
A. Atum,Axel Atum,RM,60,550000.0,500.0,17,Estudiantes,Liga Profesional
F. Iacovich,Fabricio Iacovich,GK,60,475000.0,1000.0,21,Estudiantes,Liga Profesional
