short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
S. van Gassel,Stijn van Gassel,GK,70,1700000.0,4000.0,26,Excelsior,Eredivisie
L. Lamprou,Lazaros Lamprou,"LM, ST, LW",68,1600000.0,3000.0,25,Excelsior,Eredivisie
T. Parrott,Troy Daniel Parrott,"ST, RW",67,2500000.0,18000.0,21,Excelsior,Eredivisie
R. El Yaakoubi,Redouan El Yaakoubi,"CB, CDM",67,1200000.0,3000.0,27,Excelsior,Eredivisie
K. Fitz-Jim,Kian Fitz-Jim,"CM, CDM",66,2000000.0,3000.0,19,Excelsior,Eredivisie
O. Uddenäs,Oscar Uddenäs,RM,66,2100000.0,2000.0,20,Excelsior,Eredivisie
C. Driouech,Couhaib Driouech,"LM, RM",66,1900000.0,2000.0,21,Excelsior,Eredivisie
K. Pierie,Kik Pierie,CB,66,1200000.0,2000.0,22,Excelsior,Eredivisie
A. Fein,Adrian Fein,CDM,66,1200000.0,2000.0,24,Excelsior,Eredivisie
S. Horemans,Siebe Horemans,RB,66,1000000.0,2000.0,25,Excelsior,Eredivisie
N. Alblas,Norbert Alblas,GK,66,725000.0,2000.0,28,Excelsior,Eredivisie
C. Widell,Casper Widell,CB,65,1600000.0,1000.0,20,Excelsior,Eredivisie
A. Zagré,Arthur Zagré,LB,65,1500000.0,1000.0,21,Excelsior,Eredivisie
M. van Duinen,Mike van Duinen,"ST, LM",65,600000.0,2000.0,31,Excelsior,Eredivisie
S. Nieuwpoort,Sven Nieuwpoort,CB,65,575000.0,2000.0,30,Excelsior,Eredivisie
C. Sandra,Cisse Sandra,"RM, CAM",64,1400000.0,3000.0,19,Excelsior,Eredivisie
L. Hartjes,Lennard Hartjes,"CDM, CM",64,1200000.0,2000.0,20,Excelsior,Eredivisie
J. Baas,Julian Baas,"CM, RM, CDM",64,1300000.0,1000.0,21,Excelsior,Eredivisie
N. Agrafiotis,Nikolas Agrafiotis,ST,64,1300000.0,2000.0,23,Excelsior,Eredivisie
M. Benita,Mimeirhel Benita,"RB, RM",63,1100000.0,2000.0,19,Excelsior,Eredivisie
S. Seymor,Serano Seymor,CB,63,1000000.0,1000.0,21,Excelsior,Eredivisie
I. Smeulers,Ian Smeulers,LB,63,1000000.0,1000.0,23,Excelsior,Eredivisie
D. Sanches Fernandes,Derensili Sanches Fernandes,"RM, CAM, RW",63,975000.0,1000.0,22,Excelsior,Eredivisie
J. Donkor,Jacky Donkor,LM,62,625000.0,1000.0,24,Excelsior,Eredivisie
N. Naujoks,Noah Naujoks,"CAM, CM, ST",61,725000.0,1000.0,21,Excelsior,Eredivisie
P. Kuiper,Pascal Kuiper,GK,60,575000.0,500.0,19,Excelsior,Eredivisie
R. Omorowa,Richie Omorowa,ST,59,575000.0,850.0,19,Excelsior,Eredivisie
R. Eyongo,Raphaël Eyongo,ST,59,500000.0,1000.0,20,Excelsior,Eredivisie
