short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Mitchell,Demetri Mitchell,LWB,67,1000000.0,3000.0,26,Exeter City,League One
J. Fitzwater,Jackson Joseph Fitzwater,CB,64,725000.0,2000.0,25,Exeter City,League One
H. Kite,Harry George Kite,CM,64,800000.0,2000.0,23,Exeter City,League One
A. Hartridge,Alex Duncan Hartridge,CB,64,675000.0,2000.0,24,Exeter City,League One
I. Niskanen,Ilmari Niskanen,"LW, RWB, LWB",64,700000.0,2000.0,25,Exeter City,League One
T. Carroll,Tom Carroll,"CM, CDM",64,475000.0,2000.0,31,Exeter City,League One
P. Sweeney,Pierce Liam Sweeney,CB,64,500000.0,2000.0,28,Exeter City,League One
C. Diabaté,Cheick Tiemoko Diabate,CB,63,1000000.0,1000.0,21,Exeter City,League One
A. Muskwe,Admiral Dalindlela Muskwe,ST,63,725000.0,9000.0,24,Exeter City,League One
V. Harper,Vincent Harper,"LWB, RWB",63,700000.0,2000.0,22,Exeter City,League One
Z. Jules,Zak Kennedy Jules,"CB, LWB",63,500000.0,2000.0,26,Exeter City,League One
W. Aimson,William Stewart Aimson,CB,63,400000.0,2000.0,29,Exeter City,League One
R. Trevitt,Ryan Trevitt,"CAM, CM",62,950000.0,7000.0,20,Exeter City,League One
J. Aitchison,Jack Aitchison,"ST, CAM, RW",62,550000.0,2000.0,23,Exeter City,League One
G. Woods,Gary Woods,GK,62,200000.0,1000.0,32,Exeter City,League One
D. Rankine,Dion Rankine,"RWB, RW",61,750000.0,1000.0,20,Exeter City,League One
J. Scott,James Ryan Scott,"ST, LW",61,450000.0,2000.0,22,Exeter City,League One
V. Sinisalo,Viljami Sinisalo,GK,60,525000.0,5000.0,21,Exeter City,League One
S. MacDonald,Shaun MacDonald,GK,60,220000.0,1000.0,26,Exeter City,League One
K. Taylor,Kyle Taylor,"CM, CAM",59,300000.0,1000.0,24,Exeter City,League One
S. Cox,Sonny Cox,"ST, RW",58,525000.0,650.0,18,Exeter City,League One
R. Cole,Reece Cole,"CM, CAM",58,275000.0,1000.0,25,Exeter City,League One
Pedro Borges,Pedro Borges Goncalves,"CAM, CM",57,375000.0,500.0,17,Exeter City,League One
G. Billington,Gabriel Billington,CB,52,170000.0,500.0,18,Exeter City,League One
J. O'Connor,Joe O'Connor,CB,51,130000.0,500.0,18,Exeter City,League One
M. Edgecombe,Max Edgecombe,LWB,50,100000.0,500.0,17,Exeter City,League One
M. Beardmore,Mitch Beardmore,"LWB, RWB",50,100000.0,500.0,18,Exeter City,League One
