short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Oier,Oier Olazábal Paredes,GK,74,1400000.0,6000.0,33,FC Andorra,La Liga 2
N. Ratti,Kevin Nicolás Ratti Fredes,GK,72,1800000.0,5000.0,29,FC Andorra,La Liga 2
C. Albanis,Christos Albanis,LM,71,1900000.0,6000.0,28,FC Andorra,La Liga 2
Sergi Samper,Sergi Samper Montañá,"CDM, CM",70,1400000.0,5000.0,28,FC Andorra,La Liga 2
A. Arroyo,Anderson Arroyo Córdoba,"CB, RB",69,2900000.0,30000.0,23,FC Andorra,La Liga 2
Diego Alende,Diego Alende López,CB,69,1800000.0,4000.0,25,FC Andorra,La Liga 2
Pablo Moreno,Pablo Moreno Taboada,"ST, LM",68,2700000.0,3000.0,21,FC Andorra,La Liga 2
Dani Martín,Daniel Martín Fernández,GK,68,1500000.0,2000.0,24,FC Andorra,La Liga 2
Sergio Molina,Sergio Molina Beloqui,CM,68,1400000.0,4000.0,27,FC Andorra,La Liga 2
José Marsà,José Martínez Marsà,"CB, CDM",67,2400000.0,2000.0,21,FC Andorra,La Liga 2
Diego Pampín,Diego Varela Pampín,"LB, LM",67,2200000.0,2000.0,23,FC Andorra,La Liga 2
A. Scheidler,Aurélien Scheidler,ST,67,1400000.0,2000.0,25,FC Andorra,La Liga 2
Vilanova,Adrià Vilanova Chaure,CB,67,1100000.0,3000.0,26,FC Andorra,La Liga 2
Álex Calvo,Alejandro Calvo Mata,"LM, RM",66,2000000.0,1000.0,19,FC Andorra,La Liga 2
Álex Pastor,Álex Pastor Carayol,"CB, RB",66,1800000.0,2000.0,23,FC Andorra,La Liga 2
Iván Gil,Iván Gil Calero,"CM, CAM, RM",66,1900000.0,2000.0,23,FC Andorra,La Liga 2
Lobete,Julen Lobete Cienfuegos,"ST, LM, RM",66,1900000.0,6000.0,22,FC Andorra,La Liga 2
Ruben Bover,Rubén Bover Izquierdo,"CM, LM, CAM",66,700000.0,3000.0,31,FC Andorra,La Liga 2
Jandro Orellana,Alejandro Orellana Gómez,"CDM, CM",65,1500000.0,2000.0,22,FC Andorra,La Liga 2
Migue Leal,Miguel Ángel Leal Díaz,"RB, RM, RWB",65,850000.0,2000.0,26,FC Andorra,La Liga 2
Álex Petxa,Álex Petxarroman Eizaguirre,"RB, CB",65,850000.0,2000.0,26,FC Andorra,La Liga 2
Iker Benito,Iker Benito Sánchez,"RM, LM",64,1400000.0,5000.0,20,FC Andorra,La Liga 2
Martí Vilà,Martí Vilà García,"LB, CB",64,1100000.0,2000.0,24,FC Andorra,La Liga 2
L. Shabani,Laorent Shabani,"LW, RW",63,750000.0,2000.0,23,FC Andorra,La Liga 2
Manu Nieto,Manuel Nieto Sánchez,"ST, RM",63,725000.0,2000.0,25,FC Andorra,La Liga 2
Diego González,Diego González Cabanes,"CB, LB",60,500000.0,1000.0,24,FC Andorra,La Liga 2
Álvaro Martín,Álvaro Martín de Frías,"LM, RM, CAM",60,550000.0,1000.0,22,FC Andorra,La Liga 2
Marc Bombardó,Marc Bombardó Poyato,CB,57,375000.0,500.0,17,FC Andorra,La Liga 2
Xiaoke He,何小珂,"ST, CAM, RM",57,400000.0,900.0,19,FC Andorra,La Liga 2
