short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Dorsch,Niklas Bernd Dorsch,"CDM, CM",76,10000000.0,23000.0,25,FC Augsburg,Bundesliga
K. Mbabu,Melingo Kevin Mbabu,RB,76,7000000.0,63000.0,28,FC Augsburg,Bundesliga
A. Maier,Arne Maier,"RM, CM, CDM",75,8500000.0,22000.0,24,FC Augsburg,Bundesliga
F. Uduokhai,Ohis Felix Uduokhai,CB,75,7000000.0,22000.0,25,FC Augsburg,Bundesliga
E. Demirović,Ermedin Demirović,"LM, ST",75,7500000.0,24000.0,25,FC Augsburg,Bundesliga
Iago,Iago Amaral Borduchi,"LB, LM",75,7000000.0,23000.0,26,FC Augsburg,Bundesliga
J. Gouweleeuw,Jeffrey Gouweleeuw,CB,75,3800000.0,23000.0,31,FC Augsburg,Bundesliga
J. Tanganga,Japhet Tanganga,"RB, CB, RWB",74,6000000.0,46000.0,24,FC Augsburg,Bundesliga
R. Oxford,Reece Oxford,"CB, CDM",74,6000000.0,19000.0,24,FC Augsburg,Bundesliga
P. Pfeiffer,Patric Pfeiffer,CB,74,6000000.0,19000.0,23,FC Augsburg,Bundesliga
R. Vargas,Rubén Estephan Vargas Martínez,"LM, RM, CF",74,6000000.0,21000.0,24,FC Augsburg,Bundesliga
E. Rexhbeçaj,Elvis Rexhbeçaj,"CM, CDM",74,5500000.0,23000.0,25,FC Augsburg,Bundesliga
M. Okugawa,奥川 雅也,"LM, CAM",74,4500000.0,24000.0,27,FC Augsburg,Bundesliga
M. Bauer,Maximilian Bauer,CB,73,5500000.0,17000.0,23,FC Augsburg,Bundesliga
F. Dahmen,Finn Gilbert Dahmen,GK,73,3800000.0,15000.0,25,FC Augsburg,Bundesliga
A. Engels,Arne Engels,"CM, CDM",72,5000000.0,11000.0,19,FC Augsburg,Bundesliga
D. Beljo,Dion Drena Beljo,ST,72,5500000.0,16000.0,21,FC Augsburg,Bundesliga
P. Tietz,Phillip Tietz,ST,72,3100000.0,20000.0,25,FC Augsburg,Bundesliga
I. Cardona,Irvin Cardona,"ST, LM",72,3100000.0,20000.0,25,FC Augsburg,Bundesliga
M. Pedersen,Mads Pedersen,"LB, LM",72,2500000.0,18000.0,26,FC Augsburg,Bundesliga
T. Koubek,Tomáš Koubek,GK,72,1600000.0,14000.0,30,FC Augsburg,Bundesliga
S. Michel,Sven Michel,"ST, LM",72,1900000.0,21000.0,32,FC Augsburg,Bundesliga
N. Mbuku,Nathanaël Mbuku,"CF, RM, CAM",71,4200000.0,14000.0,21,FC Augsburg,Bundesliga
F. Jensen,Hans Fredrik Jensen,"CAM, RM, LM",71,2500000.0,16000.0,25,FC Augsburg,Bundesliga
R. Gumny,Robert Gumny,"RB, CB, RM",71,2200000.0,15000.0,25,FC Augsburg,Bundesliga
T. Breithaupt,Tim Breithaupt,CDM,70,3400000.0,10000.0,21,FC Augsburg,Bundesliga
D. Čolina,David Čolina,"LB, LM",69,3000000.0,10000.0,22,FC Augsburg,Bundesliga
R. Framberger,Raphael Framberger,"RB, RM",68,1200000.0,10000.0,27,FC Augsburg,Bundesliga
F. Winther,Frederik Franck Winther,CB,64,1200000.0,5000.0,22,FC Augsburg,Bundesliga
A. Zehnter,Aaron Zehnter,"LB, LM",60,750000.0,1000.0,18,FC Augsburg,Bundesliga
M. Kömür,Mert Kömür,"CAM, CM",60,675000.0,550.0,17,FC Augsburg,Bundesliga
M. Łubik,Marcel Łubik,GK,60,450000.0,1000.0,19,FC Augsburg,Bundesliga
