short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Alcalá,Pedro Alcalá Guirado,CB,72,750000.0,7000.0,34,FC Cartagena,La Liga 2
Raúl Lizoain,Raúl Lizoáin Cruz,GK,72,1200000.0,5000.0,32,FC Cartagena,La Liga 2
Jony,Jonathan Rodríguez Menéndez,"LM, LW",71,1600000.0,6000.0,31,FC Cartagena,La Liga 2
Jairo,Jairo Izquierdo González,"LM, RM, LB",71,1800000.0,7000.0,29,FC Cartagena,La Liga 2
Mikel Rico,Mikel Rico Moreno,"CM, CDM",70,500000.0,4000.0,38,FC Cartagena,La Liga 2
Kiko Olivas,Francisco José Olivas Alba,CB,70,525000.0,5000.0,34,FC Cartagena,La Liga 2
D. Musto,Damián Marcelo Musto,"CDM, CM",70,325000.0,4000.0,36,FC Cartagena,La Liga 2
Gonzalo Verdú,Gonzalo Cacicedo Verdú,CB,70,525000.0,5000.0,34,FC Cartagena,La Liga 2
José Fontán,José Manuel Fontán Mondragón,"LB, CB",69,3000000.0,8000.0,23,FC Cartagena,La Liga 2
Marc Martínez,Marc Martínez Aranda,GK,69,450000.0,3000.0,33,FC Cartagena,La Liga 2
Juan Carlos,Juan Carlos Real Ruiz,"ST, LM, CM",69,1100000.0,5000.0,32,FC Cartagena,La Liga 2
David Ferreiro,David Ferreiro Quiroga,"LM, RM, CM",69,575000.0,3000.0,35,FC Cartagena,La Liga 2
Iván Calero,Iván Calero Ruiz,"RB, RM, LB",69,1300000.0,5000.0,28,FC Cartagena,La Liga 2
Úmaro Embaló,Úmaro Embaló,"LM, RM",68,1900000.0,6000.0,22,FC Cartagena,La Liga 2
Ortuño,Alfredo Ortuño Martínez,ST,68,975000.0,4000.0,32,FC Cartagena,La Liga 2
J. Narváez,Juan José Narváez Solarte,"LM, ST",68,1200000.0,4000.0,28,FC Cartagena,La Liga 2
H. Hevel,Hector Hevel,"CM, CAM, RM",67,1200000.0,3000.0,27,FC Cartagena,La Liga 2
I. Jansson,Isak Jansson,"ST, LM, RM",66,2100000.0,2000.0,21,FC Cartagena,La Liga 2
Lautaro,Lautaro de León Billar,ST,66,1900000.0,6000.0,22,FC Cartagena,La Liga 2
T. Alarcón,Tomás Jesús Alarcón Vergara,"CM, CDM",66,1700000.0,7000.0,24,FC Cartagena,La Liga 2
Luis Muñoz,José Luis Muñoz León,"CM, CDM, CB",66,1100000.0,3000.0,26,FC Cartagena,La Liga 2
Arnau Solà,Arnau Solà Mateu,LB,65,1600000.0,4000.0,20,FC Cartagena,La Liga 2
Iván Ayllón,Iván Ayllón Descalzo,"ST, RM, LM",65,1500000.0,2000.0,22,FC Cartagena,La Liga 2
D. Barro,Djakaría Barro,"CM, CDM",63,1100000.0,1000.0,21,FC Cartagena,La Liga 2
Dani Albiar,Daniel Albiar Serrano,"CM, CDM",63,1100000.0,2000.0,23,FC Cartagena,La Liga 2
Jony Álamo,Jonatan Carmona Álamo,"CDM, CM",63,1000000.0,1000.0,21,FC Cartagena,La Liga 2
Carlos Sánchez,Carlos Sánchez Jiménez,RB,63,1000000.0,2000.0,22,FC Cartagena,La Liga 2
De Pedro,Diego de Pedro Marroquí,"LM, LB",62,875000.0,1000.0,20,FC Cartagena,La Liga 2
Saldaña,Jose María Saldaña Baeza,GK,61,700000.0,1000.0,22,FC Cartagena,La Liga 2
Nono Gómez,Antonio Gómez del Castillo,GK,58,450000.0,500.0,18,FC Cartagena,La Liga 2
