short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
F. Kainz,Florian Kainz,"CAM, LM",78,13500000.0,31000.0,30,FC Köln,Bundesliga
M. Schwäbe,Marvin Schwäbe,GK,77,9500000.0,23000.0,28,FC Köln,Bundesliga
T. Hübers,Timo Bernd Hübers,CB,77,12000000.0,26000.0,26,FC Köln,Bundesliga
D. Ljubičić,Dejan Ljubičić,"RM, CDM, CM",76,10000000.0,26000.0,25,FC Köln,Bundesliga
J. Chabot,Julian Chabot,CB,75,7000000.0,22000.0,25,FC Köln,Bundesliga
M. Uth,Mark Uth,"CAM, ST",75,4700000.0,26000.0,31,FC Köln,Bundesliga
E. Martel,Eric Martel,"CDM, CB",74,9000000.0,16000.0,21,FC Köln,Bundesliga
L. Maina,Linton Maina,"LM, RM, ST",74,6500000.0,21000.0,24,FC Köln,Bundesliga
L. Waldschmidt,Gian-Luca Waldschmidt,"CF, ST",74,4900000.0,38000.0,27,FC Köln,Bundesliga
B. Schmitz,Benno Schmitz,RB,74,3800000.0,23000.0,28,FC Köln,Bundesliga
D. Selke,Davie Selke,ST,73,3100000.0,25000.0,28,FC Köln,Bundesliga
L. Paqarada,Leart Paqarada,"LB, LWB",73,2800000.0,21000.0,28,FC Köln,Bundesliga
J. Thielmann,Jan Thielmann,"RM, ST, LM",72,5500000.0,14000.0,21,FC Köln,Bundesliga
L. Kilian,Luca Jannis Kilian,CB,72,3000000.0,15000.0,23,FC Köln,Bundesliga
D. Heintz,Dominique Heintz,CB,71,1600000.0,16000.0,29,FC Köln,Bundesliga
R. Carstensen,Rasmus Carstensen,RB,70,3100000.0,7000.0,22,FC Köln,Bundesliga
S. Adamyan,Sargis Adamyan,"ST, LM, CAM",70,1600000.0,16000.0,30,FC Köln,Bundesliga
D. Huseinbašić,Denis Huseinbašić,"CM, CDM",69,3100000.0,9000.0,21,FC Köln,Bundesliga
J. Christensen,Jacob Steen Christensen,"CM, CDM",69,3100000.0,11000.0,22,FC Köln,Bundesliga
F. Alidou,Faride Alidou,LM,69,3100000.0,12000.0,21,FC Köln,Bundesliga
N. Katterbach,Noah Katterbach,LB,69,3000000.0,10000.0,22,FC Köln,Bundesliga
S. Tigges,Steffen Tigges,ST,69,2000000.0,12000.0,24,FC Köln,Bundesliga
D. Limnios,Dimitris Limnios,"LM, RM",69,1800000.0,12000.0,25,FC Köln,Bundesliga
M. Olesen,Mathias Olesen,"CM, CAM",66,1900000.0,7000.0,22,FC Köln,Bundesliga
P. Pentke,Philipp Pentke,GK,66,90000.0,4000.0,38,FC Köln,Bundesliga
F. Dietz,Florian Dietz,ST,64,900000.0,6000.0,24,FC Köln,Bundesliga
D. Downs,Damion Downs,"ST, CF",62,1100000.0,2000.0,18,FC Köln,Bundesliga
R. Smajić,Rijad Smajić,CB,62,975000.0,2000.0,19,FC Köln,Bundesliga
M. Finkgräfe,Max Finkgräfe,"LB, LM, CM",62,900000.0,2000.0,19,FC Köln,Bundesliga
E. Bakatukanda,Elias-Geoffrey Bakatukanda,CB,60,600000.0,2000.0,19,FC Köln,Bundesliga
J. Nickisch,Jonas Nickisch,GK,60,500000.0,1000.0,19,FC Köln,Bundesliga
G. Strauch,Georg Strauch,"CDM, RB",60,525000.0,3000.0,22,FC Köln,Bundesliga
M. Köbbing,Matthias Köbbing,GK,56,150000.0,3000.0,26,FC Köln,Bundesliga
