short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Unnerstall,Lars Unnerstall,GK,79,8500000.0,12000.0,32,FC Twente,Eredivisie
G. Smal,Gijs Smal,LB,75,6500000.0,11000.0,25,FC Twente,Eredivisie
R. Pröpper,Robin Pröpper,CB,75,4700000.0,12000.0,29,FC Twente,Eredivisie
M. Sadílek,Michal Sadílek,"CDM, CM, LB",74,6000000.0,9000.0,24,FC Twente,Eredivisie
J. Brenet,Joshua Brenet,"RB, LB",74,3700000.0,11000.0,29,FC Twente,Eredivisie
M. Hilgers,Mees Hilgers,CB,73,6500000.0,8000.0,22,FC Twente,Eredivisie
C. Eiting,Carel Willem Hendrik Eiting,"CM, CDM",73,4200000.0,10000.0,25,FC Twente,Eredivisie
R. van Wolfswinkel,Ricky van Wolfswinkel,"ST, CAM",72,1100000.0,10000.0,34,FC Twente,Eredivisie
M. van Bergen,Mitchell van Bergen,"RW, LW",71,2800000.0,8000.0,23,FC Twente,Eredivisie
M. Vlap,Michel Vlap,"CAM, CM",71,2400000.0,8000.0,26,FC Twente,Eredivisie
M. Ugalde,Manfred Ugalde,ST,70,3600000.0,6000.0,21,FC Twente,Eredivisie
S. Steijn,Sem Steijn,"CAM, CM",70,3600000.0,5000.0,21,FC Twente,Eredivisie
A. Sampsted,Alfons Sampsted,RB,70,2200000.0,6000.0,25,FC Twente,Eredivisie
N. Ünüvar,Naci Ünüvar,"LW, CAM",67,2500000.0,5000.0,20,FC Twente,Eredivisie
D. Rots,Daan Rots,RW,67,1600000.0,4000.0,21,FC Twente,Eredivisie
Y. Regeer,Youri Regeer,"RB, CM",66,1900000.0,2000.0,19,FC Twente,Eredivisie
Y. Taha,Younes Taha,"CAM, LW, RW",66,1900000.0,3000.0,20,FC Twente,Eredivisie
M. Kjølø,Mathias Ullereng Kjølø,"CDM, CM",66,1800000.0,3000.0,22,FC Twente,Eredivisie
A. Van Hoorenbeeck,Alec Van Hoorenbeeck,"LB, CB",66,1300000.0,4000.0,24,FC Twente,Eredivisie
P. Tytoń,Przemysław Tytoń,GK,66,90000.0,2000.0,36,FC Twente,Eredivisie
M. Bruns,Max Bruns,"CB, CDM",61,675000.0,1000.0,20,FC Twente,Eredivisie
I. El Maach,Issam El Maach,GK,61,625000.0,1000.0,23,FC Twente,Eredivisie
I. Yegoian,Irakli Yegoian,"CAM, CM",60,625000.0,1000.0,19,FC Twente,Eredivisie
G. Besselink,Gijs Besselink,"CDM, CM",59,500000.0,950.0,19,FC Twente,Eredivisie
S. Karssies,Sam Luca Karssies,GK,59,475000.0,950.0,20,FC Twente,Eredivisie
J. Mesbahi,Juliën Mesbahi,CB,57,425000.0,500.0,17,FC Twente,Eredivisie
M. Rots,Mats Rots,"LB, CB",57,400000.0,500.0,17,FC Twente,Eredivisie
