short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Bonucci,Leonardo Bonucci,CB,80,3800000.0,28000.0,36,FC Union Berlin,Bundesliga
K. Volland,Kevin Volland,"ST, CAM, CF",79,17000000.0,44000.0,30,FC Union Berlin,Bundesliga
F. Rønnow,Frederik Riis Rønnow,GK,79,11500000.0,30000.0,30,FC Union Berlin,Bundesliga
R. Gosens,Robin Everardus Gosens,"LWB, LM",79,16000000.0,39000.0,28,FC Union Berlin,Bundesliga
D. Doekhi,Danilho Raimundo Doekhi,CB,78,15500000.0,32000.0,25,FC Union Berlin,Bundesliga
S. Becker,Sheraldo Becker,"ST, RM",78,14500000.0,41000.0,28,FC Union Berlin,Bundesliga
L. Tousart,Lucas Simon Pierre Tousart,"CDM, CM",77,12500000.0,31000.0,26,FC Union Berlin,Bundesliga
C. Trimmel,Christopher Trimmel,"RWB, RM",77,2300000.0,23000.0,36,FC Union Berlin,Bundesliga
R. Knoche,Robin Knoche,CB,77,7000000.0,31000.0,31,FC Union Berlin,Bundesliga
J. Juranović,Josip Juranović,"RWB, LWB",77,10000000.0,31000.0,27,FC Union Berlin,Bundesliga
A. Král,Alex Král,"CDM, CM",76,10000000.0,28000.0,25,FC Union Berlin,Bundesliga
Diogo Leite,Diogo Filipe Monteiro Pinto Leite,CB,76,9500000.0,25000.0,24,FC Union Berlin,Bundesliga
A. Laïdouni,Aïssa Bilal Laïdouni,"CDM, CM",76,8500000.0,29000.0,26,FC Union Berlin,Bundesliga
J. Roussillon,Jérôme Roussillon,"LWB, LM",76,6500000.0,29000.0,30,FC Union Berlin,Bundesliga
R. Khedira,Rani Khedira,"CDM, CB",76,6500000.0,31000.0,29,FC Union Berlin,Bundesliga
J. Haberer,Janik Haberer,"CM, CDM",75,5500000.0,32000.0,29,FC Union Berlin,Bundesliga
B. Aaronson,Brenden Russell Aaronson,"CAM, RM, CM",74,9500000.0,32000.0,22,FC Union Berlin,Bundesliga
P. Jaeckel,Paul Jaeckel,CB,74,5500000.0,22000.0,24,FC Union Berlin,Bundesliga
K. Behrens,Kevin Behrens,ST,74,3400000.0,31000.0,32,FC Union Berlin,Bundesliga
A. Schäfer,András Schäfer,"CM, CDM",72,4700000.0,20000.0,24,FC Union Berlin,Bundesliga
M. Kaufmann,Mikkel Kaufmann Sørensen,ST,71,3000000.0,19000.0,22,FC Union Berlin,Bundesliga
A. Schwolow,Alexander Schwolow,GK,70,850000.0,13000.0,31,FC Union Berlin,Bundesliga
B. Hollerbach,Benedict Hollerbach,"ST, CF, RM",69,2900000.0,14000.0,22,FC Union Berlin,Bundesliga
D. Fofana,David Datro Fofana,ST,68,2900000.0,27000.0,20,FC Union Berlin,Bundesliga
J. Busk,Jakob Busk Jensen,GK,66,575000.0,7000.0,29,FC Union Berlin,Bundesliga
A. Kemlein,Aljoscha Kemlein,CDM,60,600000.0,1000.0,18,FC Union Berlin,Bundesliga
L. Dehl,Laurenz Dehl,CAM,60,500000.0,4000.0,21,FC Union Berlin,Bundesliga
Y. Stein,Yannic Stein,GK,57,325000.0,500.0,18,FC Union Berlin,Bundesliga
