short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
B. Ramselaar,Bart Ramselaar,"CAM, LW",73,3500000.0,14000.0,27,FC Utrecht,Eredivisie
N. Viergever,Nick Viergever,"CB, LB",73,1500000.0,13000.0,33,FC Utrecht,Eredivisie
J. Toornstra,Jens Toornstra,"CDM, CM",73,1000000.0,13000.0,34,FC Utrecht,Eredivisie
V. Barkas,Vasilis Cornelius Barkas,GK,72,1800000.0,10000.0,29,FC Utrecht,Eredivisie
Z. Labyad,Zakaria Labyad,CAM,72,2300000.0,13000.0,30,FC Utrecht,Eredivisie
M. van der Hoorn,Mike van der Hoorn,CB,72,1900000.0,12000.0,30,FC Utrecht,Eredivisie
M. Sagnan,Modibo Sagnan,CB,71,2600000.0,9000.0,24,FC Utrecht,Eredivisie
M. Branderhorst,Mattijs Branderhorst,GK,71,1600000.0,9000.0,29,FC Utrecht,Eredivisie
M. Seuntjens,Mats Seuntjens,"ST, LW",71,1600000.0,12000.0,31,FC Utrecht,Eredivisie
Hugo Novoa,Hugo Novoa Ramos,"RW, CF, RWB",70,3500000.0,20000.0,20,FC Utrecht,Eredivisie
R. Flamingo,Ryan Flamingo,"CB, CDM, RB",69,2900000.0,6000.0,20,FC Utrecht,Eredivisie
T. Booth,Taylor Anthony Booth,"RW, CAM",69,3100000.0,8000.0,22,FC Utrecht,Eredivisie
H. ter Avest,Hidde Willem ter Avest,RB,69,1700000.0,8000.0,26,FC Utrecht,Eredivisie
M. van der Maarel,Mark van der Maarel,"LB, CB, RB",69,725000.0,8000.0,33,FC Utrecht,Eredivisie
M. Azarkan,Marouan Azarkan,RW,68,2700000.0,6000.0,21,FC Utrecht,Eredivisie
C. Bozdoğan,Can Bozdoğan,"CM, CDM",68,2700000.0,6000.0,22,FC Utrecht,Eredivisie
O. Boussaid,Othmane Boussaid,"LW, RW, CAM",68,2400000.0,7000.0,23,FC Utrecht,Eredivisie
S. El Karouani,Souffian El Karouani,LB,68,2300000.0,6000.0,22,FC Utrecht,Eredivisie
O. Romeny,Ole ter Haar Romeny,"LW, RW",66,1900000.0,5000.0,23,FC Utrecht,Eredivisie
V. Jensen,Victor Christoffer Jensen,"CM, CDM, CAM",66,1700000.0,5000.0,23,FC Utrecht,Eredivisie
I. Lidberg,Isac Alexi Sivert Lidberg,ST,65,1100000.0,4000.0,24,FC Utrecht,Eredivisie
Z. Iqbal,Zidane Iqbal,"CM, CAM",63,1300000.0,3000.0,20,FC Utrecht,Eredivisie
A. Descotte,Anthony Kevin Descotte,ST,63,1100000.0,2000.0,19,FC Utrecht,Eredivisie
O. Fraulo,Oscar Luigi Fraulo,CM,62,1000000.0,3000.0,19,FC Utrecht,Eredivisie
C. Raatsie,Calvin Owen Harm Raatsie,GK,60,525000.0,1000.0,21,FC Utrecht,Eredivisie
I. Jenner,Ivar Jenner,CM,58,475000.0,2000.0,19,FC Utrecht,Eredivisie
K. Gadellaa,Kevin Gadellaa,GK,58,375000.0,1000.0,20,FC Utrecht,Eredivisie
A. Blake,Adrian Blake,LW,55,400000.0,550.0,17,FC Utrecht,Eredivisie
