short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
X. Mbuyamba,Xavier Mbuyamba,CB,69,2900000.0,3000.0,21,FC Volendam,Eredivisie
B. Benamar,Benaissa Benamar,"CB, CDM",67,1200000.0,3000.0,26,FC Volendam,Eredivisie
R. Mühren,Robert Mühren,ST,67,500000.0,4000.0,34,FC Volendam,Eredivisie
L. Le Roux,Luke Le Roux,"CDM, CM",66,1800000.0,2000.0,23,FC Volendam,Eredivisie
D. Mirani,Damon Mirani,"CB, CDM",66,900000.0,2000.0,27,FC Volendam,Eredivisie
C. Twigt,Calvin Twigt,"CM, CDM",65,1600000.0,2000.0,20,FC Volendam,Eredivisie
B. Plat,Brian Plat,"RB, RWB, CB",65,1100000.0,2000.0,23,FC Volendam,Eredivisie
B. Ould-Chikh,Bilal Ould-Chikh,RM,64,700000.0,2000.0,25,FC Volendam,Eredivisie
G. Kuol,Garang Kuol,RM,63,1200000.0,6000.0,18,FC Volendam,Eredivisie
J. Flint,Josh Flint,CB,63,1000000.0,2000.0,22,FC Volendam,Eredivisie
I. El Kadiri,Ibrahim El Kadiri,LM,63,1100000.0,1000.0,21,FC Volendam,Eredivisie
O. Buur,Oskar Buur Rasmussen,"RWB, CDM",63,625000.0,2000.0,25,FC Volendam,Eredivisie
L. Zeefuik,Lequincio Zeefuik,ST,62,1000000.0,750.0,18,FC Volendam,Eredivisie
Q. Hoeve,Quincy Hoeve,"ST, RM",62,875000.0,1000.0,20,FC Volendam,Eredivisie
A. Douiri,Achraf Douiri,RWB,62,750000.0,1000.0,23,FC Volendam,Eredivisie
K. Blommestijn,Koen Blommestijn,ST,61,525000.0,2000.0,23,FC Volendam,Eredivisie
M. Backhaus,Mio Backhaus,GK,60,575000.0,1000.0,19,FC Volendam,Eredivisie
B. Lauwers,Barry Lauwers,GK,60,300000.0,900.0,23,FC Volendam,Eredivisie
I. Nazih,Imran Nazih,"CAM, CM",59,525000.0,500.0,17,FC Volendam,Eredivisie
J. Antonioli,Joey Antonioli,CM,59,525000.0,850.0,19,FC Volendam,Eredivisie
Diego Gustavo,Diego Gustavo Rodrigues de Lima,"CAM, CM",59,525000.0,850.0,19,FC Volendam,Eredivisie
B. van Duijl,Billy van Duijl,CB,58,475000.0,500.0,17,FC Volendam,Eredivisie
E. Fiemawhle,Ezechiel Fiemawhle,ST,58,525000.0,650.0,18,FC Volendam,Eredivisie
D. Payne,Déron Payne,"RWB, RB",58,425000.0,950.0,20,FC Volendam,Eredivisie
F. Klomp,Flip Klomp,CM,58,450000.0,1000.0,21,FC Volendam,Eredivisie
Z. Booth,Zach Booth,"CM, CDM",57,425000.0,4000.0,19,FC Volendam,Eredivisie
M. de Haan,Milan de Haan,CM,57,425000.0,850.0,19,FC Volendam,Eredivisie
F. Reyes Marizán,Francisco Reyes Marizán,LB,56,350000.0,500.0,17,FC Volendam,Eredivisie
K. van Oevelen,Kayne van Oevelen,GK,56,300000.0,500.0,19,FC Volendam,Eredivisie
D. Johnson,Darius Johnson,LM,56,275000.0,1000.0,23,FC Volendam,Eredivisie
