short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Zé Luís,José Luís Mendes Andrade,ST,75,4600000.0,7000.0,32,Farense,Liga Portugal
João Talocha,João Carlos Araújo Fonseca Silva,LB,74,2200000.0,6000.0,33,Farense,Liga Portugal
Igor Rossi,Igor Rossi Branco,CB,70,525000.0,4000.0,34,Farense,Liga Portugal
Mattheus Oliveira,Mattheus Andrade Gama de Oliveira,"CAM, CM",70,1600000.0,4000.0,28,Farense,Liga Portugal
Cláudio Falcão,Cláudio Falcão Santos,"CM, CB, CDM",70,1600000.0,4000.0,28,Farense,Liga Portugal
Rui Costa,Rui Pedro Silva Costa,"ST, RW",69,1500000.0,4000.0,27,Farense,Liga Portugal
Rafael Barbosa,Rafael Avelino Pereira Pinto Barbosa,"LW, CAM",69,1500000.0,4000.0,27,Farense,Liga Portugal
Bruno Duarte,Bruno Duarte da Silva,ST,69,1500000.0,4000.0,27,Farense,Liga Portugal
Fabrício Isidoro,Fabrício Isidoro Fonseca de Jesus,"CM, CDM",69,1100000.0,3000.0,31,Farense,Liga Portugal
Marco Matias,Marco André da Silva Lopes Matias,"RW, LW",68,575000.0,3000.0,34,Farense,Liga Portugal
Vítor Gonçalves,Vítor Bruno Rodrigues Gonçalves,CM,68,1000000.0,3000.0,31,Farense,Liga Portugal
J. Velásquez,Jhon Jairo Velásquez Turga,"CAM, RW",68,1200000.0,3000.0,28,Farense,Liga Portugal
Z. Muscat,Zach Muscat,"CB, RB",68,1000000.0,3000.0,29,Farense,Liga Portugal
Luiz Felipe,Luiz Felipe da Silva Nunes,GK,67,1100000.0,2000.0,26,Farense,Liga Portugal
Artur Jorge,Artur Jorge Marques Amorim,CB,67,975000.0,2000.0,28,Farense,Liga Portugal
Elves Baldé,Elves Umar Baldé,"LW, RW",66,1900000.0,2000.0,23,Farense,Liga Portugal
Gonçalo Silva,Gonçalo Filipe Oliveira Silva,CB,66,550000.0,2000.0,32,Farense,Liga Portugal
Cristian Ponde,Cristian Ioan Ponde,"ST, RW",66,875000.0,2000.0,28,Farense,Liga Portugal
F. Cáseres,Facundo Agustín Cáseres,CM,65,1600000.0,2000.0,22,Farense,Liga Portugal
Ricardo Velho,Mário Ricardo Silva Velho,GK,64,750000.0,950.0,24,Farense,Liga Portugal
Miguel Carvalho,Miguel Ângelo Loureiro de Carvalho,GK,64,575000.0,1000.0,27,Farense,Liga Portugal
M. Belloumi,Mohamed Belloumi,"RW, LW, CAM",63,1100000.0,1000.0,21,Farense,Liga Portugal
Pastor,David Samuel Custódio Lima,RB,63,675000.0,1000.0,23,Farense,Liga Portugal
Fran Delgado,Francisco Javier Delgado Rojano,"RB, RM",62,850000.0,800.0,21,Farense,Liga Portugal
André Seruca,André Seruca de Oliveira,"CDM, CB",61,475000.0,900.0,22,Farense,Liga Portugal
Talys,Talys A. Pereira Oliveira,LB,61,450000.0,900.0,24,Farense,Liga Portugal
