short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Camporese,Michele Camporese,CB,70,1100000.0,2000.0,31,FeralpiSalò,Serie B
L. Ceppitelli,Luca Ceppitelli,CB,70,750000.0,2000.0,33,FeralpiSalò,Serie B
L. Fiordilino,Antonio Luca Fiordilino,"CM, CDM",69,1600000.0,2000.0,26,FeralpiSalò,Serie B
G. Letizia,Gaetano Letizia,"RB, RM, LM",69,725000.0,2000.0,33,FeralpiSalò,Serie B
A. Da Cruz,Alessio Da Cruz,"CAM, ST",68,1600000.0,2000.0,26,FeralpiSalò,Serie B
B. Martella,Bruno Martella,"LB, LM",68,1000000.0,2000.0,30,FeralpiSalò,Serie B
C. Kourfalidis,Christos Kourfalidis,"CM, CAM",67,2200000.0,6000.0,20,FeralpiSalò,Serie B
A. Pilati,Alessandro Pilati,CB,67,1500000.0,1000.0,23,FeralpiSalò,Serie B
A. La Mantia,Andrea La Mantia,ST,67,825000.0,2000.0,32,FeralpiSalò,Serie B
S. Pizzignacco,Semuel Pizzignacco,GK,66,1700000.0,650.0,21,FeralpiSalò,Serie B
M. Zennaro,Mattia Zennaro,"CM, CAM, CDM",66,1900000.0,1000.0,22,FeralpiSalò,Serie B
F. Bergonzi,Federico Bergonzi,"RB, LB",66,1800000.0,1000.0,22,FeralpiSalò,Serie B
G. Ferrarini,Gabriele Ferrarini,"RB, RM",66,1600000.0,10000.0,23,FeralpiSalò,Serie B
F. Carraro,Federico Carraro,"CDM, CM",66,600000.0,1000.0,31,FeralpiSalò,Serie B
D. Balestrero,Davide Balestrero,"CM, CDM",66,900000.0,1000.0,27,FeralpiSalò,Serie B
M. Tonetto,Mattia Tonetto,"LB, LM",65,1500000.0,950.0,22,FeralpiSalò,Serie B
L. Bacchetti,Loris Bacchetti,CB,65,575000.0,1000.0,30,FeralpiSalò,Serie B
D. Voltan,Davide Voltan,"CAM, LW, RW",65,725000.0,1000.0,28,FeralpiSalò,Serie B
V. Parigini,Vittorio Parigini,"RW, RM, LW",65,750000.0,1000.0,27,FeralpiSalò,Serie B
K. Butić,Karlo Butić,ST,64,900000.0,1000.0,24,FeralpiSalò,Serie B
M. Sau,Marco Sau,"ST, CAM, CF",64,250000.0,900.0,35,FeralpiSalò,Serie B
D. Di Molfetta,Davide Di Molfetta,"CAM, LW",64,625000.0,1000.0,27,FeralpiSalò,Serie B
A. Pietrelli,Alessandro Pietrelli,"CF, ST, CAM",63,1100000.0,800.0,20,FeralpiSalò,Serie B
D. Hergheligiu,Denis Hergheligiu,CM,63,750000.0,850.0,23,FeralpiSalò,Serie B
G. Volpe,Giacomo Volpe,GK,63,400000.0,700.0,27,FeralpiSalò,Serie B
M. Compagnon,Mattia Compagnon,"RW, CM",62,900000.0,700.0,21,FeralpiSalò,Serie B
S. Minelli,Stefano Minelli,GK,62,325000.0,700.0,29,FeralpiSalò,Serie B
M. Felici,Mattia Felici,"CAM, LW",60,500000.0,650.0,22,FeralpiSalò,Serie B
