short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Hancko,Dávid Hancko,"CB, LB",80,26500000.0,19000.0,25,Feyenoord,Eredivisie
L. Geertruida,Lutsharel Geertruida,"RB, CB, CDM",79,26500000.0,17000.0,22,Feyenoord,Eredivisie
G. Trauner,Gernot Trauner,CB,79,12000000.0,19000.0,31,Feyenoord,Eredivisie
S. Giménez,Santiago Tomás Giménez,ST,78,23000000.0,18000.0,22,Feyenoord,Eredivisie
J. Bijlow,Justin Bijlow,GK,78,16500000.0,13000.0,25,Feyenoord,Eredivisie
Igor Paixão,Igor Guilherme Barbosa da Paixão,"LW, RW",77,16500000.0,17000.0,23,Feyenoord,Eredivisie
M. Wieffer,Mats Wieffer,"CDM, CM",76,14000000.0,13000.0,23,Feyenoord,Eredivisie
L. Ivanušec,Luka Ivanušec,"CAM, LW, CM",76,11500000.0,15000.0,24,Feyenoord,Eredivisie
R. Zerrouki,Ramiz Larbi Zerrouki,"CM, CDM",76,10000000.0,16000.0,25,Feyenoord,Eredivisie
B. Nieuwkoop,Bart Nieuwkoop,RB,76,7000000.0,15000.0,27,Feyenoord,Eredivisie
O. Lingr,Ondřej Lingr,"CAM, LW, RW",75,8500000.0,1000.0,24,Feyenoord,Eredivisie
Q. Timber,Quinten Ryan Crispito Timber,"CM, CAM, CDM",74,9500000.0,13000.0,22,Feyenoord,Eredivisie
C. Stengs,Calvin Stengs,"CAM, CM, RW",73,4600000.0,12000.0,24,Feyenoord,Eredivisie
A. Ueda,上田 綺世,"ST, CAM",73,4700000.0,13000.0,24,Feyenoord,Eredivisie
J. Dilrosun,Javairô Dilrosun,"RW, LW, CAM",73,4000000.0,14000.0,25,Feyenoord,Eredivisie
A. Jahanbakhsh,Alireza Jahanbakhsh,RW,73,3000000.0,15000.0,29,Feyenoord,Eredivisie
Q. Hartman,Quilindschy Hartman,LB,72,5000000.0,8000.0,21,Feyenoord,Eredivisie
T. Wellenreuther,Timon Janis Wellenreuther,GK,72,2100000.0,9000.0,27,Feyenoord,Eredivisie
T. van den Belt,Thomas van den Belt,"CM, CDM",70,3600000.0,8000.0,22,Feyenoord,Eredivisie
M. López,Marcos Johan López Lanfranco,LB,70,2400000.0,7000.0,23,Feyenoord,Eredivisie
K. Lamprou,Konstantinos Lamprou,GK,68,650000.0,5000.0,31,Feyenoord,Eredivisie
T. Beelen,Thomas Beelen,"CB, CDM",67,2100000.0,5000.0,22,Feyenoord,Eredivisie
Y. Minteh,Yankuba Minteh,"RW, LW",65,1800000.0,9000.0,18,Feyenoord,Eredivisie
L. Sauer,Leo Sauer,"LW, CAM",64,1500000.0,800.0,17,Feyenoord,Eredivisie
A. Milambo,Antoni-Djibu Milambo,"CAM, CM",63,1200000.0,1000.0,18,Feyenoord,Eredivisie
G. Zechiël,Gjivai Zechiël,"CM, CDM",62,1000000.0,2000.0,19,Feyenoord,Eredivisie
M. van Sas,Mikki van Sas,GK,61,675000.0,850.0,19,Feyenoord,Eredivisie
M. Kleijn,Mike Kleijn,"LB, CM",60,600000.0,650.0,18,Feyenoord,Eredivisie
M. Berger,Mannou Berger,GK,58,450000.0,500.0,18,Feyenoord,Eredivisie
