short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Oswaldinato,Marvin Oswaldo Rangel Azevedo,ST,81,22000000.0,54000.0,31,Flamengo,Serie A
Héniton Pires,Héniton Enaldo Pires Tramontino,GK,80,16000000.0,35000.0,27,Flamengo,Serie A
Wellington Sabrão,Wellingt. Edson Sabrão Rolim,"RB, LB",78,4300000.0,26000.0,35,Flamengo,Serie A
Pedrão Tofico,Pedro Tofico Dourado Hermes,CB,78,13000000.0,37000.0,27,Flamengo,Serie A
Guilson Paiva,G. Pierre Paiva Souza,"RM, RW",78,15000000.0,40000.0,27,Flamengo,Serie A
Arturo Inálcio,Arturo Adolfo Inálcio Dutra,"CM, CAM",78,16000000.0,35000.0,23,Flamengo,Serie A
Jonatão Praz,Jonathan Prazeres Conradi,LW,78,16000000.0,38000.0,23,Flamengo,Serie A
Jadsinho Mei,Jadson José Meireles Correia,"CDM, CM",77,10000000.0,34000.0,27,Flamengo,Serie A
Estevão Candeira,Estevão Danilo Candeira Inácio,"RB, LB",75,5500000.0,30000.0,27,Flamengo,Serie A
Danisco Fachini,Daniel Clayton Fachini Lobato,CDM,75,1600000.0,22000.0,35,Flamengo,Serie A
Elieser Baldeiro,Elieser Danilo Baldeiro Lopes,CB,75,5000000.0,30000.0,27,Flamengo,Serie A
Enzo Marteiro,Enzo Wellington Marteiro Santoso,GK,74,2200000.0,23000.0,31,Flamengo,Serie A
Douglas Carvalheira,Douglas Arthur Carvalheira Peixoto,LB,74,1300000.0,20000.0,35,Flamengo,Serie A
Gérson Damesio,Gérson Adriano Damesio Figueiras,CB,74,2900000.0,28000.0,31,Flamengo,Serie A
Diegildo Ramos,Diego Hugo Ramos Calado,"ST, RM",74,3600000.0,34000.0,31,Flamengo,Serie A
Michel Cruceiro,Michel David Cruceiro Muscato,"CDM, CM",73,2100000.0,26000.0,31,Flamengo,Serie A
Marlon Nideiro,Marlon Lourival Nideiro Cintra,CAM,73,3200000.0,28000.0,27,Flamengo,Serie A
Fabri Arnoia,Fabrício Sandro Arnoia Sepa,"RW, CF",73,2500000.0,31000.0,31,Flamengo,Serie A
Guto Milazar,Guto Ramón Milazar Coimbra,LB,72,1700000.0,23000.0,31,Flamengo,Serie A
Leôncio Lobeiro,Leôncio Roger Lobeiro Cunha,"RW, RM",70,1800000.0,18000.0,23,Flamengo,Serie A
