short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
F. Dabo,Fankaty Dabo,"RB, RWB",68,1300000.0,6000.0,27,Forest Green Rovers,League Two
T. Deeney,Troy Deeney,ST,68,525000.0,6000.0,35,Forest Green Rovers,League Two
L. Daniels,Luke Daniels,GK,65,80000.0,2000.0,35,Forest Green Rovers,League Two
J. Garrick,Jordon Garrick,"LM, ST",64,800000.0,4000.0,24,Forest Green Rovers,League Two
R. Inniss,Ryan Stuart Clayton Inniss,CB,64,500000.0,4000.0,28,Forest Green Rovers,League Two
J. Moore-Taylor,Jordan Alan Moore-Taylor,CB,64,500000.0,4000.0,29,Forest Green Rovers,League Two
R. Brown,Reece Brown,"CM, CDM",64,625000.0,4000.0,27,Forest Green Rovers,League Two
M. Taylor,Matthew James Taylor,ST,64,375000.0,5000.0,33,Forest Green Rovers,League Two
N. Holland,Nathan Elliot Holland,"RW, LW, LM",63,625000.0,4000.0,25,Forest Green Rovers,League Two
K. McAllister,Kyle McAllister,"RM, LWB",63,650000.0,3000.0,24,Forest Green Rovers,League Two
M. Stevens,Mathew Antony Stevens,ST,63,575000.0,4000.0,25,Forest Green Rovers,League Two
M. Lavinier,Marcel Edwin Rodrigues Lavinier,"LB, RB",62,850000.0,2000.0,22,Forest Green Rovers,League Two
C. Morton,Callum Damian Peter Morton,"ST, LW",62,600000.0,4000.0,23,Forest Green Rovers,League Two
J. Robson,Jamie Robson,"LB, LWB",62,450000.0,3000.0,25,Forest Green Rovers,League Two
D. Bernard,Dominic Archie Bernard,"RB, CB",62,450000.0,3000.0,26,Forest Green Rovers,League Two
J. Maddox,Jacob Christian Maddox,CM,62,525000.0,3000.0,24,Forest Green Rovers,League Two
H. Bunker,Harvey James Bunker,"CDM, CB, CM",59,475000.0,2000.0,20,Forest Green Rovers,League Two
C. Jones,Callum Jones,"CM, CDM",59,500000.0,3000.0,22,Forest Green Rovers,League Two
D. Johnson,Darnell Tobias Jack Johnson,CB,59,300000.0,2000.0,24,Forest Green Rovers,League Two
C. McCann,Charlie McCann,"CDM, CAM, CM",58,425000.0,2000.0,21,Forest Green Rovers,League Two
D. Kadji,Dylan Kadji,"CDM, CM",58,425000.0,3000.0,19,Forest Green Rovers,League Two
T. Jenks,Teddy Christopher Graham Jenks,"CM, CAM, CDM",58,450000.0,2000.0,21,Forest Green Rovers,League Two
R. Welch,Reece Welch,CB,56,350000.0,3000.0,19,Forest Green Rovers,League Two
A. Bendle,Alfie Bendle,CDM,56,350000.0,700.0,18,Forest Green Rovers,League Two
T. Omotoye,Tyrese Omotoye,ST,56,325000.0,2000.0,20,Forest Green Rovers,League Two
S. Robertson,Sean Dominic Robertson,"RB, RWB",56,200000.0,2000.0,22,Forest Green Rovers,League Two
J. Searle,Jamie Searle,GK,54,190000.0,2000.0,22,Forest Green Rovers,League Two
M. Bennett,Murphy Bennett,CB,51,130000.0,650.0,18,Forest Green Rovers,League Two
