short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
S. Appelkamp,アペルカンプ 真大 カール,"CAM, LM, CM",72,5500000.0,16000.0,22,Fortuna Düsseldorf,2. Bundesliga
A. Tanaka,田中 青,"CDM, CM",72,3200000.0,15000.0,24,Fortuna Düsseldorf,2. Bundesliga
M. Zimmermann,Matthias Jürgen Zimmermann,RB,72,1700000.0,17000.0,31,Fortuna Düsseldorf,2. Bundesliga
M. Sobottka,Marcel Sobottka,"CDM, CM",72,2000000.0,18000.0,29,Fortuna Düsseldorf,2. Bundesliga
A. Hoffmann,André Hoffmann,CB,71,1500000.0,15000.0,30,Fortuna Düsseldorf,2. Bundesliga
F. Klaus,Felix Klaus,"RM, LM",71,1800000.0,17000.0,30,Fortuna Düsseldorf,2. Bundesliga
N. Gavory,Nicolas Gavory,"LB, CB",71,1700000.0,16000.0,28,Fortuna Düsseldorf,2. Bundesliga
C. Tzolis,Christos Tzolis,LM,70,3200000.0,14000.0,21,Fortuna Düsseldorf,2. Bundesliga
J. de Wijs,Jordy de Wijs,CB,70,1600000.0,14000.0,28,Fortuna Düsseldorf,2. Bundesliga
D. Ginczek,Daniel Ginczek,ST,70,1300000.0,16000.0,32,Fortuna Düsseldorf,2. Bundesliga
F. Kastenmeier,Florian Kastenmeier,GK,69,1400000.0,9000.0,26,Fortuna Düsseldorf,2. Bundesliga
T. Oberdorf,Tim Oberdorf,"CB, RB, CDM",69,1600000.0,11000.0,26,Fortuna Düsseldorf,2. Bundesliga
E. Iyoha,Emmanuel Iyoha,"LM, ST, RM",69,1700000.0,12000.0,25,Fortuna Düsseldorf,2. Bundesliga
V. Vermeij,Vincent Vermeij,ST,68,1200000.0,12000.0,28,Fortuna Düsseldorf,2. Bundesliga
Í. Jóhannesson,Ísak Bergmann Jóhannesson,"CM, RW",67,2200000.0,6000.0,20,Fortuna Düsseldorf,2. Bundesliga
J. Siebert,Jamil Siebert,CB,67,2100000.0,6000.0,21,Fortuna Düsseldorf,2. Bundesliga
Y. Engelhardt,Yannik Engelhardt,"CDM, CM",67,2200000.0,7000.0,22,Fortuna Düsseldorf,2. Bundesliga
D. Jastrzembski,Dennis Jastrzembski,"LM, CF",65,1100000.0,6000.0,23,Fortuna Düsseldorf,2. Bundesliga
J. Niemiec,Jona Niemiec,ST,64,1300000.0,5000.0,21,Fortuna Düsseldorf,2. Bundesliga
K. Niemczycki,Karol Stanisław Niemczycki,GK,64,750000.0,4000.0,23,Fortuna Düsseldorf,2. Bundesliga
D. Savic,David Savic,RB,60,600000.0,1000.0,18,Fortuna Düsseldorf,2. Bundesliga
D. Gorka,Dennis-Adam Gorka,GK,60,525000.0,2000.0,21,Fortuna Düsseldorf,2. Bundesliga
T. Uchino,内野 貴史,RB,60,475000.0,3000.0,22,Fortuna Düsseldorf,2. Bundesliga
D. Bunk,Daniel Bunk,CAM,57,425000.0,2000.0,19,Fortuna Düsseldorf,2. Bundesliga
