short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
I. Pandur,Ivor Pandur,GK,72,3000000.0,7000.0,23,Fortuna Sittard,Eredivisie
Córdoba,Iñigo Córdoba Querejeta,"LM, RM, CAM",72,2800000.0,12000.0,26,Fortuna Sittard,Eredivisie
O. Özyakup,Oğuzhan Özyakup,"CM, CAM",71,1800000.0,10000.0,30,Fortuna Sittard,Eredivisie
D. Siovas,Dimitrios Siovas,CB,71,600000.0,9000.0,34,Fortuna Sittard,Eredivisie
L. Rosier,Loreintz Rosier,"CDM, CM",70,3000000.0,7000.0,24,Fortuna Sittard,Eredivisie
Rodrigo Guth,Rodrigo Guth,CB,69,2600000.0,6000.0,22,Fortuna Sittard,Eredivisie
K. Sierhuis,Kaj Sierhuis,ST,69,2100000.0,8000.0,25,Fortuna Sittard,Eredivisie
M. Dijks,Mitchell Dijks,LB,69,1200000.0,7000.0,30,Fortuna Sittard,Eredivisie
D. Duarte,Deroy Duarte,"CM, LM",68,1800000.0,6000.0,23,Fortuna Sittard,Eredivisie
A. Halilović,Alen Halilović,"RM, CAM",68,1300000.0,7000.0,27,Fortuna Sittard,Eredivisie
R. Oratmangoen,Ragnar Oratmangoen,"LM, CAM, CM",67,1300000.0,5000.0,25,Fortuna Sittard,Eredivisie
R. Vita,Rémy Vita,LB,66,1600000.0,4000.0,22,Fortuna Sittard,Eredivisie
T. Noslin,Tijjani Noslin,RM,66,1400000.0,4000.0,23,Fortuna Sittard,Eredivisie
A. Ferati,Arianit Ferati,"CM, CAM",66,1100000.0,5000.0,25,Fortuna Sittard,Eredivisie
Ivo Pinto,Ivo Daniel Ferreira Mendonça Pinto,"RB, CB, LB",66,450000.0,4000.0,33,Fortuna Sittard,Eredivisie
M. Lazetić,Marko Lazetić,"ST, LM",65,1900000.0,9000.0,19,Fortuna Sittard,Eredivisie
S. Voet,Siemen Voet,CB,65,1500000.0,3000.0,23,Fortuna Sittard,Eredivisie
L. Koopmans,Luuk Koopmans,GK,65,550000.0,3000.0,29,Fortuna Sittard,Eredivisie
S. Fofana,Sadik Fofana,"CDM, CB",64,1200000.0,7000.0,20,Fortuna Sittard,Eredivisie
I. Griffith,Iman Griffith,"RM, LM",62,975000.0,2000.0,21,Fortuna Sittard,Eredivisie
N. Markelo,Nathangelo Alexandro Markelo,RB,62,600000.0,2000.0,24,Fortuna Sittard,Eredivisie
M. Belkheir,Mouhamed Menaour Belkheir,"ST, LM, CAM",62,600000.0,3000.0,24,Fortuna Sittard,Eredivisie
M. Robberechts,Milan Robberechts,RM,60,575000.0,1000.0,19,Fortuna Sittard,Eredivisie
T. Hendriks,Tom Hendriks,GK,58,400000.0,1000.0,21,Fortuna Sittard,Eredivisie
