short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
H. Al Ghaddioui,Hamadi Al Ghaddioui,ST,65,575000.0,2000.0,32,Freiburg II,3. Liga
M. Baur,Mika Baur,"RM, CM",64,1100000.0,500.0,18,Freiburg II,3. Liga
F. Rüdlin,Fabian Rüdlin,CDM,64,650000.0,1000.0,26,Freiburg II,3. Liga
N. Sauter,Niklas Sauter,GK,63,900000.0,550.0,20,Freiburg II,3. Liga
O. Wiklöf,Oscar Wiklöf,CM,63,1000000.0,850.0,20,Freiburg II,3. Liga
M. Breunig,Maximilian Breunig,"ST, CAM",63,1100000.0,1000.0,22,Freiburg II,3. Liga
J. Stark,Julian Stark,"CM, CB",63,1100000.0,1000.0,22,Freiburg II,3. Liga
A. Lungwitz,Alexander Lungwitz,LB,63,700000.0,900.0,22,Freiburg II,3. Liga
S. Braun-Schumacher,Sandrino Braun-Schumacher,CB,63,160000.0,1000.0,34,Freiburg II,3. Liga
P. Lienhard,Patrick Lienhard,CM,63,400000.0,1000.0,31,Freiburg II,3. Liga
R. Johansson,Ryan Johansson,"RB, RM",62,850000.0,800.0,22,Freiburg II,3. Liga
P. Fahrner,Philip Fahrner,"RB, LB, CM",62,825000.0,650.0,20,Freiburg II,3. Liga
Lee Ji Han,Ji Han Lee,"LM, CF",61,725000.0,700.0,20,Freiburg II,3. Liga
G. Furrer,Guillaume Ronan Furrer,"ST, LM",61,750000.0,900.0,22,Freiburg II,3. Liga
S. Müller,Serge Müller,"CB, RB",61,625000.0,750.0,22,Freiburg II,3. Liga
S. Hornung,Sebastian Hornung,GK,61,575000.0,600.0,22,Freiburg II,3. Liga
L. Ambros,Lukáš Ambros,CAM,60,700000.0,4000.0,19,Freiburg II,3. Liga
F. Bouebari,Franci Clarck Bouebari Kitsamoutse,CB,60,550000.0,500.0,19,Freiburg II,3. Liga
A. Besio,Alessio Besio,ST,58,575000.0,550.0,19,Freiburg II,3. Liga
F. Allgaier,Felix Allgaier,CDM,58,475000.0,550.0,20,Freiburg II,3. Liga
A. Vaher,Andreas Vaher,CB,58,450000.0,500.0,19,Freiburg II,3. Liga
J. Bichsel,Joel Bichsel,CB,58,475000.0,2000.0,21,Freiburg II,3. Liga
D. Knappe,Davino Knappe,LM,58,500000.0,650.0,20,Freiburg II,3. Liga
Y. Sturm,Yann Sturm,CAM,57,425000.0,500.0,18,Freiburg II,3. Liga
J. Manzambi,Johan Manzambi,CM,56,450000.0,500.0,17,Freiburg II,3. Liga
M. Wörner,Marco Wörner,CAM,56,350000.0,500.0,18,Freiburg II,3. Liga
P. Fallmann,Pascal Fallmann,RB,56,325000.0,2000.0,19,Freiburg II,3. Liga
J. Jantunen,Jaaso Jantunen,GK,56,300000.0,500.0,18,Freiburg II,3. Liga
