short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Mazzitelli,Luca Mazzitelli,"CM, CDM",73,3200000.0,11000.0,27,Frosinone,Serie A
C. Okoli,Memeh Caleb Okoli,CB,72,4900000.0,20000.0,21,Frosinone,Serie A
S. Turati,Stefano Turati,GK,72,4600000.0,6000.0,21,Frosinone,Serie A
W. Cheddira,Walid Cheddira,"ST, CF",72,3500000.0,33000.0,25,Frosinone,Serie A
Pol Lirola,Pol Mikel Lirola Kosok,"RB, RM, RWB",72,2900000.0,22000.0,25,Frosinone,Serie A
A. Harroui,Abdoulrahmane Harroui,"CDM, CM",72,2800000.0,9000.0,25,Frosinone,Serie A
L. Garritano,Luca Garritano,"CAM, CM, LW",72,2300000.0,10000.0,29,Frosinone,Serie A
M. Soulé,Matìas Soulè Malvano,"RW, RM",71,4500000.0,41000.0,20,Frosinone,Serie A
Kaio Jorge,Kaio Jorge Pinto Ramos,ST,71,4200000.0,41000.0,21,Frosinone,Serie A
G. Caso,Giuseppe Caso,"LW, LM",71,2800000.0,9000.0,24,Frosinone,Serie A
Reinier,Reinier Jesus Carvalho,"RW, LW, CAM",70,3600000.0,50000.0,21,Frosinone,Serie A
M. Bourabia,Mehdi Bourabia,"CM, CDM",70,1300000.0,8000.0,31,Frosinone,Serie A
S. Romagnoli,Simone Romagnoli,CB,70,750000.0,7000.0,33,Frosinone,Serie A
J. Baez,Jaime Báez Stábile,"LW, RW",69,1400000.0,7000.0,28,Frosinone,Serie A
R. Marchizza,Riccardo Marchizza,LB,68,1600000.0,5000.0,25,Frosinone,Serie A
K. Lulić,Karlo Lulić,CM,67,1200000.0,5000.0,27,Frosinone,Serie A
S. Bidaoui,Soufiane Bidaoui,"LW, RW",67,625000.0,5000.0,33,Frosinone,Serie A
M. Brescianini,Marco Brescianini,"CDM, CM",66,1800000.0,3000.0,23,Frosinone,Serie A
M. Çuni,Marvin Çuni,ST,66,1900000.0,3000.0,21,Frosinone,Serie A
P. Frattali,Pierluigi Frattali,GK,65,80000.0,2000.0,37,Frosinone,Serie A
E. Barrenechea,Enzo Barrenechea,"CDM, CM",64,1400000.0,14000.0,22,Frosinone,Serie A
G. Kvernadze,Giorgi Kvernadze,LW,64,1400000.0,3000.0,20,Frosinone,Serie A
A. Oyono,Anthony Oyono Omva Torque,RB,63,1000000.0,2000.0,22,Frosinone,Serie A
M. Cerofolini,Michele Cerofolini,GK,63,825000.0,2000.0,24,Frosinone,Serie A
F. Gelli,Francesco Gelli,"CM, CAM",63,600000.0,3000.0,26,Frosinone,Serie A
I. Monterisi,Ilario Monterisi,"RB, CB",61,700000.0,1000.0,21,Frosinone,Serie A
S. Kalaj,Sergio Kalaj,CB,61,675000.0,2000.0,23,Frosinone,Serie A
A. Ibrahimović,Arijon Ibrahimović,"CAM, LM, LW",60,775000.0,1000.0,17,Frosinone,Serie A
J. Ferizaj,Justin Ferizaj,CM,57,525000.0,750.0,18,Frosinone,Serie A
