short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
R. Malinovskyi,Ruslan Malinovskyi,"CF, CAM",78,14000000.0,43000.0,30,Genoa,Serie A
Junior Messias,Junior Walter Messias,"RM, RW",78,11000000.0,59000.0,32,Genoa,Serie A
M. Retegui,Mateo Retegui,ST,77,21500000.0,25000.0,24,Genoa,Serie A
Aarón,Aarón Martín Caricol,"LB, LM, LWB",75,7000000.0,21000.0,26,Genoa,Serie A
M. Thorsby,Morten Thorsby,"CM, LM",74,4800000.0,28000.0,27,Genoa,Serie A
A. Guðmundsson,Albert Guðmundsson,"ST, LM, RM",74,5000000.0,24000.0,26,Genoa,Serie A
S. Hefti,Silvan Hefti,"RB, RWB, RM",73,4200000.0,17000.0,25,Genoa,Serie A
K. Strootman,Kevin Strootman,"CM, CDM",73,1900000.0,20000.0,33,Genoa,Serie A
M. Frendrup,Morten Wetche Frendrup,"CDM, CM",72,5000000.0,14000.0,22,Genoa,Serie A
Josep Martínez,Josep Martínez Riera,GK,72,2600000.0,12000.0,25,Genoa,Serie A
M. Badelj,Milan Badelj,"CDM, CM",72,800000.0,16000.0,34,Genoa,Serie A
R. Haps,Ridgeciano Delano Haps,"LB, LM, LWB",72,2000000.0,4000.0,30,Genoa,Serie A
M. Bani,Mattia Bani,CB,71,1600000.0,15000.0,29,Genoa,Serie A
R. Drăgușin,Radu Matei Drăgușin,CB,70,3700000.0,9000.0,21,Genoa,Serie A
J. Vásquez,Johan Felipe Vásquez Ibarra,"CB, LB",70,3300000.0,11000.0,24,Genoa,Serie A
A. Vogliacco,Alessandro Vogliacco,CB,70,3000000.0,11000.0,24,Genoa,Serie A
P. Galdames,Pablo Ignacio Galdames Millán,"CM, CDM, CAM",70,2000000.0,14000.0,26,Genoa,Serie A
F. Jagiełło,Filip Wojciech Jagiełło,"CM, CAM",70,2000000.0,13000.0,25,Genoa,Serie A
S. Ilsanker,Stefan Ilsanker,"CB, CDM",70,525000.0,12000.0,34,Genoa,Serie A
S. Sabelli,Stefano Sabelli,"RB, RM, RWB",70,1400000.0,12000.0,30,Genoa,Serie A
B. Kutlu,Berkan İsmail Kutlu,"CM, CDM",69,1800000.0,17000.0,25,Genoa,Serie A
N. Leali,Nicola Leali,GK,69,1000000.0,9000.0,30,Genoa,Serie A
C. Ekuban,Caleb Ansah Ekuban,"ST, RM",69,1400000.0,13000.0,29,Genoa,Serie A
G. Pușcaș,George Alexandru Puşcaş,ST,68,1400000.0,11000.0,27,Genoa,Serie A
K. De Winter,Koni De Winter,"CB, RB",66,2000000.0,15000.0,21,Genoa,Serie A
A. Matturro,Alan Matturro Romero,CB,65,1700000.0,2000.0,18,Genoa,Serie A
D. Sommariva,Daniele Sommariva,GK,62,400000.0,3000.0,25,Genoa,Serie A
L. Kuavita,Léandre Filipe Kuavita,CM,59,525000.0,1000.0,19,Genoa,Serie A
