short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
S. Malone,Scott Malone,"LB, LWB",69,975000.0,9000.0,32,Gillingham,League Two
C. Mahoney,Connor Mahoney,"RM, LM",68,1400000.0,5000.0,26,Gillingham,League Two
J. Williams,Jonathan Peter Williams,"LM, LW, CM",65,700000.0,6000.0,29,Gillingham,League Two
T. Nichols,Thomas Andrew Nichols,ST,64,575000.0,6000.0,29,Gillingham,League Two
T. Dieng,Sony Thimotée Dieng,CM,64,475000.0,5000.0,31,Gillingham,League Two
C. Masterson,Conor Masterson,CB,63,650000.0,3000.0,24,Gillingham,League Two
G. Lapslie,George Robert Lapslie,"CAM, CM",63,625000.0,4000.0,25,Gillingham,League Two
M. Bonne,Macauley Miles Bonne,ST,63,550000.0,5000.0,27,Gillingham,League Two
M. Clark,Max Oliver Clark,"LB, LWB",63,500000.0,4000.0,27,Gillingham,League Two
S. Williams,Shaun Williams,"CDM, CM",63,90000.0,3000.0,36,Gillingham,League Two
M. Ehmer,Maximilian Andreas Ehmer,CB,63,325000.0,4000.0,31,Gillingham,League Two
S. Ogie,Shadrach Nosa Ogie,CB,62,750000.0,2000.0,21,Gillingham,League Two
R. McKenzie,Robbie McKenzie,"RB, LB",62,475000.0,3000.0,24,Gillingham,League Two
G. Morris,Glenn James Morris,GK,62,45000.0,2000.0,39,Gillingham,League Two
O. Hawkins,Oliver Jack Hawkins,"ST, CB",62,325000.0,4000.0,31,Gillingham,League Two
A. Nadesan,Ashley Kevin Nadesan,ST,62,400000.0,4000.0,28,Gillingham,League Two
D. Jefferies,Dominic Jefferies,"CM, LM",61,725000.0,3000.0,21,Gillingham,League Two
C. Alexander,Cheye Alexander,RB,61,300000.0,3000.0,28,Gillingham,League Two
E. Coleman,Ethan Coleman,CDM,60,350000.0,3000.0,23,Gillingham,League Two
J. Turner,Jake Turner,GK,60,250000.0,2000.0,24,Gillingham,League Two
J. Clarke,Jayden Clarke,"CAM, LM",58,300000.0,3000.0,22,Gillingham,League Two
M. Macarthur,Matty Macarthur,"LM, RM, CAM",56,350000.0,1000.0,18,Gillingham,League Two
J. Gbode,Joseph Gbode,ST,56,300000.0,1000.0,18,Gillingham,League Two
L. Walker,Lewis Walker,ST,56,210000.0,3000.0,25,Gillingham,League Two
R. Sithole,Ronald Sithole,"ST, RW, LW",55,275000.0,1000.0,18,Gillingham,League Two
J. Chambers,Josh Chambers,"CAM, CM",54,275000.0,2000.0,19,Gillingham,League Two
S. Gale,Sam Gale,"CB, CDM",54,210000.0,800.0,18,Gillingham,League Two
I. Orji,Ike Orji,RB,53,200000.0,2000.0,20,Gillingham,League Two
