short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
P. De Blasis,Pablo Ezequiel De Blasis,"CAM, CM",74,1700000.0,12000.0,35,Gimnasia La Plata,Liga Profesional
L. Morales,Sandro Leonardo Morales,CB,74,2700000.0,14000.0,32,Gimnasia La Plata,Liga Profesional
L. Castro,Lucas Nahuel Castro,"CM, CAM",72,1100000.0,13000.0,34,Gimnasia La Plata,Liga Profesional
C. Tarragona,Cristian Alberto Tarragona,ST,72,1900000.0,14000.0,32,Gimnasia La Plata,Liga Profesional
Y. Cabral,Yonathan Emanuel Cabral,CB,69,950000.0,6000.0,31,Gimnasia La Plata,Liga Profesional
G. Enrique,Guillermo Enrique,"RB, RM",68,2300000.0,6000.0,23,Gimnasia La Plata,Liga Profesional
L. Gómez,Luciano Luis Rómulo Gómez,"RB, RM, LM",68,1200000.0,5000.0,27,Gimnasia La Plata,Liga Profesional
B. Domínguez,Benjamín Domínguez,"LM, LW",67,2400000.0,3000.0,19,Gimnasia La Plata,Liga Profesional
F. Sánchez,Felipe Sánchez,CB,67,2100000.0,3000.0,19,Gimnasia La Plata,Liga Profesional
R. Saravia,Rodrigo Agustín Saravia Salvia,"CDM, CM",67,2200000.0,5000.0,22,Gimnasia La Plata,Liga Profesional
G. Guiffrey,Germán Leonel Guiffrey,"CB, LB",67,1400000.0,5000.0,25,Gimnasia La Plata,Liga Profesional
B. Barros Schelotto,Bautista Barros Schelotto,RB,67,1500000.0,5000.0,23,Gimnasia La Plata,Liga Profesional
E. Ramírez,Eric Iván Jesús Ramírez,"ST, CAM, RM",67,1300000.0,7000.0,26,Gimnasia La Plata,Liga Profesional
M. Abaldo,Matías Ezequiel Abaldo Menyou,"RW, CAM, LW",66,2000000.0,3000.0,19,Gimnasia La Plata,Liga Profesional
T. Durso,Tomás Durso,GK,66,1500000.0,3000.0,24,Gimnasia La Plata,Liga Profesional
F. Soldano,Franco Soldano,"ST, RM, CAM",66,875000.0,6000.0,28,Gimnasia La Plata,Liga Profesional
R. Castillo,Rodrigo Castillo,ST,65,1100000.0,4000.0,24,Gimnasia La Plata,Liga Profesional
A. Bolivar,Agustín Gabriel Bolívar,"CDM, CM",65,725000.0,4000.0,27,Gimnasia La Plata,Liga Profesional
M. Miranda,Matías Nicolás Miranda,"CAM, RM, LM",64,1300000.0,4000.0,23,Gimnasia La Plata,Liga Profesional
I. Mammini,Ivo Mammini,ST,63,1200000.0,3000.0,20,Gimnasia La Plata,Liga Profesional
D. Mastrángelo,Diego Mastrángelo,CB,63,975000.0,2000.0,20,Gimnasia La Plata,Liga Profesional
A. Napolitano,Antonio Napolitano,"CDM, CM",63,700000.0,3000.0,24,Gimnasia La Plata,Liga Profesional
F. Torres,Franco Ramón Torres,"RM, ST",63,750000.0,3000.0,24,Gimnasia La Plata,Liga Profesional
N. Sánchez,Nicolás Agustín Sánchez,"CDM, CM",62,875000.0,800.0,18,Gimnasia La Plata,Liga Profesional
A. Steimbach,Alexis Steimbach,"RM, LM",62,950000.0,2000.0,20,Gimnasia La Plata,Liga Profesional
A. Sosa,Alan Sosa,"LM, CM",62,875000.0,2000.0,20,Gimnasia La Plata,Liga Profesional
B. Palazzo,Bruno Palazzo,"CB, RB",62,825000.0,2000.0,22,Gimnasia La Plata,Liga Profesional
N. Insfrán,Nelson Federico Insfrán,GK,62,350000.0,2000.0,28,Gimnasia La Plata,Liga Profesional
