short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
V. Tsygankov,Viktor Tsygankov,"RM, CM, CAM",82,40500000.0,37000.0,25,Girona,La Liga
Arnau Martínez,Arnau Martínez López,"RB, RWB",80,39500000.0,22000.0,20,Girona,La Liga
Aleix García,Aleix García Serrano,"CM, CDM",80,27500000.0,33000.0,26,Girona,La Liga
David López,David López Silva,"CB, CDM",79,8500000.0,29000.0,33,Girona,La Liga
P. Gazzaniga,Paulo Dino Gazzaniga,GK,78,7500000.0,21000.0,31,Girona,La Liga
C. Stuani,Cristhian Ricardo Stuani Curbelo,ST,77,3600000.0,22000.0,36,Girona,La Liga
D. Blind,Daley Blind,"CB, LB",77,5000000.0,25000.0,33,Girona,La Liga
Y. Herrera,Yangel Clemente Herrera Ravelo,"CM, CDM, CAM",76,10500000.0,24000.0,25,Girona,La Liga
Eric García,Eric García Martret,"CB, CDM",75,10500000.0,76000.0,22,Girona,La Liga
Portu,Cristian Portugués Manzanera,"RM, LM, RW",75,4700000.0,24000.0,31,Girona,La Liga
Miguel Gutiérrez,Miguel Gutiérrez Ortega,"LB, LWB",74,9000000.0,15000.0,21,Girona,La Liga
Iván Martín,Iván Martín Núñez,"CM, RM, CAM",74,6500000.0,19000.0,24,Girona,La Liga
Borja García,Borja García Freire,"CM, LM, CAM",74,3300000.0,22000.0,32,Girona,La Liga
Toni Villa,Laureano Antonio Villa Suárez,"LM, RM",74,4200000.0,23000.0,28,Girona,La Liga
Valery,Valery Fernández Estrada,"RM, LM, LWB",73,6000000.0,18000.0,23,Girona,La Liga
B. Espinosa,Bernardo José Espinosa Zúñiga,CB,73,1500000.0,19000.0,33,Girona,La Liga
Juan Carlos,Juan Carlos Martín Corral,GK,73,350000.0,10000.0,35,Girona,La Liga
Yan Couto,Yan Bueno Couto,"RM, RB, RWB",72,5500000.0,49000.0,21,Girona,La Liga
Sávio,Sávio Moreira de Oliveira,"RM, LM",71,4400000.0,3000.0,19,Girona,La Liga
Juanpe,Juan Pedro Ramírez López,CB,71,1200000.0,15000.0,32,Girona,La Liga
Pablo Torre,Pablo Torre Carral,"CAM, LM, CM",70,3800000.0,41000.0,20,Girona,La Liga
A. Dovbyk,Artem Dovbyk,ST,70,2100000.0,15000.0,26,Girona,La Liga
I. Kébé,Ibrahima Kébé,"CM, RM, CDM",69,3100000.0,10000.0,22,Girona,La Liga
J. Solís,Jhon Elmer Solis Romero,"CM, CDM",68,2800000.0,4000.0,18,Girona,La Liga
Toni Fuidias,Toni Fuidias Ribera,GK,64,1100000.0,4000.0,22,Girona,La Liga
Ricard Artero,Ricard Artero Ruiz,"CAM, RM",63,1200000.0,4000.0,20,Girona,La Liga
Monjonell,Eric Monjonell Torras,CB,63,1000000.0,3000.0,21,Girona,La Liga
Joel Roca,Joel Roca Casals,"LM, RM, CAM",62,1100000.0,2000.0,18,Girona,La Liga
Selvi,Selvi Clua Oya,"CDM, CM",61,725000.0,1000.0,18,Girona,La Liga
W. Suzuki,鈴木 輪太朗 イブラヒーム,ST,60,600000.0,3000.0,20,Girona,La Liga
Marc Alegre,Marc Alegre Lozano,RB,59,525000.0,3000.0,21,Girona,La Liga
