short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Rodríguez,Diego Matías Rodríguez,GK,74,725000.0,8000.0,34,Godoy Cruz,Liga Profesional
H. López Muñoz,Hernán Darío López Muñoz,"CAM, RM, LM",73,7000000.0,8000.0,22,Godoy Cruz,Liga Profesional
F. Rasmussen,Federico Rasmussen,"CB, LB",73,2100000.0,9000.0,31,Godoy Cruz,Liga Profesional
T. Allende,Tadeo Allende,"RM, LM, ST",71,2600000.0,7000.0,24,Godoy Cruz,Liga Profesional
P. Barrios,Pier Miqueas Barrios,"CB, RB",71,900000.0,7000.0,33,Godoy Cruz,Liga Profesional
B. Salvareschi,Braian Javier Salvareschi,CB,70,3000000.0,5000.0,24,Godoy Cruz,Liga Profesional
G. Ferrari,Gianluca Ferrari,CB,70,2100000.0,6000.0,26,Godoy Cruz,Liga Profesional
R. Fernández,Roberto Nicolás Fernández Fagúndez,"CM, RM, LM",70,2100000.0,6000.0,25,Godoy Cruz,Liga Profesional
L. Arce,Lucas Arce,"RB, RWB",70,1900000.0,6000.0,25,Godoy Cruz,Liga Profesional
B. Leyes,Bruno Javier Leyes Sosa,"CM, CDM",69,3100000.0,4000.0,21,Godoy Cruz,Liga Profesional
S. Rodríguez,Ederson Salomón Rodríguez Lima,ST,69,2000000.0,5000.0,23,Godoy Cruz,Liga Profesional
T. Conechny,Tomás José Conechny,"LM, LW, ST",69,1800000.0,5000.0,25,Godoy Cruz,Liga Profesional
T. Galdames,Thomas Ignacio Galdames Millán,"LB, CB, LWB",68,1700000.0,4000.0,24,Godoy Cruz,Liga Profesional
J. Andrada,Juan Alberto Andrada,"CM, CDM",68,1200000.0,5000.0,28,Godoy Cruz,Liga Profesional
C. Núñez,Cristian David Núñez Morales,"CDM, CM",67,1400000.0,3000.0,25,Godoy Cruz,Liga Profesional
R. Saracho,Rodrigo Emanuel Saracho,GK,67,850000.0,3000.0,29,Godoy Cruz,Liga Profesional
E. Larrosa,Enzo Miguel Larrosa MArtínez,ST,66,1900000.0,3000.0,22,Godoy Cruz,Liga Profesional
E. Gaggi,Enzo Gaggi,"RM, RW",66,950000.0,3000.0,25,Godoy Cruz,Liga Profesional
M. Luciano,Martín Abel Luciano,"LB, LWB",65,1600000.0,2000.0,19,Godoy Cruz,Liga Profesional
J. Eseiza,Julián Eseiza,"LB, LWB",65,1500000.0,2000.0,21,Godoy Cruz,Liga Profesional
N. Ulariaga,Silvio Nahuel Ulariaga,ST,65,1600000.0,2000.0,21,Godoy Cruz,Liga Profesional
L. Cingolani,Luciano Cingolani,"RM, RW",64,1300000.0,2000.0,22,Godoy Cruz,Liga Profesional
M. Guillén,Manuel Guillén,RB,64,1300000.0,3000.0,21,Godoy Cruz,Liga Profesional
M. Mendoza,Mateo Mendoza,"CB, RB",63,950000.0,600.0,18,Godoy Cruz,Liga Profesional
D. Barrea,Daniel Barrea,"ST, RW",63,1100000.0,2000.0,21,Godoy Cruz,Liga Profesional
G. Pedernera,Gastón Pedernera,"LM, ST, LW",63,1100000.0,2000.0,22,Godoy Cruz,Liga Profesional
A. Villalobos,Manuel Agustín Villalobos,"CM, RM, LM",62,875000.0,2000.0,20,Godoy Cruz,Liga Profesional
M. Soria,Matías Soria,GK,62,775000.0,1000.0,21,Godoy Cruz,Liga Profesional
