short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Roberto Soira,Roberto Júnior Soira Souza,CB,74,3900000.0,12000.0,27,Goiás,Serie A
Jaim Abra,Jaime Tomás Abravanel Mestres,GK,73,1600000.0,9000.0,31,Goiás,Serie A
Clayton Fildeiras,Clayton Fábio Fildeiras Cachoeira,"CAM, CM",71,2000000.0,9000.0,27,Goiás,Serie A
Allison Sireo,Allison Alan Sireo Milazar,CB,71,1900000.0,7000.0,23,Goiás,Serie A
Túlio Sandoiro,Túlio Sebastião Sandoiro Baumer,ST,70,1700000.0,9000.0,27,Goiás,Serie A
Jessé Ferdeira,Jessé Jonas Ferdeira Farias,LB,69,1000000.0,6000.0,31,Goiás,Serie A
Ataúlfo Anjos,Ataúlfo Heitor Anjos Rosan,RB,69,1000000.0,6000.0,31,Goiás,Serie A
Hedson Porfírio,Hedson Robson Porfírio Julião,"LW, LM, CAM",69,1500000.0,8000.0,27,Goiás,Serie A
Allan Ardaújo,Allan Norberto Ardaújo Alves,CAM,69,575000.0,5000.0,35,Goiás,Serie A
Paulo Fajarda,Paulo Mauro Fajarda Macedo,CB,68,825000.0,5000.0,31,Goiás,Serie A
Paulo Mesqueira,Paulo Fred Mesqueira Serpa,"CM, RB, LB",68,475000.0,4000.0,35,Goiás,Serie A
Óscar Sendinho,Óscar Santiago Sendinho Pindo,CDM,68,350000.0,4000.0,35,Goiás,Serie A
Narcisso Mo,Narcisso Elias Morantes de Faria,"LB, RB",67,1100000.0,4000.0,23,Goiás,Serie A
Heitor Muto,Heitor Thiago Muto Hiroshi,"CAM, LW",67,850000.0,5000.0,31,Goiás,Serie A
Breno Laranjeiro,Breno Vicente Laranjeiro Rosan,"CAM, ST",66,975000.0,4000.0,23,Goiás,Serie A
Alan Besseiro,Alan Jonathan Besseiro Rosa,LB,66,625000.0,4000.0,31,Goiás,Serie A
Danilo Sacrio,Danilo Manuel Sacrio Dano,ST,65,600000.0,4000.0,31,Goiás,Serie A
Ever Rodeiro,Ever Jorge Rodeiro Selva,"CAM, CM",65,750000.0,4000.0,27,Goiás,Serie A
Mateus Couteira,Mateus Bernardo Couteira Machado,CB,64,550000.0,3000.0,27,Goiás,Serie A
Sander Asevedo,Sander Luan Asevedo Cirino,GK,63,375000.0,2000.0,27,Goiás,Serie A
