short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Uzuni,Myrto Uzuni,"ST, LM, RM",78,14500000.0,26000.0,28,Granada,La Liga
Melendo,Óscar Melendo Jiménez,"CM, RM, CAM",77,14000000.0,21000.0,25,Granada,La Liga
L. Boyé,Lucas Ariel Boyé,ST,77,12500000.0,23000.0,27,Granada,La Liga
Víctor Díaz,Víctor David Díaz Miguel,"CB, RB, CDM",75,1500000.0,13000.0,35,Granada,La Liga
José Callejón,José María Callejón Bueno,"LM, ST, RM",75,1800000.0,14000.0,36,Granada,La Liga
S. Weissman,Shon Zalman Weissman,ST,75,6000000.0,21000.0,27,Granada,La Liga
Vallejo,Jesús Vallejo Lázaro,CB,74,5000000.0,88000.0,26,Granada,La Liga
Carlos Neva,Carlos Neva Tey,"LB, LM",74,4400000.0,16000.0,27,Granada,La Liga
Puertas,Antonio José Rodríguez Díaz,"RM, LM",74,3500000.0,18000.0,31,Granada,La Liga
Gumbau,Gerard Gumbau Garriga,"CM, CDM, RM",73,3000000.0,17000.0,28,Granada,La Liga
Wilson Manafá,Wilson Miguéis Manafá Jancó,"RB, LB",73,2800000.0,16000.0,28,Granada,La Liga
Alberto Perea,Alberto Perea Correoso,"LM, CAM, RM",72,1900000.0,14000.0,32,Granada,La Liga
Miguel Rubio,Miguel Ángel Rubio Lestán,CB,71,3400000.0,11000.0,25,Granada,La Liga
Ricard,Ricard Sánchez Sendra,"RB, RM",71,3600000.0,10000.0,23,Granada,La Liga
Gonzalo Villar,Gonzalo Villar del Fraile,"CM, CDM",71,2700000.0,12000.0,25,Granada,La Liga
Raúl Fernández,Raúl Fernández-Cavada Mateos,GK,71,210000.0,6000.0,35,Granada,La Liga
Álvaro Fernández,Álvaro Fernández Carreras,"LWB, LB",70,3700000.0,31000.0,20,Granada,La Liga
N. Petrović,Njegoš Petrović,"CDM, CM",70,3300000.0,9000.0,23,Granada,La Liga
André Ferreira,André Filipe Magalhães Ribeiro Ferreira,GK,70,1700000.0,8000.0,27,Granada,La Liga
Sergio Ruiz,Sergio Ruiz Alonso,"CDM, CM",70,1500000.0,11000.0,28,Granada,La Liga
Ignasi Miquel,Ignasi Miquel i Pons,CB,70,1300000.0,10000.0,30,Granada,La Liga
F. Diédhiou,Famara Diédhiou,ST,70,1600000.0,12000.0,30,Granada,La Liga
Torrente,Raúl Torrente Navarro,"CB, CDM",69,2900000.0,6000.0,21,Granada,La Liga
Bryan,Bryan Zaragoza Martínez,"LM, CAM, ST",67,2500000.0,5000.0,21,Granada,La Liga
Mortimer,Nils Mortimer Moreno,"RW, LW",65,1800000.0,5000.0,22,Granada,La Liga
Julio Martínez,Julio Martínez Cortés,"ST, CAM",64,1300000.0,5000.0,22,Granada,La Liga
Miki Bosch,Adrià Miquel Bosch Sanchis,CB,63,1000000.0,3000.0,22,Granada,La Liga
Adri López,Adrián López Garrote,GK,63,925000.0,2000.0,24,Granada,La Liga
