short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Benet,Jessy Bénet,"CM, CDM",71,1900000.0,6000.0,28,Grenoble Foot 38,Ligue 2
L. Nestor,Loïc Nestor,CB,69,450000.0,4000.0,34,Grenoble Foot 38,Ligue 2
B. Maubleu,Brice Maubleu,GK,69,450000.0,3000.0,33,Grenoble Foot 38,Ligue 2
A. Monfray,Adrien-Mehdi Monfray,CB,69,900000.0,4000.0,32,Grenoble Foot 38,Ligue 2
A. Sanyang,Abdoulie Sanyang,"RM, ST",68,1900000.0,3000.0,24,Grenoble Foot 38,Ligue 2
M. Diarra,Mamadou Diarra,"CB, RB",68,1400000.0,3000.0,25,Grenoble Foot 38,Ligue 2
A. Mendy,Arial Benabent Mendy,"LB, LWB",68,1100000.0,3000.0,28,Grenoble Foot 38,Ligue 2
V. Postolachi,Virgiliu Postolachi,"ST, RM",67,2300000.0,3000.0,23,Grenoble Foot 38,Ligue 2
M. Perez,Manuel Perez,"CDM, CM",67,675000.0,2000.0,32,Grenoble Foot 38,Ligue 2
G. Paquiez,Gaëtan Paquiez,"RB, LB, CB",67,900000.0,3000.0,29,Grenoble Foot 38,Ligue 2
A. Tchaptchet,Allan Tchaptchet,CB,66,2000000.0,2000.0,21,Grenoble Foot 38,Ligue 2
M. Xantippe,Matthéo Xantippe,LB,66,1800000.0,2000.0,21,Grenoble Foot 38,Ligue 2
E. Sylvestre,Eddy Sylvestre Negadi,"CM, RM",66,1700000.0,2000.0,23,Grenoble Foot 38,Ligue 2
P. Ba,Pape Meïssa Ba,ST,66,1100000.0,2000.0,25,Grenoble Foot 38,Ligue 2
L. Joseph,Lenny Joseph,ST,65,1600000.0,2000.0,22,Grenoble Foot 38,Ligue 2
D. Rigo,Dante Rigo,"CDM, CM",65,1300000.0,2000.0,24,Grenoble Foot 38,Ligue 2
B. Allain,Bobby Allain,GK,65,375000.0,1000.0,31,Grenoble Foot 38,Ligue 2
S. Touray,Saikou Touray,"CM, CAM",64,1300000.0,2000.0,23,Grenoble Foot 38,Ligue 2
J. Jeno,Jekob Abiezer Jeno,"CDM, CM",64,1200000.0,1000.0,23,Grenoble Foot 38,Ligue 2
A. Sbaï,Mohamed Amine Sbai,LM,63,975000.0,1000.0,22,Grenoble Foot 38,Ligue 2
M. Tourraine,Mathys Tourraine,RB,62,850000.0,1000.0,22,Grenoble Foot 38,Ligue 2
B. Isola,Baptiste Isola,CDM,60,475000.0,1000.0,22,Grenoble Foot 38,Ligue 2
N. Thio,Natanaël Thio,LW,59,350000.0,1000.0,24,Grenoble Foot 38,Ligue 2
M. Diop,Mamadou Diop,GK,58,250000.0,750.0,23,Grenoble Foot 38,Ligue 2
B. Yameogo,Bachirou Yameogo,CDM,55,300000.0,500.0,18,Grenoble Foot 38,Ligue 2
