short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
G. Courtet,Gaëtan Courtet,ST,70,775000.0,5000.0,34,Guingamp,Ligue 2
V. Manceau,Vincent Manceau,"CB, RB, RWB",69,675000.0,4000.0,33,Guingamp,Ligue 2
B. Guillaume,Baptiste Guillaume,ST,69,1400000.0,5000.0,28,Guingamp,Ligue 2
K. Sidibé,Kalidou Sidibé,"CDM, CM",68,1700000.0,3000.0,24,Guingamp,Ligue 2
D. Louiserre,Dylan Louiserre,"CDM, CM",68,1200000.0,3000.0,28,Guingamp,Ligue 2
E. Basilio,Enzo Basilio,GK,68,850000.0,3000.0,28,Guingamp,Ligue 2
A. Ndour,Abdallah Ndour,"LB, RB",68,1100000.0,3000.0,29,Guingamp,Ligue 2
J. Iglesias,Jonathan Damián Iglesias Abreu,"CM, CDM, CAM",68,550000.0,4000.0,34,Guingamp,Ligue 2
B. Roux,Baptiste Roux,"CB, CDM",66,1200000.0,2000.0,23,Guingamp,Ligue 2
B. Niasse,Babacar Niasse Mbaye,GK,66,975000.0,2000.0,26,Guingamp,Ligue 2
D. Gomis,Donatien Gomis,CB,66,850000.0,2000.0,28,Guingamp,Ligue 2
M. Merghem,Mehdi Merghem,"RM, RW",66,1000000.0,2000.0,25,Guingamp,Ligue 2
M. Barthelmé,Maxime Barthelmé,"RM, LM, CM",66,400000.0,3000.0,34,Guingamp,Ligue 2
M. Sivis,Maxime Sivis,"RB, RWB",65,975000.0,2000.0,25,Guingamp,Ligue 2
A. Ben Mohamed,Ayman Ben Mohamed,"LB, LM",65,650000.0,2000.0,28,Guingamp,Ligue 2
P. Lemonnier,Pierre Lemonnier,CB,65,600000.0,2000.0,29,Guingamp,Ligue 2
A. El Ouazzani,Amine El Ouazzani,"ST, RM",64,1300000.0,2000.0,21,Guingamp,Ligue 2
M. Riou,Matthis Riou,CB,64,1100000.0,2000.0,22,Guingamp,Ligue 2
H. Picard,Hugo Picard,"LM, CM",63,1200000.0,1000.0,20,Guingamp,Ligue 2
A. Sagna,Amadou Sagna,"LM, RM",63,750000.0,2000.0,24,Guingamp,Ligue 2
L. Vallier,Lenny Vallier,"LB, LM",63,675000.0,1000.0,24,Guingamp,Ligue 2
H. Camara,Hady Camara,CB,62,925000.0,1000.0,21,Guingamp,Ligue 2
F. Duparchy,Florent Duparchy,GK,62,775000.0,950.0,23,Guingamp,Ligue 2
T. Luvambo,Taylor Luvambo,"RB, RM",61,625000.0,1000.0,23,Guingamp,Ligue 2
J. Siwe,Jacques-Julien Siwe,ST,60,550000.0,1000.0,21,Guingamp,Ligue 2
T. Le Normand,Théo Le Normand,LM,60,550000.0,1000.0,22,Guingamp,Ligue 2
T. Bartouche-Selbonne,Teddy Bartouche-Selbonne,GK,60,275000.0,1000.0,26,Guingamp,Ligue 2
L. Maronnier,Lucas Maronnier,RB,59,325000.0,1000.0,23,Guingamp,Ligue 2
N. Marec,Noah Marec,GK,55,275000.0,500.0,18,Guingamp,Ligue 2
