short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Podolski,Łukasz Józef Podolski,"CF, ST, CAM",72,800000.0,6000.0,38,Górnik Zabrze,Ekstraklasa
K. Triantafyllopoulos,Konstantinos Triantafyllopoulos,CB,67,825000.0,3000.0,30,Górnik Zabrze,Ekstraklasa
B. Sekulić,Boris Sekulić,"RB, RWB",67,750000.0,3000.0,31,Górnik Zabrze,Ekstraklasa
D. Yokota,横田 大祐,"RM, CM",66,1900000.0,2000.0,23,Górnik Zabrze,Ekstraklasa
M. Szromnik,Michał Szromnik,GK,66,650000.0,2000.0,30,Górnik Zabrze,Ekstraklasa
D. Rasak,Damian Rasak,"CDM, CM",66,875000.0,2000.0,27,Górnik Zabrze,Ekstraklasa
R. Janicki,Rafał Janicki,CB,66,700000.0,2000.0,30,Górnik Zabrze,Ekstraklasa
E. Janža,Erik Janža,"LB, LM, LWB",66,725000.0,2000.0,30,Górnik Zabrze,Ekstraklasa
Filipe Nascimento,Filipe Guterres Nascimento,CM,66,850000.0,3000.0,28,Górnik Zabrze,Ekstraklasa
L. Ennali,Lawrence Ennali,"RM, LM",65,1600000.0,2000.0,21,Górnik Zabrze,Ekstraklasa
Dani Pacheco,Daniel Pacheco Lobato,"LM, CAM, CF",65,575000.0,2000.0,32,Górnik Zabrze,Ekstraklasa
A. Kaprálik,Adrián Kaprálik,"CF, RM",64,1300000.0,2000.0,21,Górnik Zabrze,Ekstraklasa
D. Bielica,Daniel Bielica,GK,64,700000.0,1000.0,24,Górnik Zabrze,Ekstraklasa
S. Musiolik,Sebastian Karol Musiolik,"ST, CF",64,675000.0,2000.0,27,Górnik Zabrze,Ekstraklasa
M. Sipľak,Michal Sipľak,"LB, CB, LM",64,625000.0,2000.0,27,Górnik Zabrze,Ekstraklasa
P. Olkowski,Paweł Olkowski,"RM, RWB",64,375000.0,2000.0,33,Górnik Zabrze,Ekstraklasa
S. Czyż,Szymon Czyż,"CF, CM, CAM",63,1100000.0,2000.0,21,Górnik Zabrze,Ekstraklasa
K. Szcześniak,Kryspin Szcześniak,"CB, RB",63,700000.0,1000.0,22,Górnik Zabrze,Ekstraklasa
R. Dadok,Robert Dadok,"RM, RWB, CF",63,575000.0,2000.0,26,Górnik Zabrze,Ekstraklasa
P. Krawczyk,Piotr Krawczyk,ST,63,500000.0,2000.0,28,Górnik Zabrze,Ekstraklasa
K. Lukoszek,Kamil Lukoszek,LM,61,725000.0,1000.0,21,Górnik Zabrze,Ekstraklasa
M. Chmarek,Mateusz Chmarek,ST,57,350000.0,900.0,19,Górnik Zabrze,Ekstraklasa
D. Szala,Dominik Szala,"CB, RB",56,425000.0,500.0,17,Górnik Zabrze,Ekstraklasa
K. Kolanko,Krzysztof Kolanko,LM,55,400000.0,500.0,16,Górnik Zabrze,Ekstraklasa
J. Pochcioł,Jakub Pochcioł,CDM,54,240000.0,600.0,19,Górnik Zabrze,Ekstraklasa
K. Capiga,Kacper Capiga,CB,52,190000.0,500.0,18,Górnik Zabrze,Ekstraklasa
