short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
N. Kreuzer,Niklas Kreuzer,"RB, RW",67,875000.0,1000.0,30,Hallescher FC,3. Liga
B. Halimi,Besar Halimi,"CAM, CM",66,850000.0,1000.0,28,Hallescher FC,3. Liga
D. Baumann,Dominic Baumann,ST,66,875000.0,1000.0,28,Hallescher FC,3. Liga
A. Casar,Aljaž Casar,"CM, CDM, CB",65,1600000.0,900.0,22,Hallescher FC,3. Liga
J. Nietfeld,Jonas Nietfeld,"CB, ST",65,650000.0,950.0,29,Hallescher FC,3. Liga
N. Hug,Nico Hug,"LB, LW",64,875000.0,700.0,24,Hallescher FC,3. Liga
S. Müller,Sven Tobias Müller,GK,64,575000.0,700.0,27,Hallescher FC,3. Liga
N. Landgraf,Niklas Landgraf,"CB, LB, CDM",64,600000.0,850.0,27,Hallescher FC,3. Liga
E. Berko,Erich Berko,"LW, ST",64,600000.0,1000.0,28,Hallescher FC,3. Liga
M. Ajani,Marvin Ajani,"RM, LM, RB",64,575000.0,950.0,29,Hallescher FC,3. Liga
T. Deniz,Tunay Deniz,"CAM, CM",64,575000.0,950.0,29,Hallescher FC,3. Liga
M. Skenderović,Meris Skenderović,"ST, CAM, LW",63,725000.0,850.0,25,Hallescher FC,3. Liga
J. Vollert,Jannes Vollert,CB,63,600000.0,700.0,25,Hallescher FC,3. Liga
T. Baumgart,Tom Baumgart,"RW, LW, CM",63,600000.0,850.0,25,Hallescher FC,3. Liga
P. Hasenhüttl,Patrick Hasenhüttl,ST,63,600000.0,900.0,26,Hallescher FC,3. Liga
A. Bolyki,Andor Bolyki,ST,63,500000.0,950.0,28,Hallescher FC,3. Liga
T. Gayret,Timur Gayret,"CAM, CM, CF",62,600000.0,650.0,24,Hallescher FC,3. Liga
L. Halangk,Lucas Halangk,RB,61,675000.0,500.0,19,Hallescher FC,3. Liga
J. Wegmann,Jordi Wegmann,LB,61,700000.0,500.0,21,Hallescher FC,3. Liga
E. Lofolomo,Enrique Lofolomo,"CDM, CB, CM",61,450000.0,550.0,23,Hallescher FC,3. Liga
M. Wolf,Marco Wolf,"CAM, LW, RW",60,375000.0,550.0,22,Hallescher FC,3. Liga
S. Zieleniecki,Sebastian Zieleniecki,CB,60,230000.0,600.0,28,Hallescher FC,3. Liga
H. Crosthwaite,Henry Jon Crosthwaite,LW,59,550000.0,3000.0,20,Hallescher FC,3. Liga
J. Eitschberger,Julian Eitschberger,"RB, CB",59,500000.0,1000.0,19,Hallescher FC,3. Liga
M. Schulze,Moritz Schulze,GK,59,450000.0,500.0,22,Hallescher FC,3. Liga
T. Dietrich,Tim-Justin Dietrich,"LB, CB",58,475000.0,500.0,20,Hallescher FC,3. Liga
M. Meier,Matthew Meier,CAM,58,475000.0,500.0,19,Hallescher FC,3. Liga
L. Bendel,Luca Bendel,GK,57,350000.0,500.0,19,Hallescher FC,3. Liga
