short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Heuer Fernandes,Daniel Heuer Fernandes,GK,75,3700000.0,21000.0,30,Hamburger SV,2. Bundesliga
L. Reis,Ludovit Reis,"CM, CDM",74,6500000.0,22000.0,23,Hamburger SV,2. Bundesliga
R. Glatzel,Robert Nesta Glatzel,ST,74,4200000.0,29000.0,29,Hamburger SV,2. Bundesliga
J. Dompé,Jean-Luc Mamadou Diarra Dompé,LW,73,3200000.0,26000.0,27,Hamburger SV,2. Bundesliga
I. Pherai,Immanuël-Johannes Pherai,"CAM, CM",72,5500000.0,18000.0,22,Hamburger SV,2. Bundesliga
S. Schonlau,Sebastian Schonlau,CB,72,2200000.0,20000.0,28,Hamburger SV,2. Bundesliga
J. Meffert,Jonas Meffert,"CDM, CM",72,2100000.0,20000.0,28,Hamburger SV,2. Bundesliga
D. Hadžikadunić,Dennis Hadžikadunić,CB,71,3500000.0,15000.0,24,Hamburger SV,2. Bundesliga
L. Bénes,László Bénes,"CM, CAM",71,2500000.0,18000.0,25,Hamburger SV,2. Bundesliga
B. Jatta,Bakery Jatta,RW,71,2400000.0,19000.0,25,Hamburger SV,2. Bundesliga
L. Öztunalı,Levin Mete Öztunali,"CAM, RW, LW",70,1700000.0,16000.0,27,Hamburger SV,2. Bundesliga
M. Heyer,Moritz Heyer,"RB, CDM, CB",70,1400000.0,15000.0,28,Hamburger SV,2. Bundesliga
R. Königsdörffer,Ransford-Yeboah Königsdörffer,"RW, ST, CAM",69,3100000.0,11000.0,21,Hamburger SV,2. Bundesliga
M. Muheim,Miro Max Maria Muheim,LB,69,1900000.0,12000.0,25,Hamburger SV,2. Bundesliga
I. Van der Brempt,Ignace Van der Brempt,"RB, RW, CB",68,2600000.0,5000.0,21,Hamburger SV,2. Bundesliga
Ł. Poręba,Łukasz Poręba,"CDM, CM",68,2300000.0,10000.0,23,Hamburger SV,2. Bundesliga
M. Raab,Matheo Raab,GK,68,1500000.0,7000.0,24,Hamburger SV,2. Bundesliga
S. Ambrosius,Stephan Kofi Ambrosius,CB,68,1600000.0,9000.0,24,Hamburger SV,2. Bundesliga
Guilherme Ramos,Guilherme Magro Pires Ramos,CB,68,1500000.0,10000.0,25,Hamburger SV,2. Bundesliga
A. Suhonen,Anssi Suhonen,"CAM, CM",66,1400000.0,7000.0,22,Hamburger SV,2. Bundesliga
A. Németh,András Németh,ST,65,1700000.0,6000.0,20,Hamburger SV,2. Bundesliga
W. Mikelbrencis,William Mikelbrencis,RB,64,1300000.0,3000.0,19,Hamburger SV,2. Bundesliga
T. Mickel,Tom Mickel,GK,63,80000.0,5000.0,34,Hamburger SV,2. Bundesliga
E. Krahn,Elijah Akwasi Krahn,"CDM, CM",62,900000.0,2000.0,19,Hamburger SV,2. Bundesliga
T. Sanne,Tom Sanne,"ST, CF",60,650000.0,3000.0,19,Hamburger SV,2. Bundesliga
V. Zumberi,Valon Zumberi,CB,60,500000.0,3000.0,20,Hamburger SV,2. Bundesliga
O. Megeed,Omar Abdel Megeed,"LW, CAM",58,550000.0,1000.0,17,Hamburger SV,2. Bundesliga
N. Oliveira,Nicolas Oliveira Kisilowski,"RB, LB",58,500000.0,2000.0,19,Hamburger SV,2. Bundesliga
B. Andresen,Bent Andresen,"LB, RB",58,425000.0,3000.0,20,Hamburger SV,2. Bundesliga
