short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Halstenberg,Marcel Halstenberg,"CB, LWB",76,5000000.0,26000.0,31,Hannover 96,2. Bundesliga
R. Zieler,Ron-Robert Zieler,GK,74,725000.0,18000.0,34,Hannover 96,2. Bundesliga
D. Köhn,Derrick Arthur Köhn,LWB,72,4500000.0,16000.0,24,Hannover 96,2. Bundesliga
F. Kunze,Fabian Kunze,"CDM, CM",72,3100000.0,18000.0,25,Hannover 96,2. Bundesliga
C. Teuchert,Cedric Teuchert,"ST, CAM",72,2900000.0,22000.0,26,Hannover 96,2. Bundesliga
L. Schaub,Louis Schaub,"CAM, CM",72,2400000.0,21000.0,28,Hannover 96,2. Bundesliga
S. Muroya,室屋 成,RWB,71,1600000.0,17000.0,29,Hannover 96,2. Bundesliga
P. Neumann,Phil Yannik Neumann,"CB, RWB",70,2100000.0,13000.0,25,Hannover 96,2. Bundesliga
M. Christiansen,Max Christiansen,"CDM, CM",70,1900000.0,14000.0,26,Hannover 96,2. Bundesliga
H. Nielsen,Håvard Kallevik Nielsen,"CAM, ST",70,1600000.0,16000.0,29,Hannover 96,2. Bundesliga
A. Voglsammer,Andreas Voglsammer,"ST, LM",70,1300000.0,17000.0,31,Hannover 96,2. Bundesliga
M. Besuschkow,Max Besuschkow,"CM, CDM",69,1800000.0,13000.0,26,Hannover 96,2. Bundesliga
J. Börner,Julian Börner,CB,69,900000.0,12000.0,32,Hannover 96,2. Bundesliga
J. Dehm,Jannik Dehm,"RWB, CB, LWB",68,1300000.0,10000.0,27,Hannover 96,2. Bundesliga
S. Ernst,Sebastian Ernst,"CM, CAM, CDM",68,1200000.0,12000.0,28,Hannover 96,2. Bundesliga
B. Arrey-Mbi,Bright Akwo Arrey-Mbi,CB,66,1900000.0,5000.0,20,Hannover 96,2. Bundesliga
B. Ezeh,Brooklyn Ezeh,LWB,66,1800000.0,6000.0,22,Hannover 96,2. Bundesliga
E. Leopold,Enzo Leopold,"CM, CF",66,1700000.0,7000.0,22,Hannover 96,2. Bundesliga
L. Weinkauf,Leo Weinkauf,GK,66,850000.0,6000.0,26,Hannover 96,2. Bundesliga
C. Scott,Christopher Gavin Scott,"CAM, RM, ST",65,1600000.0,5000.0,21,Hannover 96,2. Bundesliga
M. Damar,Muhammed Damar,"CAM, CM",64,1400000.0,4000.0,19,Hannover 96,2. Bundesliga
N. Tresoldi,Nicolò Tresoldi,"ST, CF",62,1000000.0,2000.0,18,Hannover 96,2. Bundesliga
A. Foti,António Fóti,"CM, CAM, ST",62,1000000.0,4000.0,19,Hannover 96,2. Bundesliga
Y. Lührs,Yannik Lührs,"CB, RB",60,550000.0,2000.0,19,Hannover 96,2. Bundesliga
T. Momuluh,Thaddäus-Monju Momuluh,"RM, ST",60,550000.0,3000.0,21,Hannover 96,2. Bundesliga
T. Stahl,Toni Stahl,GK,60,425000.0,3000.0,23,Hannover 96,2. Bundesliga
E. Uhlmann,Eric Uhlmann,"CDM, CM",59,525000.0,3000.0,20,Hannover 96,2. Bundesliga
K. Oudenne,Kolja Oudenne,"CAM, LM",59,500000.0,3000.0,21,Hannover 96,2. Bundesliga
L. Wechsel,Leon-Oumar Wechsel,GK,54,240000.0,500.0,18,Hannover 96,2. Bundesliga
