short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Gibson,Liam Steven Gibson,"LB, LWB, CDM",65,775000.0,3000.0,26,Harrogate Town,League Two
L. Armstrong,Luke Thomas Armstrong,ST,64,700000.0,3000.0,26,Harrogate Town,League Two
R. McDonald,Rodney Troy McDonald,CB,64,400000.0,2000.0,31,Harrogate Town,League Two
K. Ramsay,Kayne Ramsay,"RB, RWB",63,1000000.0,2000.0,22,Harrogate Town,League Two
J. Mattock,Joseph William Mattock,CB,63,230000.0,2000.0,33,Harrogate Town,League Two
A. O'Connor,Anthony Dean O'Connor,CB,63,400000.0,2000.0,30,Harrogate Town,League Two
D. Cornelius,Dean Cornelius,CM,62,625000.0,2000.0,22,Harrogate Town,League Two
M. Foulds,Matthew Colin Foulds,LB,62,525000.0,2000.0,25,Harrogate Town,League Two
W. Smith,William Smith,CB,62,525000.0,2000.0,24,Harrogate Town,League Two
J. Falkingham,Joshua Falkingham,"CDM, CM",62,275000.0,2000.0,32,Harrogate Town,League Two
L. Sutton,Jack Levi Sutton,"CDM, CM",62,375000.0,2000.0,26,Harrogate Town,League Two
G. Thomson,George Henry Thomson,"RM, RB, CM",62,325000.0,2000.0,31,Harrogate Town,League Two
J. Muldoon,Jonathan Jack Muldoon,"ST, RM",61,160000.0,2000.0,34,Harrogate Town,League Two
W. Burrell,Warren Matthew Burrell,CB,61,160000.0,2000.0,33,Harrogate Town,League Two
M. Daly,Matty Daly,"CM, CAM",60,500000.0,2000.0,22,Harrogate Town,League Two
T. Sims,Toby Sims,RB,60,300000.0,2000.0,25,Harrogate Town,League Two
J. March,Joshua Thomas March,ST,60,300000.0,2000.0,26,Harrogate Town,League Two
A. Odoh,Abraham Ifoghale Odoh,"LM, RM, RWB",59,450000.0,2000.0,22,Harrogate Town,League Two
M. Oxley,Mark Thomas Oxley,GK,59,110000.0,1000.0,32,Harrogate Town,League Two
S. Folarin,Samuel Folarin,"ST, RM",58,450000.0,2000.0,22,Harrogate Town,League Two
J. Daly,James Stanley Daly,"ST, LM",57,250000.0,2000.0,23,Harrogate Town,League Two
S. Dooley,Stephen Paul Dooley,CM,57,130000.0,2000.0,31,Harrogate Town,League Two
L. Thomas,Lewis Thomas,GK,55,250000.0,800.0,21,Harrogate Town,League Two
B. Williams,Bradley Williams,RM,53,200000.0,600.0,18,Harrogate Town,League Two
F. O'Boyle,Finn O'Boyle,LM,53,200000.0,600.0,18,Harrogate Town,League Two
J. Sivi,Jeremy Sivi,RM,52,190000.0,3000.0,20,Harrogate Town,League Two
G. Horbury,George Horbury,CM,51,130000.0,950.0,19,Harrogate Town,League Two
M. Wilson,Mason Wilson,CB,50,60000.0,500.0,18,Harrogate Town,League Two
