short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Heil,Jürgen Heil,"RB, CDM, CM",68,1400000.0,5000.0,26,Hartberg,Bundesliga
R. Providence,Ruben Providence,"ST, LM",67,2100000.0,4000.0,21,Hartberg,Bundesliga
D. Avdijaj,Donis Avdijaj,"CAM, LM, ST",67,1200000.0,5000.0,26,Hartberg,Bundesliga
T. Kainz,Tobias Kainz,"CDM, CM, RB",67,850000.0,4000.0,30,Hartberg,Bundesliga
M. Pfeifer,Manuel Pfeifer,LB,66,1300000.0,3000.0,23,Hartberg,Bundesliga
R. Sallinger,Raphael Lukas Sallinger,GK,66,775000.0,3000.0,27,Hartberg,Bundesliga
D. Prokop,Dominik Prokop,"LM, CAM, CM",66,1000000.0,4000.0,26,Hartberg,Bundesliga
D. Frieser,Dominik Frieser,"RM, RW",66,850000.0,4000.0,29,Hartberg,Bundesliga
I. Bowat,Ibane Bowat,CB,65,1500000.0,2000.0,20,Hartberg,Bundesliga
M. Steinwender,Michael Steinwender,CB,65,1000000.0,2000.0,23,Hartberg,Bundesliga
O. Diakité,Ousmane Diakité,CDM,65,1100000.0,2000.0,22,Hartberg,Bundesliga
M. Sangare,Mamadou Sangare,"CM, CAM",64,1400000.0,3000.0,21,Hartberg,Bundesliga
C. Lang,Christoph Lang,"CF, ST, CAM",64,1300000.0,3000.0,21,Hartberg,Bundesliga
M. Gollner,Manfred Gollner,CB,64,375000.0,3000.0,32,Hartberg,Bundesliga
T. Rotter,Thomas Rotter,CB,64,400000.0,3000.0,31,Hartberg,Bundesliga
F. Ehmann,Fabian Ehmann,GK,63,575000.0,2000.0,24,Hartberg,Bundesliga
M. Karamarko,Marin Karamarko,"CB, LWB",63,600000.0,2000.0,25,Hartberg,Bundesliga
M. Kröpfl,Mario Kröpfl,"LM, RM",63,300000.0,3000.0,33,Hartberg,Bundesliga
A. Brückner,Angelo Brückner,"RB, LB, CDM",62,925000.0,1000.0,20,Hartberg,Bundesliga
P. Komposch,Paul Komposch,CB,61,625000.0,2000.0,22,Hartberg,Bundesliga
C. Urdl,Christoph Urdl,"RW, LW",61,500000.0,2000.0,23,Hartberg,Bundesliga
M. Entrup,Maximilian Entrup,ST,61,450000.0,2000.0,25,Hartberg,Bundesliga
D. Kovacevic,Damjan Kovacevic,RB,60,550000.0,500.0,18,Hartberg,Bundesliga
J. Lemmerer,Jürgen Lemmerer,ST,59,500000.0,2000.0,20,Hartberg,Bundesliga
J. Halwachs,Julian Halwachs,CDM,59,475000.0,1000.0,20,Hartberg,Bundesliga
S. Schutti,Sam Schutti,LB,57,350000.0,1000.0,20,Hartberg,Bundesliga
M. Sellinger,Maximilian Sellinger,CDM,57,350000.0,1000.0,21,Hartberg,Bundesliga
M. Pußwald,Maximilian Pußwald,GK,56,275000.0,950.0,21,Hartberg,Bundesliga
